k_index,q1,q2,q3,band,energy_eV
1,0.2727595800889115,0.5839213809322165,0.0,1,-13.349281205634554
1,0.2727595800889115,0.5839213809322165,0.0,2,-13.320537267170778
1,0.2727595800889115,0.5839213809322165,0.0,3,-13.212815232278523
1,0.2727595800889115,0.5839213809322165,0.0,4,-13.209573145283303
1,0.2727595800889115,0.5839213809322165,0.0,5,-6.547547718452544
1,0.2727595800889115,0.5839213809322165,0.0,6,-6.539677725299524
1,0.2727595800889115,0.5839213809322165,0.0,7,-6.233913761121628
1,0.2727595800889115,0.5839213809322165,0.0,8,-6.211716732481569
1,0.2727595800889115,0.5839213809322165,0.0,9,-5.088203483183375
1,0.2727595800889115,0.5839213809322165,0.0,10,-5.069130601101599
1,0.2727595800889115,0.5839213809322165,0.0,11,-4.700218174815197
1,0.2727595800889115,0.5839213809322165,0.0,12,-4.680560245520808
1,0.2727595800889115,0.5839213809322165,0.0,13,-4.428306921843901
1,0.2727595800889115,0.5839213809322165,0.0,14,-4.392170021856754
1,0.2727595800889115,0.5839213809322165,0.0,15,-3.430568052441817
1,0.2727595800889115,0.5839213809322165,0.0,16,-3.423346617766507
1,0.2727595800889115,0.5839213809322165,0.0,17,-1.5767150318996688
1,0.2727595800889115,0.5839213809322165,0.0,18,-1.4465120350249303
1,0.2727595800889115,0.5839213809322165,0.0,19,0.5614671717678543
1,0.2727595800889115,0.5839213809322165,0.0,20,0.5761381023158787
1,0.2727595800889115,0.5839213809322165,0.0,21,1.5672810884156592
1,0.2727595800889115,0.5839213809322165,0.0,22,1.5859946264929197
1,0.2727595800889115,0.5839213809322165,0.0,23,1.804651555060099
1,0.2727595800889115,0.5839213809322165,0.0,24,1.936412760822754
1,0.2727595800889115,0.5839213809322165,0.0,25,3.2854694351803815
1,0.2727595800889115,0.5839213809322165,0.0,26,3.357002603180627
2,0.2727595800889115,0.5970359832102763,0.0,1,-13.330921118713974
2,0.2727595800889115,0.5970359832102763,0.0,2,-13.301571447359223
2,0.2727595800889115,0.5970359832102763,0.0,3,-13.202576733061399
2,0.2727595800889115,0.5970359832102763,0.0,4,-13.199295033564574
2,0.2727595800889115,0.5970359832102763,0.0,5,-6.577451175988047
2,0.2727595800889115,0.5970359832102763,0.0,6,-6.569794120995855
2,0.2727595800889115,0.5970359832102763,0.0,7,-6.2010681434010415
2,0.2727595800889115,0.5970359832102763,0.0,8,-6.17620885234899
2,0.2727595800889115,0.5970359832102763,0.0,9,-5.14525218615962
2,0.2727595800889115,0.5970359832102763,0.0,10,-5.126170209045878
2,0.2727595800889115,0.5970359832102763,0.0,11,-4.714590258875765
2,0.2727595800889115,0.5970359832102763,0.0,12,-4.697953814599231
2,0.2727595800889115,0.5970359832102763,0.0,13,-4.401609956031741
2,0.2727595800889115,0.5970359832102763,0.0,14,-4.363673257259041
2,0.2727595800889115,0.5970359832102763,0.0,15,-3.4725332683098826
2,0.2727595800889115,0.5970359832102763,0.0,16,-3.462598855163639
2,0.2727595800889115,0.5970359832102763,0.0,17,-1.540207288551212
2,0.2727595800889115,0.5970359832102763,0.0,18,-1.4069299384682679
2,0.2727595800889115,0.5970359832102763,0.0,19,0.5293987997704943
2,0.2727595800889115,0.5970359832102763,0.0,20,0.5418069046930964
2,0.2727595800889115,0.5970359832102763,0.0,21,1.5612621727003004
2,0.2727595800889115,0.5970359832102763,0.0,22,1.5837709995439382
2,0.2727595800889115,0.5970359832102763,0.0,23,1.8493579840105392
2,0.2727595800889115,0.5970359832102763,0.0,24,1.9852920434257553
2,0.2727595800889115,0.5970359832102763,0.0,25,3.303504106847891
2,0.2727595800889115,0.5970359832102763,0.0,26,3.377420842684034
3,0.2727595800889115,0.6101505854883361,0.0,1,-13.317666931143568
3,0.2727595800889115,0.6101505854883361,0.0,2,-13.287878779623336
3,0.2727595800889115,0.6101505854883361,0.0,3,-13.195163639583091
3,0.2727595800889115,0.6101505854883361,0.0,4,-13.191855888801422
3,0.2727595800889115,0.6101505854883361,0.0,5,-6.599020759596028
3,0.2727595800889115,0.6101505854883361,0.0,6,-6.591519571340687
3,0.2727595800889115,0.6101505854883361,0.0,7,-6.173510261394229
3,0.2727595800889115,0.6101505854883361,0.0,8,-6.146347083829273
3,0.2727595800889115,0.6101505854883361,0.0,9,-5.193511637723191
3,0.2727595800889115,0.6101505854883361,0.0,10,-5.175190131270922
3,0.2727595800889115,0.6101505854883361,0.0,11,-4.721923771292309
3,0.2727595800889115,0.6101505854883361,0.0,12,-4.707010743707341
3,0.2727595800889115,0.6101505854883361,0.0,13,-4.3803189053731195
3,0.2727595800889115,0.6101505854883361,0.0,14,-4.3406541246669335
3,0.2727595800889115,0.6101505854883361,0.0,15,-3.5051693344325434
3,0.2727595800889115,0.6101505854883361,0.0,16,-3.492909635670393
3,0.2727595800889115,0.6101505854883361,0.0,17,-1.5122040432834356
3,0.2727595800889115,0.6101505854883361,0.0,18,-1.376420289020622
3,0.2727595800889115,0.6101505854883361,0.0,19,0.5042531880607198
3,0.2727595800889115,0.6101505854883361,0.0,20,0.5146285588928436
3,0.2727595800889115,0.6101505854883361,0.0,21,1.5568019241583753
3,0.2727595800889115,0.6101505854883361,0.0,22,1.5816857117418057
3,0.2727595800889115,0.6101505854883361,0.0,23,1.8833475656829357
3,0.2727595800889115,0.6101505854883361,0.0,24,2.0219022647955285
3,0.2727595800889115,0.6101505854883361,0.0,25,3.3167291453729817
3,0.2727595800889115,0.6101505854883361,0.0,26,3.392321063450865
4,0.2727595800889115,0.623265187766396,0.0,1,-13.309660722025251
4,0.2727595800889115,0.623265187766396,0.0,2,-13.279607222591563
4,0.2727595800889115,0.623265187766396,0.0,3,-13.190684127131659
4,0.2727595800889115,0.623265187766396,0.0,4,-13.187361739218405
4,0.2727595800889115,0.623265187766396,0.0,5,-6.612048388353207
4,0.2727595800889115,0.623265187766396,0.0,6,-6.604642134616135
4,0.2727595800889115,0.623265187766396,0.0,7,-6.154885202500333
4,0.2727595800889115,0.623265187766396,0.0,8,-6.1261074115786105
4,0.2727595800889115,0.623265187766396,0.0,9,-5.225749150271904
4,0.2727595800889115,0.623265187766396,0.0,10,-5.208252622601606
4,0.2727595800889115,0.623265187766396,0.0,11,-4.7253377310101765
4,0.2727595800889115,0.623265187766396,0.0,12,-4.71129974864267
4,0.2727595800889115,0.623265187766396,0.0,13,-4.366503815700149
4,0.2727595800889115,0.623265187766396,0.0,14,-4.32557494094903
4,0.2727595800889115,0.623265187766396,0.0,15,-3.5260295367803636
4,0.2727595800889115,0.623265187766396,0.0,16,-3.512163573013879
4,0.2727595800889115,0.623265187766396,0.0,17,-1.4945620325547846
4,0.2727595800889115,0.623265187766396,0.0,18,-1.3571243397729758
4,0.2727595800889115,0.623265187766396,0.0,19,0.4881774218607702
4,0.2727595800889115,0.623265187766396,0.0,20,0.4971443899715934
4,0.2727595800889115,0.623265187766396,0.0,21,1.5540537192381159
4,0.2727595800889115,0.623265187766396,0.0,22,1.5802651854324403
4,0.2727595800889115,0.623265187766396,0.0,23,1.9045497679687227
4,0.2727595800889115,0.623265187766396,0.0,24,2.0445769995981244
4,0.2727595800889115,0.623265187766396,0.0,25,3.3247909392979347
4,0.2727595800889115,0.623265187766396,0.0,26,3.4013847968511364
5,0.2727595800889115,0.6363797900444558,0.0,1,-13.306985003871569
5,0.2727595800889115,0.6363797900444558,0.0,2,-13.27684276571512
5,0.2727595800889115,0.6363797900444558,0.0,3,-13.189179450949563
5,0.2727595800889115,0.6363797900444558,0.0,4,-13.185852410175436
5,0.2727595800889115,0.6363797900444558,0.0,5,-6.616403790656629
5,0.2727595800889115,0.6363797900444558,0.0,6,-6.609029343988908
5,0.2727595800889115,0.6363797900444558,0.0,7,-6.148264675005318
5,0.2727595800889115,0.6363797900444558,0.0,8,-6.118898554823935
5,0.2727595800889115,0.6363797900444558,0.0,9,-5.237080805237091
5,0.2727595800889115,0.6363797900444558,0.0,10,-5.2199300661721795
5,0.2727595800889115,0.6363797900444558,0.0,11,-4.726329054007157
5,0.2727595800889115,0.6363797900444558,0.0,12,-4.712559044506162
5,0.2727595800889115,0.6363797900444558,0.0,13,-4.361701079092216
5,0.2727595800889115,0.6363797900444558,0.0,14,-4.32030506417816
5,0.2727595800889115,0.6363797900444558,0.0,15,-3.533225829725848
5,0.2727595800889115,0.6363797900444558,0.0,16,-3.5187811443344055
5,0.2727595800889115,0.6363797900444558,0.0,17,-1.488528302763544
5,0.2727595800889115,0.6363797900444558,0.0,18,-1.3505122319865182
5,0.2727595800889115,0.6363797900444558,0.0,19,0.48264843539853236
5,0.2727595800889115,0.6363797900444558,0.0,20,0.49111175326147627
5,0.2727595800889115,0.6363797900444558,0.0,21,1.553130453855772
5,0.2727595800889115,0.6363797900444558,0.0,22,1.579770961823879
5,0.2727595800889115,0.6363797900444558,0.0,23,1.9117598125385333
5,0.2727595800889115,0.6363797900444558,0.0,24,2.0522638524720413
5,0.2727595800889115,0.6363797900444558,0.0,25,3.327503773017721
5,0.2727595800889115,0.6363797900444558,0.0,26,3.404426995775947
6,0.2727595800889115,0.6494943923225156,0.0,1,-13.30966082675016
6,0.2727595800889115,0.6494943923225156,0.0,2,-13.279607326342639
6,0.2727595800889115,0.6494943923225156,0.0,3,-13.190683918858898
6,0.2727595800889115,0.6494943923225156,0.0,4,-13.187361530585925
6,0.2727595800889115,0.6494943923225156,0.0,5,-6.612048950797538
6,0.2727595800889115,0.6494943923225156,0.0,6,-6.60464269702366
6,0.2727595800889115,0.6494943923225156,0.0,7,-6.154885559639137
6,0.2727595800889115,0.6494943923225156,0.0,8,-6.12610778294915
6,0.2727595800889115,0.6494943923225156,0.0,9,-5.225747935627455
6,0.2727595800889115,0.6494943923225156,0.0,10,-5.208251375992091
6,0.2727595800889115,0.6494943923225156,0.0,11,-4.725338718653374
