valley,delta_kx_inv_A,omega18_z_A2,E17_eV,E18_eV
K,-0.0534,-5.873002465925108,-1.437873275509094,-1.2929805698034627
K,-0.0528,-5.882397036914773,-1.437593560531576,-1.2926618398363037
K,-0.052199999999999996,-5.8917916079044375,-1.4373138455540582,-1.2923431098691447
K,-0.05160000000000001,-5.901186178894101,-1.4370341305765402,-1.292024379901986
K,-0.051000000000000004,-5.910580749883765,-1.4367544155990224,-1.2917056499348267
K,-0.0504,-5.919975320873429,-1.4364747006215044,-1.291386919967668
K,-0.0498,-5.929369891863093,-1.4361949856439866,-1.291068190000509
K,-0.04920000000000001,-5.938764462852758,-1.4359152706664688,-1.29074946003335
K,-0.048600000000000004,-5.948159033842423,-1.4356355556889508,-1.290430730066191
K,-0.048,-5.9575536048320865,-1.4353558407114329,-1.2901120000990323
K,-0.0474,-5.96694817582175,-1.435076125733915,-1.2897932701318733
K,-0.04680000000000001,-5.976342746811414,-1.4347964107563973,-1.2894745401647143
K,-0.046200000000000005,-5.985737317801078,-1.4345166957788793,-1.2891558101975553
K,-0.0456,-5.995131888790743,-1.4342369808013613,-1.2888370802303966
K,-0.045,-6.004526459780408,-1.4339572658238435,-1.2885183502632374
K,-0.04440000000000001,-6.013921030770072,-1.4336775508463258,-1.2881996202960786
K,-0.043800000000000006,-6.023315601759736,-1.4333978358688078,-1.2878808903289196
K,-0.0432,-6.0327101727494,-1.4331181208912898,-1.2875621603617606
K,-0.0426,-6.042104743739063,-1.432838405913772,-1.2872434303946019
K,-0.041999999999999996,-6.051499314728728,-1.4325586909362542,-1.2869247004274427
K,-0.041400000000000006,-6.060893885718393,-1.4322789759587362,-1.286605970460284
K,-0.0408,-6.070288456708057,-1.4319992609812182,-1.286287240493125
K,-0.0402,-6.079683027697721,-1.4317195460037004,-1.285968510525966
K,-0.039599999999999996,-6.089077598687385,-1.4314398310261827,-1.285649780558807
K,-0.03900000000000001,-6.098472169677049,-1.4311601160486647,-1.285331050591648
K,-0.038400000000000004,-6.107866740666713,-1.4308804010711467,-1.2850123206244892
K,-0.0378,-6.117261311656377,-1.430600686093629,-1.28469359065733
K,-0.0372,-6.126655882646042,-1.4303209711161111,-1.2843748606901713
K,-0.03660000000000001,-6.136050453635706,-1.4300412561385931,-1.2840561307230123
K,-0.036000000000000004,-6.145445024625371,-1.4297615411610753,-1.2837374007558535
K,-0.0354,-6.154839595615035,-1.4294818261835576,-1.2834186707886945
K,-0.0348,-6.164234166604699,-1.4292021112060396,-1.2830999408215353
K,-0.03420000000000001,-6.173628737594363,-1.4289223962285218,-1.2827812108543764
K,-0.033600000000000005,-6.183023308584026,-1.4286426812510038,-1.2824624808872176
K,-0.033,-6.192417879573691,-1.4283629662734858,-1.2821437509200586
K,-0.0324,-6.201812450563355,-1.428083251295968,-1.2818250209528996
K,-0.03180000000000001,-6.21120702155302,-1.42780353631845,-1.2815062909857409
K,-0.031200000000000006,-6.220601592542684,-1.4275238213409323,-1.2811875610185819
K,-0.030600000000000002,-6.229996163532348,-1.4272441063634143,-1.280868831051423
K,-0.03,-6.239390734522012,-1.4269643913858965,-1.280550101084264
K,-0.02940000000000001,-6.242899383307384,-1.4268647755951525,-1.280436576677147
K,-0.028800000000000006,-6.246408032092754,-1.4267651598044084,-1.2803230522700302
K,-0.028200000000000003,-6.249916680878125,-1.4266655440136644,-1.280209527862913
K,-0.0276,-6.253425329663496,-1.4265659282229204,-1.2800960034557962
K,-0.02700000000000001,-6.256933978448867,-1.4264663124321766,-1.2799824790486793
K,-0.026400000000000007,-6.260442627234237,-1.4263666966414326,-1.2798689546415623
K,-0.025800000000000003,-6.263951276019608,-1.4262670808506885,-1.2797554302344454
K,-0.0252,-6.26745992480498,-1.4261674650599447,-1.2796419058273283
K,-0.02460000000000001,-6.270968573590349,-1.4260678492692007,-1.2795283814202114
K,-0.024000000000000007,-6.274477222375721,-1.4259682334784567,-1.2794148570130945
K,-0.023400000000000004,-6.277985871161091,-1.425868617687713,-1.2793013326059777
K,-0.0228,-6.281494519946462,-1.4257690018969686,-1.2791878081988608
