# Job running on    1 total cores
# File reading...  : WAVECAR                                                                                                                                                          
# TOTAL RECORD LENGTH =     38304
# ISPIN            :      1 (LSORBIT = .TRUE.)
# ENCUT (eV)       :    400.0000
# NKPOINT          :    144
#  K-GRID          :     12   X  12
# NBANDS           :     26
# RECIVEC B1 (A^-1):      1.981056    -1.143763     0.000000
# RECIVEC B2       :      0.000000     2.287527     0.000000
# RECIVEC B3       :      0.000000    -0.000000     0.418879
#  dk^2 = |dk1xk2| =      0.031470
  
# Chern Number for the BANDS :    1    -    18
# Chern Number is sum of Berry Curvature over 1BZ
# Chern Number =             0.0000
# MAXVAL of BERRYCURV at kx,ky,kz (in reci)=          -0.2917          0.3750          0.0000         12.3124
# MINVAL of BERRYCURV at kx,ky,kz (in reci)=           0.3750         -0.2917          0.0000        -12.3125
# Berry Curvature (A^2) :-Im[logPI_S(det(S(K_s,K_s+1)))]/dk^2
# (cart) kx        ky        kz(A^-1)   Berry Curvature (A^2),   (recip)kx        ky        kz
   3.054128  -4.527396   0.000000                  -3.4329               1.541667  -1.208333   0.000000
   3.054128  -4.718023   0.000000                  -3.1383               1.541667  -1.291667   0.000000
   3.054128  -4.908651   0.000000                  -1.9824               1.541667  -1.375000   0.000000
   2.889040   1.858615   0.000000                  -2.5136               1.458333   1.541667   0.000000
   2.889040   1.667988   0.000000                  -0.0001               1.458333   1.458333   0.000000
   2.889040   1.477361   0.000000                   1.9824               1.458333   1.375000   0.000000
   2.889040   1.286734   0.000000                   3.1383               1.458333   1.291667   0.000000
   2.889040   1.096106   0.000000                   3.4329               1.458333   1.208333   0.000000
   2.889040   0.905479   0.000000                   2.6121               1.458333   1.125000   0.000000
   2.889040   0.714852   0.000000                   1.0301               1.458333   1.041667   0.000000
   2.889040   0.524225   0.000000                  -1.2478               1.458333   0.958333   0.000000
   2.889040   0.333598   0.000000                  -3.3472               1.458333   0.875000   0.000000
   2.889040   0.142970   0.000000                  -5.0330               1.458333   0.791667   0.000000
   2.889040  -0.047657   0.000000                  -5.7679               1.458333   0.708333   0.000000
   2.889040  -0.238284   0.000000                  -4.5464               1.458333   0.625000   0.000000
   2.889040  -0.428911   0.000000                  -2.5136               1.458333   0.541667   0.000000
   2.889040  -0.619538   0.000000                  -0.0001               1.458333   0.458333   0.000000
   2.889040  -0.810166   0.000000                   1.9824               1.458333   0.375000   0.000000
   2.889040  -1.000793   0.000000                   3.1383               1.458333   0.291667   0.000000
   2.889040  -1.191420   0.000000                   3.4329               1.458333   0.208333   0.000000
   2.889040  -1.382047   0.000000                   2.6121               1.458333   0.125000   0.000000
   2.889040  -1.572674   0.000000                   1.0301               1.458333   0.041667   0.000000
   2.889040  -1.763302   0.000000                  -1.2478               1.458333  -0.041667   0.000000
   2.889040  -1.953929   0.000000                  -3.3472               1.458333  -0.125000   0.000000
   2.889040  -2.144556   0.000000                  -5.0330               1.458333  -0.208333   0.000000
   2.889040  -2.335183   0.000000                  -5.7679               1.458333  -0.291667   0.000000
   2.889040  -2.525811   0.000000                  -4.5464               1.458333  -0.375000   0.000000
   2.889040  -2.716438   0.000000                  -2.5136               1.458333  -0.458333   0.000000
   2.889040  -2.907065   0.000000                  -0.0001               1.458333  -0.541667   0.000000
   2.889040  -3.097692   0.000000                   1.9824               1.458333  -0.625000   0.000000
   2.889040  -3.288319   0.000000                   3.1383               1.458333  -0.708333   0.000000
   2.889040  -3.478947   0.000000                   3.4329               1.458333  -0.791667   0.000000
   2.889040  -3.669574   0.000000                   2.6121               1.458333  -0.875000   0.000000
   2.889040  -3.860201   0.000000                   1.0301               1.458333  -0.958333   0.000000
   2.889040  -4.050828   0.000000                  -1.2478               1.458333  -1.041667   0.000000
   2.889040  -4.241455   0.000000                  -3.3472               1.458333  -1.125000   0.000000
   2.889040  -4.432083   0.000000                  -5.0330               1.458333  -1.208333   0.000000
   2.889040  -4.622710   0.000000                  -5.7679               1.458333  -1.291667   0.000000
   2.889040  -4.813337   0.000000                  -4.5464               1.458333  -1.375000   0.000000
   2.723952   1.953929   0.000000                  -4.5463               1.375000   1.541667   0.000000
   2.723952   1.763302   0.000000                  -1.9823               1.375000   1.458333   0.000000
   2.723952   1.572674   0.000000                   0.0001               1.375000   1.375000   0.000000
   2.723952   1.382047   0.000000                   1.9970               1.375000   1.291667   0.000000
   2.723952   1.191420   0.000000                   3.5765               1.375000   1.208333   0.000000
   2.723952   1.000793   0.000000                   3.0086               1.375000   1.125000   0.000000
   2.723952   0.810166   0.000000                   0.9664               1.375000   1.041667   0.000000
   2.723952   0.619538   0.000000                  -1.0225               1.375000   0.958333   0.000000
   2.723952   0.428911   0.000000                  -3.0337               1.375000   0.875000   0.000000
   2.723952   0.238284   0.000000                  -6.4178               1.375000   0.791667   0.000000
   2.723952   0.047657   0.000000                 -12.3125               1.375000   0.708333   0.000000
   2.723952  -0.142970   0.000000                 -10.2578               1.375000   0.625000   0.000000
   2.723952  -0.333598   0.000000                  -4.5463               1.375000   0.541667   0.000000
   2.723952  -0.524225   0.000000                  -1.9823               1.375000   0.458333   0.000000
   2.723952  -0.714852   0.000000                   0.0001               1.375000   0.375000   0.000000
   2.723952  -0.905479   0.000000                   1.9970               1.375000   0.291667   0.000000
   2.723952  -1.096106   0.000000                   3.5765               1.375000   0.208333   0.000000
   2.723952  -1.286734   0.000000                   3.0086               1.375000   0.125000   0.000000
   2.723952  -1.477361   0.000000                   0.9664               1.375000   0.041667   0.000000
   2.723952  -1.667988   0.000000                  -1.0225               1.375000  -0.041667   0.000000
   2.723952  -1.858615   0.000000                  -3.0337               1.375000  -0.125000   0.000000
   2.723952  -2.049243   0.000000                  -6.4178               1.375000  -0.208333   0.000000
   2.723952  -2.239870   0.000000                 -12.3125               1.375000  -0.291667   0.000000
   2.723952  -2.430497   0.000000                 -10.2578               1.375000  -0.375000   0.000000
   2.723952  -2.621124   0.000000                  -4.5463               1.375000  -0.458333   0.000000
   2.723952  -2.811751   0.000000                  -1.9823               1.375000  -0.541667   0.000000
   2.723952  -3.002379   0.000000                   0.0001               1.375000  -0.625000   0.000000
   2.723952  -3.193006   0.000000                   1.9970               1.375000  -0.708333   0.000000
   2.723952  -3.383633   0.000000                   3.5765               1.375000  -0.791667   0.000000
   2.723952  -3.574260   0.000000                   3.0086               1.375000  -0.875000   0.000000
   2.723952  -3.764887   0.000000                   0.9664               1.375000  -0.958333   0.000000
   2.723952  -3.955515   0.000000                  -1.0225               1.375000  -1.041667   0.000000
   2.723952  -4.146142   0.000000                  -3.0337               1.375000  -1.125000   0.000000
   2.723952  -4.336769   0.000000                  -6.4178               1.375000  -1.208333   0.000000
   2.723952  -4.527396   0.000000                 -12.3125               1.375000  -1.291667   0.000000
   2.723952  -4.718023   0.000000                 -10.2578               1.375000  -1.375000   0.000000
   2.558864   2.049243   0.000000                  -5.7679               1.291667   1.541667   0.000000
   2.558864   1.858615   0.000000                  -3.1383               1.291667   1.458333   0.000000
   2.558864   1.667988   0.000000                  -1.9971               1.291667   1.375000   0.000000
   2.558864   1.477361   0.000000                  -0.0001               1.291667   1.291667   0.000000
   2.558864   1.286734   0.000000                   2.4714               1.291667   1.208333   0.000000
   2.558864   1.096106   0.000000                   3.3382               1.291667   1.125000   0.000000
   2.558864   0.905479   0.000000                   1.2428               1.291667   1.041667   0.000000
   2.558864   0.714852   0.000000                  -1.1333               1.291667   0.958333   0.000000
   2.558864   0.524225   0.000000                  -2.6827               1.291667   0.875000   0.000000
   2.558864   0.333598   0.000000                  -4.0464               1.291667   0.791667   0.000000
   2.558864   0.142970   0.000000                  -9.2074               1.291667   0.708333   0.000000
   2.558864  -0.047657   0.000000                 -12.3124               1.291667   0.625000   0.000000
   2.558864  -0.238284   0.000000                  -5.7679               1.291667   0.541667   0.000000
   2.558864  -0.428911   0.000000                  -3.1383               1.291667   0.458333   0.000000
   2.558864  -0.619538   0.000000                  -1.9971               1.291667   0.375000   0.000000
   2.558864  -0.810166   0.000000                  -0.0001               1.291667   0.291667   0.000000
   2.558864  -1.000793   0.000000                   2.4714               1.291667   0.208333   0.000000
   2.558864  -1.191420   0.000000                   3.3382               1.291667   0.125000   0.000000
   2.558864  -1.382047   0.000000                   1.2428               1.291667   0.041667   0.000000
   2.558864  -1.572674   0.000000                  -1.1333               1.291667  -0.041667   0.000000
   2.558864  -1.763302   0.000000                  -2.6827               1.291667  -0.125000   0.000000
   2.558864  -1.953929   0.000000                  -4.0464               1.291667  -0.208333   0.000000
   2.558864  -2.144556   0.000000                  -9.2074               1.291667  -0.291667   0.000000
   2.558864  -2.335183   0.000000                 -12.3124               1.291667  -0.375000   0.000000
   2.558864  -2.525811   0.000000                  -5.7679               1.291667  -0.458333   0.000000
   2.558864  -2.716438   0.000000                  -3.1383               1.291667  -0.541667   0.000000
   2.558864  -2.907065   0.000000                  -1.9971               1.291667  -0.625000   0.000000
   2.558864  -3.097692   0.000000                  -0.0001               1.291667  -0.708333   0.000000
   2.558864  -3.288319   0.000000                   2.4714               1.291667  -0.791667   0.000000
   2.558864  -3.478947   0.000000                   3.3382               1.291667  -0.875000   0.000000
   2.558864  -3.669574   0.000000                   1.2428               1.291667  -0.958333   0.000000
   2.558864  -3.860201   0.000000                  -1.1333               1.291667  -1.041667   0.000000
   2.558864  -4.050828   0.000000                  -2.6827               1.291667  -1.125000   0.000000
   2.558864  -4.241455   0.000000                  -4.0464               1.291667  -1.208333   0.000000
   2.558864  -4.432083   0.000000                  -9.2074               1.291667  -1.291667   0.000000
   2.558864  -4.622710   0.000000                 -12.3124               1.291667  -1.375000   0.000000
   2.393776   2.144556   0.000000                  -5.0330               1.208333   1.541667   0.000000
   2.393776   1.953929   0.000000                  -3.4328               1.208333   1.458333   0.000000
   2.393776   1.763302   0.000000                  -3.5765               1.208333   1.375000   0.000000
   2.393776   1.572674   0.000000                  -2.4715               1.208333   1.291667   0.000000
   2.393776   1.382047   0.000000                   0.0000               1.208333   1.208333   0.000000
   2.393776   1.191420   0.000000                   2.1392               1.208333   1.125000   0.000000
   2.393776   1.000793   0.000000                   1.2948               1.208333   1.041667   0.000000
   2.393776   0.810166   0.000000                  -1.3963               1.208333   0.958333   0.000000
   2.393776   0.619538   0.000000                  -3.3737               1.208333   0.875000   0.000000
   2.393776   0.428911   0.000000                  -3.5453               1.208333   0.791667   0.000000
   2.393776   0.238284   0.000000                  -4.0464               1.208333   0.708333   0.000000
   2.393776   0.047657   0.000000                  -6.4178               1.208333   0.625000   0.000000
   2.393776  -0.142970   0.000000                  -5.0330               1.208333   0.541667   0.000000
   2.393776  -0.333598   0.000000                  -3.4328               1.208333   0.458333   0.000000
   2.393776  -0.524225   0.000000                  -3.5765               1.208333   0.375000   0.000000
   2.393776  -0.714852   0.000000                  -2.4715               1.208333   0.291667   0.000000
   2.393776  -0.905479   0.000000                   0.0000               1.208333   0.208333   0.000000
   2.393776  -1.096106   0.000000                   2.1392               1.208333   0.125000   0.000000
   2.393776  -1.286734   0.000000                   1.2948               1.208333   0.041667   0.000000
   2.393776  -1.477361   0.000000                  -1.3963               1.208333  -0.041667   0.000000
   2.393776  -1.667988   0.000000                  -3.3737               1.208333  -0.125000   0.000000
   2.393776  -1.858615   0.000000                  -3.5453               1.208333  -0.208333   0.000000
   2.393776  -2.049243   0.000000                  -4.0464               1.208333  -0.291667   0.000000
   2.393776  -2.239870   0.000000                  -6.4178               1.208333  -0.375000   0.000000
   2.393776  -2.430497   0.000000                  -5.0330               1.208333  -0.458333   0.000000
   2.393776  -2.621124   0.000000                  -3.4328               1.208333  -0.541667   0.000000
   2.393776  -2.811751   0.000000                  -3.5765               1.208333  -0.625000   0.000000
   2.393776  -3.002379   0.000000                  -2.4715               1.208333  -0.708333   0.000000
   2.393776  -3.193006   0.000000                   0.0000               1.208333  -0.791667   0.000000
   2.393776  -3.383633   0.000000                   2.1392               1.208333  -0.875000   0.000000
   2.393776  -3.574260   0.000000                   1.2948               1.208333  -0.958333   0.000000
   2.393776  -3.764887   0.000000                  -1.3963               1.208333  -1.041667   0.000000
   2.393776  -3.955515   0.000000                  -3.3737               1.208333  -1.125000   0.000000
   2.393776  -4.146142   0.000000                  -3.5453               1.208333  -1.208333   0.000000
   2.393776  -4.336769   0.000000                  -4.0464               1.208333  -1.291667   0.000000
   2.393776  -4.527396   0.000000                  -6.4178               1.208333  -1.375000   0.000000
   2.228688   2.239870   0.000000                  -3.3472               1.125000   1.541667   0.000000
   2.228688   2.049243   0.000000                  -2.6121               1.125000   1.458333   0.000000
   2.228688   1.858615   0.000000                  -3.0087               1.125000   1.375000   0.000000
   2.228688   1.667988   0.000000                  -3.3383               1.125000   1.291667   0.000000
   2.228688   1.477361   0.000000                  -2.1391               1.125000   1.208333   0.000000
   2.228688   1.286734   0.000000                  -0.0000               1.125000   1.125000   0.000000
   2.228688   1.096106   0.000000                   0.5460               1.125000   1.041667   0.000000
   2.228688   0.905479   0.000000                  -0.9928               1.125000   0.958333   0.000000
   2.228688   0.714852   0.000000                  -3.1074               1.125000   0.875000   0.000000
   2.228688   0.524225   0.000000                  -3.3736               1.125000   0.791667   0.000000
   2.228688   0.333598   0.000000                  -2.6828               1.125000   0.708333   0.000000
   2.228688   0.142970   0.000000                  -3.0336               1.125000   0.625000   0.000000
   2.228688  -0.047657   0.000000                  -3.3472               1.125000   0.541667   0.000000
   2.228688  -0.238284   0.000000                  -2.6121               1.125000   0.458333   0.000000
   2.228688  -0.428911   0.000000                  -3.0087               1.125000   0.375000   0.000000
   2.228688  -0.619538   0.000000                  -3.3383               1.125000   0.291667   0.000000
   2.228688  -0.810166   0.000000                  -2.1391               1.125000   0.208333   0.000000
   2.228688  -1.000793   0.000000                  -0.0000               1.125000   0.125000   0.000000
   2.228688  -1.191420   0.000000                   0.5460               1.125000   0.041667   0.000000
   2.228688  -1.382047   0.000000                  -0.9928               1.125000  -0.041667   0.000000
   2.228688  -1.572674   0.000000                  -3.1074               1.125000  -0.125000   0.000000
   2.228688  -1.763302   0.000000                  -3.3736               1.125000  -0.208333   0.000000
   2.228688  -1.953929   0.000000                  -2.6828               1.125000  -0.291667   0.000000
   2.228688  -2.144556   0.000000                  -3.0336               1.125000  -0.375000   0.000000
   2.228688  -2.335183   0.000000                  -3.3472               1.125000  -0.458333   0.000000
   2.228688  -2.525811   0.000000                  -2.6121               1.125000  -0.541667   0.000000
   2.228688  -2.716438   0.000000                  -3.0087               1.125000  -0.625000   0.000000
   2.228688  -2.907065   0.000000                  -3.3383               1.125000  -0.708333   0.000000
   2.228688  -3.097692   0.000000                  -2.1391               1.125000  -0.791667   0.000000
   2.228688  -3.288319   0.000000                  -0.0000               1.125000  -0.875000   0.000000
   2.228688  -3.478947   0.000000                   0.5460               1.125000  -0.958333   0.000000
   2.228688  -3.669574   0.000000                  -0.9928               1.125000  -1.041667   0.000000
   2.228688  -3.860201   0.000000                  -3.1074               1.125000  -1.125000   0.000000
   2.228688  -4.050828   0.000000                  -3.3736               1.125000  -1.208333   0.000000
   2.228688  -4.241455   0.000000                  -2.6828               1.125000  -1.291667   0.000000
   2.228688  -4.432083   0.000000                  -3.0336               1.125000  -1.375000   0.000000
   2.063600   2.335183   0.000000                  -1.2478               1.041667   1.541667   0.000000
   2.063600   2.144556   0.000000                  -1.0301               1.041667   1.458333   0.000000
   2.063600   1.953929   0.000000                  -0.9664               1.041667   1.375000   0.000000
   2.063600   1.763302   0.000000                  -1.2428               1.041667   1.291667   0.000000
   2.063600   1.572674   0.000000                  -1.2949               1.041667   1.208333   0.000000
   2.063600   1.382047   0.000000                  -0.5460               1.041667   1.125000   0.000000
   2.063600   1.191420   0.000000                   0.0000               1.041667   1.041667   0.000000
   2.063600   1.000793   0.000000                  -0.1398               1.041667   0.958333   0.000000
   2.063600   0.810166   0.000000                  -0.9928               1.041667   0.875000   0.000000
   2.063600   0.619538   0.000000                  -1.3963               1.041667   0.791667   0.000000
   2.063600   0.428911   0.000000                  -1.1334               1.041667   0.708333   0.000000
   2.063600   0.238284   0.000000                  -1.0225               1.041667   0.625000   0.000000
   2.063600   0.047657   0.000000                  -1.2478               1.041667   0.541667   0.000000
   2.063600  -0.142970   0.000000                  -1.0301               1.041667   0.458333   0.000000
   2.063600  -0.333598   0.000000                  -0.9664               1.041667   0.375000   0.000000
   2.063600  -0.524225   0.000000                  -1.2428               1.041667   0.291667   0.000000
   2.063600  -0.714852   0.000000                  -1.2949               1.041667   0.208333   0.000000
   2.063600  -0.905479   0.000000                  -0.5460               1.041667   0.125000   0.000000
   2.063600  -1.096106   0.000000                   0.0000               1.041667   0.041667   0.000000
   2.063600  -1.286734   0.000000                  -0.1398               1.041667  -0.041667   0.000000
   2.063600  -1.477361   0.000000                  -0.9928               1.041667  -0.125000   0.000000
   2.063600  -1.667988   0.000000                  -1.3963               1.041667  -0.208333   0.000000
   2.063600  -1.858615   0.000000                  -1.1334               1.041667  -0.291667   0.000000
   2.063600  -2.049243   0.000000                  -1.0225               1.041667  -0.375000   0.000000
   2.063600  -2.239870   0.000000                  -1.2478               1.041667  -0.458333   0.000000
   2.063600  -2.430497   0.000000                  -1.0301               1.041667  -0.541667   0.000000
   2.063600  -2.621124   0.000000                  -0.9664               1.041667  -0.625000   0.000000
   2.063600  -2.811751   0.000000                  -1.2428               1.041667  -0.708333   0.000000
   2.063600  -3.002379   0.000000                  -1.2949               1.041667  -0.791667   0.000000
   2.063600  -3.193006   0.000000                  -0.5460               1.041667  -0.875000   0.000000
   2.063600  -3.383633   0.000000                   0.0000               1.041667  -0.958333   0.000000
   2.063600  -3.574260   0.000000                  -0.1398               1.041667  -1.041667   0.000000
   2.063600  -3.764887   0.000000                  -0.9928               1.041667  -1.125000   0.000000
   2.063600  -3.955515   0.000000                  -1.3963               1.041667  -1.208333   0.000000
   2.063600  -4.146142   0.000000                  -1.1334               1.041667  -1.291667   0.000000
   2.063600  -4.336769   0.000000                  -1.0225               1.041667  -1.375000   0.000000
   1.898512   2.430497   0.000000                   1.0302               0.958333   1.541667   0.000000
   1.898512   2.239870   0.000000                   1.2478               0.958333   1.458333   0.000000
   1.898512   2.049243   0.000000                   1.0225               0.958333   1.375000   0.000000
   1.898512   1.858615   0.000000                   1.1334               0.958333   1.291667   0.000000
   1.898512   1.667988   0.000000                   1.3962               0.958333   1.208333   0.000000
   1.898512   1.477361   0.000000                   0.9928               0.958333   1.125000   0.000000
   1.898512   1.286734   0.000000                   0.1397               0.958333   1.041667   0.000000
   1.898512   1.096106   0.000000                   0.0000               0.958333   0.958333   0.000000
   1.898512   0.905479   0.000000                   0.5461               0.958333   0.875000   0.000000
   1.898512   0.714852   0.000000                   1.2949               0.958333   0.791667   0.000000
   1.898512   0.524225   0.000000                   1.2428               0.958333   0.708333   0.000000
   1.898512   0.333598   0.000000                   0.9664               0.958333   0.625000   0.000000
   1.898512   0.142970   0.000000                   1.0302               0.958333   0.541667   0.000000
   1.898512  -0.047657   0.000000                   1.2478               0.958333   0.458333   0.000000
   1.898512  -0.238284   0.000000                   1.0225               0.958333   0.375000   0.000000
   1.898512  -0.428911   0.000000                   1.1334               0.958333   0.291667   0.000000
   1.898512  -0.619538   0.000000                   1.3962               0.958333   0.208333   0.000000
   1.898512  -0.810166   0.000000                   0.9928               0.958333   0.125000   0.000000
   1.898512  -1.000793   0.000000                   0.1397               0.958333   0.041667   0.000000
   1.898512  -1.191420   0.000000                   0.0000               0.958333  -0.041667   0.000000
   1.898512  -1.382047   0.000000                   0.5461               0.958333  -0.125000   0.000000
   1.898512  -1.572674   0.000000                   1.2949               0.958333  -0.208333   0.000000
   1.898512  -1.763302   0.000000                   1.2428               0.958333  -0.291667   0.000000
   1.898512  -1.953929   0.000000                   0.9664               0.958333  -0.375000   0.000000
   1.898512  -2.144556   0.000000                   1.0302               0.958333  -0.458333   0.000000
   1.898512  -2.335183   0.000000                   1.2478               0.958333  -0.541667   0.000000
   1.898512  -2.525811   0.000000                   1.0225               0.958333  -0.625000   0.000000
   1.898512  -2.716438   0.000000                   1.1334               0.958333  -0.708333   0.000000
   1.898512  -2.907065   0.000000                   1.3962               0.958333  -0.791667   0.000000
   1.898512  -3.097692   0.000000                   0.9928               0.958333  -0.875000   0.000000
   1.898512  -3.288319   0.000000                   0.1397               0.958333  -0.958333   0.000000
   1.898512  -3.478947   0.000000                   0.0000               0.958333  -1.041667   0.000000
   1.898512  -3.669574   0.000000                   0.5461               0.958333  -1.125000   0.000000
   1.898512  -3.860201   0.000000                   1.2949               0.958333  -1.208333   0.000000
   1.898512  -4.050828   0.000000                   1.2428               0.958333  -1.291667   0.000000
   1.898512  -4.241455   0.000000                   0.9664               0.958333  -1.375000   0.000000
   1.733424   2.525811   0.000000                   2.6121               0.875000   1.541667   0.000000
   1.733424   2.335183   0.000000                   3.3471               0.875000   1.458333   0.000000
   1.733424   2.144556   0.000000                   3.0337               0.875000   1.375000   0.000000
   1.733424   1.953929   0.000000                   2.6828               0.875000   1.291667   0.000000
   1.733424   1.763302   0.000000                   3.3736               0.875000   1.208333   0.000000
   1.733424   1.572674   0.000000                   3.1075               0.875000   1.125000   0.000000
   1.733424   1.382047   0.000000                   0.9928               0.875000   1.041667   0.000000
   1.733424   1.191420   0.000000                  -0.5460               0.875000   0.958333   0.000000
   1.733424   1.000793   0.000000                  -0.0000               0.875000   0.875000   0.000000
   1.733424   0.810166   0.000000                   2.1392               0.875000   0.791667   0.000000
   1.733424   0.619538   0.000000                   3.3382               0.875000   0.708333   0.000000
   1.733424   0.428911   0.000000                   3.0086               0.875000   0.625000   0.000000
   1.733424   0.238284   0.000000                   2.6121               0.875000   0.541667   0.000000
   1.733424   0.047657   0.000000                   3.3471               0.875000   0.458333   0.000000
   1.733424  -0.142970   0.000000                   3.0337               0.875000   0.375000   0.000000
   1.733424  -0.333598   0.000000                   2.6828               0.875000   0.291667   0.000000
   1.733424  -0.524225   0.000000                   3.3736               0.875000   0.208333   0.000000
   1.733424  -0.714852   0.000000                   3.1075               0.875000   0.125000   0.000000
   1.733424  -0.905479   0.000000                   0.9928               0.875000   0.041667   0.000000
   1.733424  -1.096106   0.000000                  -0.5460               0.875000  -0.041667   0.000000
   1.733424  -1.286734   0.000000                  -0.0000               0.875000  -0.125000   0.000000
   1.733424  -1.477361   0.000000                   2.1392               0.875000  -0.208333   0.000000
   1.733424  -1.667988   0.000000                   3.3382               0.875000  -0.291667   0.000000
   1.733424  -1.858615   0.000000                   3.0086               0.875000  -0.375000   0.000000
   1.733424  -2.049243   0.000000                   2.6121               0.875000  -0.458333   0.000000
   1.733424  -2.239870   0.000000                   3.3471               0.875000  -0.541667   0.000000
   1.733424  -2.430497   0.000000                   3.0337               0.875000  -0.625000   0.000000
   1.733424  -2.621124   0.000000                   2.6828               0.875000  -0.708333   0.000000
   1.733424  -2.811751   0.000000                   3.3736               0.875000  -0.791667   0.000000
   1.733424  -3.002379   0.000000                   3.1075               0.875000  -0.875000   0.000000
   1.733424  -3.193006   0.000000                   0.9928               0.875000  -0.958333   0.000000
   1.733424  -3.383633   0.000000                  -0.5460               0.875000  -1.041667   0.000000
   1.733424  -3.574260   0.000000                  -0.0000               0.875000  -1.125000   0.000000
   1.733424  -3.764887   0.000000                   2.1392               0.875000  -1.208333   0.000000
   1.733424  -3.955515   0.000000                   3.3382               0.875000  -1.291667   0.000000
   1.733424  -4.146142   0.000000                   3.0086               0.875000  -1.375000   0.000000
   1.568336   2.621124   0.000000                   3.4328               0.791667   1.541667   0.000000
   1.568336   2.430497   0.000000                   5.0330               0.791667   1.458333   0.000000
   1.568336   2.239870   0.000000                   6.4178               0.791667   1.375000   0.000000
   1.568336   2.049243   0.000000                   4.0464               0.791667   1.291667   0.000000
   1.568336   1.858615   0.000000                   3.5453               0.791667   1.208333   0.000000
   1.568336   1.667988   0.000000                   3.3737               0.791667   1.125000   0.000000
   1.568336   1.477361   0.000000                   1.3963               0.791667   1.041667   0.000000
   1.568336   1.286734   0.000000                  -1.2949               0.791667   0.958333   0.000000
   1.568336   1.096106   0.000000                  -2.1392               0.791667   0.875000   0.000000
   1.568336   0.905479   0.000000                   0.0000               0.791667   0.791667   0.000000
   1.568336   0.714852   0.000000                   2.4715               0.791667   0.708333   0.000000
   1.568336   0.524225   0.000000                   3.5766               0.791667   0.625000   0.000000
