q1,q2,q3,kx_inv_A,ky_inv_A,kz_inv_A,omega_z_A2,flux_rad
-0.45833333333333337,-0.45833333333333337,0.0,-0.9079840203737901,-0.5242248185826864,0.0,0.0001,3.147026501530105e-06
-0.45833333333333337,-0.375,0.0,-0.9079840203737901,-0.33359761182534575,0.0,-1.9824,-0.0623866533663328
-0.45833333333333337,-0.29166666666666674,0.0,-0.9079840203737901,-0.1429704050680055,0.0,-3.1383,-0.09876313269751928
-0.45833333333333337,-0.20833333333333337,0.0,-0.9079840203737901,0.047656801689335115,0.0,-3.4329,-0.10803427277102698
-0.45833333333333337,-0.125,0.0,-0.9079840203737901,0.2382840084466757,0.0,-2.612,-0.08220033221996634
-0.45833333333333337,-0.04166666666666674,0.0,-0.9079840203737901,0.428911215204016,0.0,-1.0301,-0.03241751999226161
-0.45833333333333337,0.041666666666666664,0.0,-0.9079840203737901,0.6195384219613567,0.0,1.2478,0.03926859668609265
-0.45833333333333337,0.125,0.0,-0.9079840203737901,0.8101656287186971,0.0,3.3471,0.10533412403271415
-0.45833333333333337,0.20833333333333331,0.0,-0.9079840203737901,1.0007928354760376,0.0,5.033,0.15838984382201018
-0.45833333333333337,0.2916666666666667,0.0,-0.9079840203737901,1.1914200422333783,0.0,5.7679,0.18151734158175492
-0.45833333333333337,0.375,0.0,-0.9079840203737901,1.3820472489907187,0.0,4.5464,0.1430764128655647
-0.45833333333333337,0.45833333333333337,0.0,-0.9079840203737901,1.5726744557480594,0.0,2.5136,0.07910365814246072
-0.375,-0.45833333333333337,0.0,-0.7428960166694646,-0.6195384219613568,0.0,1.9824,0.0623866533663328
-0.375,-0.375,0.0,-0.7428960166694646,-0.4289112152040161,0.0,0.0,0.0
-0.375,-0.29166666666666674,0.0,-0.7428960166694646,-0.23828400844667585,0.0,-1.9968,-0.06283982518255313
-0.375,-0.20833333333333337,0.0,-0.7428960166694646,-0.047656801689335226,0.0,-3.5766,-0.11255654985372573
-0.375,-0.125,0.0,-0.7428960166694646,0.14297040506800535,0.0,-3.0087,-0.09468458635153627
-0.375,-0.04166666666666674,0.0,-0.7428960166694646,0.33359761182534564,0.0,-0.9664,-0.030412864110786936
