# schema=VASPBERRY_Z2_FIELD
# schema_version=2
# vaspberry_version=1.3.0
# result_status=PASS
# result_kind=FUKUI_HATSUGAI_NFIELD_Z2
# reportable_invariant=1
# z2_invariant=1
# half_top_z2_parity=1
# half_bottom_z2_parity=1
# half_bz_parity_consistent=1
# nkx=12
# nky=12
# band_min=1
# band_max=10
# band_rank=10
# spinor_components=2
# index_base=1
# plaquette_orientation=POSITIVE_B1_CROSS_B2
# nfield_definition=[(sum_link_arg)-wrap(sum_link_arg)]/(2*pi)
# overlap_backend=WAVECAR_PSEUDO_NO_PAW_AUGMENTATION
# input_trs_assumed=1
# input_trs_independently_verified=0
# check_scope=NUMERICAL_SELF_CONSISTENCY_OF_TR_RECONSTRUCTION
# check_scope_excludes=RAW_INPUT_TRS,KRAMERS_ENERGY,DIRECT_GAP,PAW_AUGMENTATION,MESH_CONVERGENCE
# physical_tr_rule=wrap[berry_flux(-k)+berry_flux(k)]=0
# nfield_note=gauge_and_log_branch_dependent
# threshold_policy=CONSERVATIVE_DIAGNOSTIC_MAY_FALSE_REJECT
# threshold_partner_fractional= 9.9999999999999995E-008
# threshold_min_link_singular= 9.9999999999999995E-007
# threshold_flux_tr_odd_rad= 1.0000000000000001E-005
# threshold_nfield_integer= 1.0000000000000000E-010
# threshold_total_chern= 1.0000000000000000E-004
# threshold_phase_margin_fraction_pi= 8.0000000000000004E-001
# threshold_max_abs_flux_rad= 2.5132741228718345E+000
# total_chern= 6.0253841465503288E-015
# minimum_link_singular_value= 7.9868060136430363E-001
# max_flux_tr_odd_residual_rad= 2.2204460492503131E-014
# max_nfield_integer_residual= 0.0000000000000000E+000
# max_nfield_pair_residual= 0.0000000000000000E+000
# max_abs_flux_rad= 1.1987545345260031E-008
# half_top_nfield_sum=-3
# half_bottom_nfield_sum=3
# numerical_self_consistency_checks_pass=1
cell_id,q1,q2,q3,kx_A-1,ky_A-1,kz_A-1,half_bz,tr_partner,berry_flux_rad,berry_curvature_A2,min_link_singular_value,nfield_raw,nfield_int,nfield_integer_residual,nfield_tr_pair_residual,flux_tr_odd_residual_rad,pair_nfield_int_sum,plaquette_checks_pass
12, 9.5833333333333337E-001, 8.7500000000000000E-001, 0.0000000000000000E+000, 1.3719759944511212E+000, 6.5435232541926636E-001, 0.0000000000000000E+000,-1,15,-1.1035117264412975E-009,-6.7144468410916871E-008, 8.2783988466893021E-001, 0.0000000000000000E+000,0, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.3211653993039363E-014,0,1
13, 4.1666666666666637E-002, 9.5833333333333337E-001, 0.0000000000000000E+000, 5.9651130193526962E-002, 1.5497818233614207E+000, 0.0000000000000000E+000,-1,2,-3.2850946407592119E-009,-1.9988544575295275E-007, 7.9868060136430385E-001, 0.0000000000000000E+000,0, 0.0000000000000000E+000, 0.0000000000000000E+000,-2.2204460492503131E-016,0,1
14, 4.1666666666666637E-002, 4.1666666666666637E-002, 0.0000000000000000E+000, 5.9651130193526962E-002, 3.4439596074698209E-002, 0.0000000000000000E+000,1,1, 4.7529944424695714E-009, 2.8920153502024290E-007, 7.9868060136430408E-001, 0.0000000000000000E+000,0, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4424906541753444E-015,0,1
15, 4.1666666666666637E-002, 1.2500000000000006E-001, 0.0000000000000000E+000, 5.9651130193526962E-002, 1.7219798037349127E-001, 0.0000000000000000E+000,1,12, 1.1035249380952905E-009, 6.7145272289537227E-008, 8.2783988466893144E-001, 0.0000000000000000E+000,0, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.3211653993039363E-014,0,1
16, 4.1666666666666637E-002, 2.0833333333333334E-001, 0.0000000000000000E+000, 5.9651130193526962E-002, 3.0995636467228410E-001, 0.0000000000000000E+000,1,11, 2.5018176648269937E-009, 1.5222603724164950E-007, 9.8657423225083851E-001, 1.0000000000000000E+000,1, 0.0000000000000000E+000, 0.0000000000000000E+000,-1.7763568394002505E-015,0,1
17, 4.1666666666666637E-002, 2.9166666666666663E-001, 0.0000000000000000E+000, 5.9651130193526962E-002, 4.4771474897107699E-001, 0.0000000000000000E+000,1,10,-2.0425868774154310E-009,-1.2428360005694013E-007, 1.0061432315422567E+000, 0.0000000000000000E+000,0, 0.0000000000000000E+000, 0.0000000000000000E+000, 5.8286708792820718E-016,0,1
18, 4.1666666666666637E-002, 3.7500000000000000E-001, 0.0000000000000000E+000, 5.9651130193526962E-002, 5.8547313326986994E-001, 0.0000000000000000E+000,1,9, 1.0131034899885094E-009, 6.1643472969602132E-008, 1.0317206416830351E+000, 0.0000000000000000E+000,0, 0.0000000000000000E+000, 0.0000000000000000E+000,-3.2751579226442118E-015,0,1
19, 4.1666666666666637E-002, 4.5833333333333337E-001, 0.0000000000000000E+000, 5.9651130193526962E-002, 7.2323151756866300E-001, 0.0000000000000000E+000,1,8, 7.7890538463520897E-010, 4.7393413899090053E-008, 1.0538504623273461E+000, 0.0000000000000000E+000,0, 0.0000000000000000E+000, 0.0000000000000000E+000,-4.8849813083506888E-015,0,1
20, 4.1666666666666637E-002, 5.4166666666666674E-001, 0.0000000000000000E+000, 5.9651130193526962E-002, 8.6098990186745605E-001, 0.0000000000000000E+000,-1,7,-4.9329809194448822E-010,-3.0015302382465649E-008, 1.0620444984253923E+000,-1.0000000000000000E+000,-1, 0.0000000000000000E+000, 0.0000000000000000E+000,-5.3290705182007514E-015,0,1
21, 4.1666666666666637E-002, 6.2499999999999989E-001, 0.0000000000000000E+000, 5.9651130193526962E-002, 9.9874828616624867E-001, 0.0000000000000000E+000,-1,6, 1.0328848887297681E-009, 6.2847095433306739E-008, 1.0542190613615321E+000, 0.0000000000000000E+000,0, 0.0000000000000000E+000, 0.0000000000000000E+000,-8.8817841970012523E-016,0,1
22, 4.1666666666666637E-002, 7.0833333333333337E-001, 0.0000000000000000E+000, 5.9651130193526962E-002, 1.1365066704650417E+000, 0.0000000000000000E+000,-1,5, 1.3516432417759461E-009, 8.2242322193467083E-008, 1.0339156241713254E+000, 0.0000000000000000E+000,0, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.8025138593411612E-015,0,1
23, 4.1666666666666637E-002, 7.9166666666666674E-001, 0.0000000000000000E+000, 5.9651130193526962E-002, 1.2742650547638348E+000, 0.0000000000000000E+000,-1,4,-4.7417747277425596E-009,-2.8851885828648786E-007, 1.0094639393557610E+000, 1.0000000000000000E+000,1, 0.0000000000000000E+000, 0.0000000000000000E+000, 7.1054273576010019E-015,0,1
