mu_eV,mu_minus_reference_eV,temperature_K,region,band_id,sigma_e2_over_h,sigma_S,delta_sigma_e2_over_h,electrons_per_cell,delta_electrons_per_cell
-1.4748738807166568,-1.0367751797248288,0.0,total,0,1.4101935434959222e-09,5.4631544659339344e-14,3.5768152086002036e-09,17.888888888888886,-0.11111111111111113
-1.469873880716657,-1.031775179724829,0.0,total,0,1.4101935434959222e-09,5.4631544659339344e-14,3.5768152086002036e-09,17.888888888888886,-0.11111111111111113
-1.4648738807166568,-1.0267751797248288,0.0,total,0,1.4101935434959222e-09,5.4631544659339344e-14,3.5768152086002036e-09,17.888888888888886,-0.11111111111111113
-1.459873880716657,-1.021775179724829,0.0,total,0,-3.0416754224545916e-11,-1.1783590092824971e-15,2.1362046714878957e-09,17.97222222222222,-0.027777777777777776
-1.4548738807166568,-1.0167751797248288,0.0,total,0,-3.0416754224545916e-11,-1.1783590092824971e-15,2.1362046714878957e-09,17.97222222222222,-0.027777777777777776
-1.449873880716657,-1.0117751797248289,0.0,total,0,-3.0416754224545916e-11,-1.1783590092824971e-15,2.1362046714878957e-09,17.97222222222222,-0.027777777777777776
-1.4448738807166568,-1.0067751797248288,0.0,total,0,-3.0416754224545916e-11,-1.1783590092824971e-15,2.1362046714878957e-09,17.97222222222222,-0.027777777777777776
-1.439873880716657,-1.0017751797248289,0.0,total,0,-3.0416754224545916e-11,-1.1783590092824971e-15,2.1362046714878957e-09,17.97222222222222,-0.027777777777777776
-1.4348738807166568,-0.9967751797248288,0.0,total,0,-3.0416754224545916e-11,-1.1783590092824971e-15,2.1362046714878957e-09,17.97222222222222,-0.027777777777777776
-1.4298738807166569,-0.9917751797248289,0.0,total,0,-3.0416754224545916e-11,-1.1783590092824971e-15,2.1362046714878957e-09,17.97222222222222,-0.027777777777777776
-1.4248738807166568,-0.9867751797248288,0.0,total,0,-3.0416754224545916e-11,-1.1783590092824971e-15,2.1362046714878957e-09,17.97222222222222,-0.027777777777777776
-1.4198738807166569,-0.9817751797248289,0.0,total,0,-1.3294395324584508e-09,-5.150309723397559e-14,8.371819695818239e-10,17.98611111111111,-0.013888888888888888
-1.4148738807166568,-0.9767751797248287,0.0,total,0,-1.3294395324584508e-09,-5.150309723397559e-14,8.371819695818239e-10,17.98611111111111,-0.013888888888888888
-1.4098738807166569,-0.9717751797248289,0.0,total,0,-1.3294395324584508e-09,-5.150309723397559e-14,8.371819695818239e-10,17.98611111111111,-0.013888888888888888
