spin,current,electric_field,sigma_hbar_over_e_e2_over_h,sigma_hbar_over_e_S
x,x,x,-0.33031011527965276,-1.2796365362442929e-05
x,x,y,2.6443628117347633e-06,1.0244382816180552e-10
x,x,z,3.532338292756938e-09,1.3684440556595356e-13
x,y,x,-1.5780840880694458e-06,-6.113570135900145e-11
x,y,y,0.3303050350318561,1.2796168551313236e-05
x,y,z,0.026536526641158704,1.0280372130383407e-06
x,z,x,1.1549985236240438e-07,4.474517254448089e-12
x,z,y,0.1843151390050292,7.140453021067677e-06
x,z,z,-3.1477046308568394e-07,-1.2194352109197693e-11
y,x,x,3.2835626132363116e-08,1.2720672164052867e-12
y,x,y,0.33030258040453647,1.279607345792506e-05
y,x,z,-0.026535741797985905,-1.0280068078538587e-06
y,y,x,0.33030702637185017,1.2796245696737933e-05
y,y,y,1.0987435181878908e-06,4.256582783256443e-11
y,y,z,-4.900193574821392e-09,-1.8983574655902309e-13
y,z,x,-0.18431423119044338,-7.140417851914254e-06
y,z,y,-1.1518760040466932e-07,-4.4624204703912854e-12
y,z,z,-9.809261665161873e-09,-3.8001529591954615e-13
z,x,x,6.656313325565545e-07,2.57868631145978e-11
z,x,y,0.6470204611530637,2.5065869420563085e-05
z,x,z,9.391537444659375e-07,3.6383246802835047e-11
z,y,x,-0.6470231782359892,-2.5065974681601808e-05
z,y,y,-6.669110116477334e-07,-2.5836438469514017e-11
z,y,z,2.144993182374208e-08,8.309801968483755e-13
z,z,x,-2.5050303920737163e-06,-9.704602631941728e-11
z,z,y,-1.7469315702109758e-07,-6.7676930258946895e-12
z,z,z,-1.1954763069622906e-11,-4.63133004361123e-16
