spin,current,electric_field,sigma_hbar_over_e_e2_over_h,sigma_hbar_over_e_S
x,x,x,-0.3402942629239967,-1.3183155821407325e-05
x,x,y,-1.8371766061453017e-06,-7.117306434186689e-11
x,x,z,-1.759024751866412e-06,-6.814542566280802e-11
x,y,x,3.5892724509231607e-07,1.3905006096612585e-11
x,y,y,0.34029298792578505,1.3183106427391828e-05
x,y,z,0.023695351018080377,9.179687662970238e-07
x,z,x,3.4724069580058712e-06,1.345226381702314e-10
x,z,y,0.19496389517022342,7.552990718952057e-06
x,z,z,1.9707166238079861e-07,7.634646587415734e-12
y,x,x,-4.5518074387521365e-07,-1.7633910786063632e-11
y,x,y,0.34029469126179,1.3183172415409895e-05
y,x,z,-0.023693143616834018,-9.178832505603168e-07
y,y,x,0.34029226296324533,1.3183078342010536e-05
y,y,y,3.3738911065274467e-06,1.3070608889972913e-10
y,y,z,4.8880261898560315e-06,1.893643764849022e-10
y,z,x,-0.19496569372043612,-7.553060395612201e-06
y,z,y,-5.2894262926957095e-06,-2.0491480057079482e-10
y,z,z,2.8203513577353374e-06,1.092617051508944e-10
z,x,x,6.379188938325447e-07,2.471327052813853e-11
z,x,y,0.690721235739549,2.6758857471374e-05
z,x,z,2.4527420223667644e-06,9.502035089494484e-11
z,y,x,-0.6907152913779231,-2.6758627184078232e-05
z,y,y,9.977211501065426e-07,3.865217495925275e-11
z,y,z,-2.795895160331445e-06,-1.0831426084664934e-10
z,z,x,-3.6837601308485896e-06,-1.4271055702314694e-10
z,z,y,4.6637089799742696e-06,1.8067422489114736e-10
z,z,z,2.390219779299161e-06,9.259821052272171e-11
