k_index,q1,q2,q3,path_inv_A,omega_z_A2,valid
1,0.3333333333333333,0.6666666666666666,0.0,0.0,-6.41480249987256,1
2,0.3194444444444445,0.638888888888889,0.0,0.05502933456810839,-5.828355026792523,1
3,0.3055555555555555,0.611111111111111,0.0,0.11005866913621709,-4.482093227067124,1
4,0.2916666666666667,0.5833333333333334,0.0,0.16508800370432547,-3.156156766190773,1
5,0.2777777777777778,0.5555555555555556,0.0,0.2201173382724339,-2.255441584806024,1
6,0.2638888888888889,0.5277777777777778,0.0,0.27514667284054245,-1.790989754391927,1
7,0.25,0.5,0.0,0.33017600740865094,-1.6369239537746754,1
8,0.2361111111111111,0.4722222222222222,0.0,0.3852053419767595,-1.6546292331271402,1
9,0.2222222222222222,0.4444444444444445,0.0,0.4402346765448678,-1.7016466298723627,1
10,0.2083333333333333,0.4166666666666667,0.0,0.49526401111297635,-1.5976881824106404,1
11,0.1944444444444444,0.3888888888888888,0.0,0.5502933456810851,-1.0966305095431297,1
12,0.1805555555555556,0.3611111111111112,0.0,0.6053226802491932,0.047010588171895386,1
13,0.1666666666666667,0.3333333333333333,0.0,0.6603520148173019,1.7261938712966767,1
14,0.1527777777777778,0.3055555555555556,0.0,0.7153813493854102,2.8709005748035104,1
15,0.1388888888888889,0.2777777777777777,0.0,0.770410683953519,2.3597831533228795,1
16,0.125,0.25,0.0,0.8254400185216273,1.118675489066554,1
17,0.1111111111111111,0.2222222222222222,0.0,0.8804693530897358,0.2434947104800314,1
18,0.0972222222222222,0.1944444444444444,0.0,0.9354986876578444,-0.15056603442773672,1
19,0.0833333333333333,0.1666666666666667,0.0,0.9905280222259527,-0.24505072553570026,1
20,0.0694444444444445,0.1388888888888889,0.0,1.0455573567940613,-0.2027133388225123,1
21,0.0555555555555555,0.1111111111111111,0.0,1.1005866913621698,-0.12592999568515617,1
22,0.0416666666666667,0.0833333333333333,0.0,1.1556160259302783,-0.06220122473459506,1
23,0.0277777777777778,0.0555555555555556,0.0,1.2106453604983867,-0.02490068758481255,1
24,0.0138888888888889,0.0277777777777778,0.0,1.2656746950664952,,0
25,0.0,0.0,0.0,1.3207040296346038,,0
26,-0.0138888888888889,-0.0277777777777778,0.0,1.3757333642027123,,0
27,-0.0277777777777778,-0.0555555555555555,0.0,1.4307626987708206,0.02509127595280928,1
28,-0.0416666666666667,-0.0833333333333333,0.0,1.4857920333389292,0.06214515652604657,1
29,-0.0555555555555556,-0.1111111111111112,0.0,1.540821367907038,0.1260610344507869,1
30,-0.0694444444444444,-0.1388888888888888,0.0,1.595850702475146,0.2028990897397717,1
31,-0.0833333333333333,-0.1666666666666667,0.0,1.6508800370432548,0.2449415987209942,1
32,-0.0972222222222223,-0.1944444444444445,0.0,1.7059093716113634,0.15058460468481513,1
33,-0.1111111111111111,-0.2222222222222222,0.0,1.7609387061794717,-0.2435100359656672,1
34,-0.125,-0.25,0.0,1.8159680407475802,-1.1187794966186038,1
35,-0.1388888888888889,-0.2777777777777778,0.0,1.8709973753156888,-2.3597863087236344,1
36,-0.1527777777777778,-0.3055555555555555,0.0,1.926026709883797,-2.8710093136326202,1
37,-0.1666666666666667,-0.3333333333333333,0.0,1.9810560444519056,-1.7262242255425404,1
38,-0.1805555555555556,-0.3611111111111112,0.0,2.0360853790200144,-0.047077724685301,1
39,-0.1944444444444444,-0.3888888888888888,0.0,2.0911147135881225,1.0966225475822475,1
40,-0.2083333333333333,-0.4166666666666667,0.0,2.146144048156231,1.5976951660719776,1
41,-0.2222222222222222,-0.4444444444444445,0.0,2.2011733827243396,1.7016898878375908,1
42,-0.2361111111111111,-0.4722222222222222,0.0,2.2562027172924477,1.6546434224929927,1
43,-0.25,-0.5,0.0,2.3112320518605562,1.636934191558614,1
44,-0.2638888888888889,-0.5277777777777778,0.0,2.366261386428665,1.790985926428237,1
45,-0.2777777777777777,-0.5555555555555555,0.0,2.421290720996773,2.2554603803325506,1
46,-0.2916666666666667,-0.5833333333333334,0.0,2.4763200555648814,3.156158949528968,1
47,-0.3055555555555556,-0.6111111111111112,0.0,2.53134939013299,4.48212446209931,1
48,-0.3194444444444444,-0.6388888888888888,0.0,2.586378724701098,5.828419548775803,1
49,-0.3333333333333333,-0.6666666666666666,0.0,2.6414080592692066,6.414846550186213,1
