case,base_mesh,refinement,radius_Ainv,point_count,sigma_e2_over_h,independent_postw90_e2_over_h,change_from_previous_e2_over_h,sampled_gap_eV,elapsed_seconds
n40-r7-R012,40,7,0.12,3088,1.0001934913592478,1.0001934839919,,0.017101382218936756,54.0051711529959
n60-r7-R012,60,7,0.12,6528,1.0000548041196191,1.0000548000054412,-0.00013868723962873197,0.017101382218936756,132.90043299808167
n60-r11-R012,60,11,0.12,10920,1.0000497725580064,1.000049762164232,-5.0315616126894724e-06,0.017101382218936756,215.9032308019232
n60-r11-R018,60,11,0.18,21720,1.0005919297781898,1.0005919239860739,0.0005421572201833591,0.017101382218936756,458.8386472070124
n80-r9-R018,80,9,0.18,27600,1.0003849781827807,1.0003849765685957,-0.00020695159540906616,0.017101382218936756,573.7848666580394
