k_index,kx_frac,ky_frac,kz_frac,source_k_weight,photon_eV,I_plus_A2_per_eV,I_minus_A2_per_eV,eta,eta_valid
1,0.0,0.0,0.0,0.02,1.27,1.35376351422267e-242,1.3739761569572306e-242,nan,False
1,0.0,0.0,0.0,0.02,1.28,9.333187726650401e-240,9.472538792853196e-240,nan,False
1,0.0,0.0,0.0,0.02,1.29,6.182233699756898e-237,6.274538803094315e-237,nan,False
1,0.0,0.0,0.0,0.02,1.3,3.934495525885209e-234,3.993240315185509e-234,nan,False
1,0.0,0.0,0.0,0.02,1.31,2.4058077198676435e-231,2.4417281235562114e-231,nan,False
1,0.0,0.0,0.0,0.02,1.32,1.4133866769890406e-228,1.4344895355368063e-228,nan,False
1,0.0,0.0,0.0,0.02,1.33,7.977912945445658e-226,8.097028804633452e-226,nan,False
1,0.0,0.0,0.0,0.02,1.3399999999999999,4.326590710864014e-223,4.391189757432039e-223,nan,False
1,0.0,0.0,0.0,0.02,1.35,2.254397814603918e-220,2.288057561767608e-220,nan,False
1,0.0,0.0,0.0,0.02,1.3599999999999999,1.1286090195860728e-217,1.1454599471374737e-217,nan,False
1,0.0,0.0,0.0,0.02,1.37,5.428560714030061e-215,5.509612948872249e-215,nan,False
1,0.0,0.0,0.0,0.02,1.38,2.5087310374238815e-212,2.5461881587333366e-212,nan,False
1,0.0,0.0,0.0,0.02,1.3900000000000001,1.1139141658262908e-209,1.130545688861347e-209,nan,False
1,0.0,0.0,0.0,0.02,1.4,4.752012472265613e-207,4.8229633653595474e-207,nan,False
1,0.0,0.0,0.0,0.02,1.4100000000000001,1.9477429336730163e-204,1.9768241074847536e-204,nan,False
1,0.0,0.0,0.0,0.02,1.42,7.670327788137025e-202,7.784851184291345e-202,nan,False
1,0.0,0.0,0.0,0.02,1.4300000000000002,2.90218057381619e-199,2.945512173813854e-199,nan,False
1,0.0,0.0,0.0,0.02,1.44,1.0550259903557436e-196,1.070778271455579e-196,nan,False
1,0.0,0.0,0.0,0.02,1.4500000000000002,3.6849373370061095e-194,3.7399560467804794e-194,nan,False
1,0.0,0.0,0.0,0.02,1.46,1.2365887074920501e-191,1.2550518478349044e-191,nan,False
1,0.0,0.0,0.0,0.02,1.47,3.987022312837216e-189,4.046551364061775e-189,nan,False
1,0.0,0.0,0.0,0.02,1.48,1.2350947531902371e-186,1.2535355877431606e-186,nan,False
1,0.0,0.0,0.0,0.02,1.49,3.676038982183777e-184,3.7309248332534624e-184,nan,False
1,0.0,0.0,0.0,0.02,1.5,1.0512067968573265e-181,1.06690205470834e-181,nan,False
1,0.0,0.0,0.0,0.02,1.51,2.8881811759456673e-179,2.931303755073229e-179,nan,False
1,0.0,0.0,0.0,0.02,1.52,7.62410601508689e-177,7.737939287615181e-177,nan,False
1,0.0,0.0,0.0,0.02,1.53,1.9336668009940536e-174,1.9625378082309533e-174,nan,False
1,0.0,0.0,0.0,0.02,1.54,4.711970642046135e-172,4.782323682413089e-172,nan,False
1,0.0,0.0,0.0,0.02,1.55,1.1031935947888038e-169,1.1196650521476804e-169,nan,False
1,0.0,0.0,0.0,0.02,1.56,2.4815847297489023e-167,2.5186365375653933e-167,nan,False
1,0.0,0.0,0.0,0.02,1.57,5.36333229432918e-165,5.4434106229243e-165,nan,False
1,0.0,0.0,0.0,0.02,1.58,1.1137007782341818e-162,1.130329115242197e-162,nan,False
1,0.0,0.0,0.0,0.02,1.59,2.2219309670046265e-160,2.2551059612669804e-160,nan,False
1,0.0,0.0,0.0,0.02,1.6,4.259129264399467e-158,4.322721064058103e-158,nan,False
1,0.0,0.0,0.0,0.02,1.61,7.844030996470441e-156,7.961147903865833e-156,nan,False
1,0.0,0.0,0.0,0.02,1.62,1.3879889285839441e-153,1.4087125808601706e-153,nan,False
1,0.0,0.0,0.0,0.02,1.6300000000000001,2.3597224450916195e-151,2.3949547631695284e-151,nan,False
1,0.0,0.0,0.0,0.02,1.6400000000000001,3.854464638103e-149,3.912014509882273e-149,nan,False
1,0.0,0.0,0.0,0.02,1.6500000000000001,6.049164971459442e-147,6.139483264961935e-147,nan,False
1,0.0,0.0,0.0,0.02,1.66,9.121263716122515e-145,9.257450607588235e-145,nan,False
1,0.0,0.0,0.0,0.02,1.67,1.3214259060687568e-142,1.3411557255379257e-142,nan,False
1,0.0,0.0,0.0,0.02,1.68,1.8393265588820737e-140,1.8667889998596024e-140,nan,False
1,0.0,0.0,0.0,0.02,1.69,2.4598186374176293e-138,2.4965454621455695e-138,nan,False
1,0.0,0.0,0.0,0.02,1.7,3.1606438004906226e-136,3.2078344385003963e-136,nan,False
1,0.0,0.0,0.0,0.02,1.71,3.9019009589765195e-134,3.960159088436241e-134,nan,False
1,0.0,0.0,0.0,0.02,1.72,4.628125739888221e-132,4.697226916813276e-132,nan,False
1,0.0,0.0,0.0,0.02,1.73,5.27426902828257e-130,5.3530175795875946e-130,nan,False
1,0.0,0.0,0.0,0.02,1.74,5.774942014067603e-128,5.861165965678662e-128,nan,False
1,0.0,0.0,0.0,0.02,1.75,6.075208648592132e-126,6.165915792537e-126,nan,False
1,0.0,0.0,0.0,0.02,1.76,6.1404894420125545e-124,6.23217127418101e-124,nan,False
1,0.0,0.0,0.0,0.02,1.77,5.963112469827918e-122,6.052145938873539e-122,nan,False
1,0.0,0.0,0.0,0.02,1.78,5.563796449040921e-120,5.646867848654505e-120,nan,False
1,0.0,0.0,0.0,0.02,1.79,4.987669708515567e-118,5.06213913012212e-118,nan,False
1,0.0,0.0,0.0,0.02,1.8,4.295882161397021e-116,4.3600227076932104e-116,nan,False
1,0.0,0.0,0.0,0.02,1.81,3.55496438730287e-114,3.6080425093971106e-114,nan,False
1,0.0,0.0,0.0,0.02,1.82,2.826482947822802e-112,2.8686843289499e-112,nan,False
1,0.0,0.0,0.0,0.02,1.83,2.159164373512369e-110,2.1914022183268352e-110,nan,False
1,0.0,0.0,0.0,0.02,1.84,1.5847226397316598e-108,1.6083836648765562e-108,nan,False
1,0.0,0.0,0.0,0.02,1.85,1.1175038803982877e-106,1.1341890004001703e-106,nan,False
1,0.0,0.0,0.0,0.02,1.86,7.571345036088808e-105,7.68439055004065e-105,nan,False
1,0.0,0.0,0.0,0.02,1.87,4.928619113052432e-103,5.00220686767888e-103,nan,False
1,0.0,0.0,0.0,0.02,1.8800000000000001,3.0825185338081627e-101,3.128542706562074e-101,nan,False
1,0.0,0.0,0.0,0.02,1.8900000000000001,1.852312923657602e-99,1.879969260207637e-99,nan,False
