spin,current,electric_field,sigma_hbar_over_e_e2_over_h,sigma_hbar_over_e_S
x,x,x,-0.6628814642439861,-2.5680331954943674e-05
x,x,y,2.983625971595687e-06,1.1558703857763468e-10
x,x,z,-1.4579250096009795e-07,-5.648068354825365e-12
x,y,x,-1.148111278581403e-06,-4.4478357512698744e-11
x,y,y,0.6628779597144204,2.5680196187860948e-05
x,y,z,-0.003977835756924538,-1.5410318165491458e-07
x,z,x,9.350379324090748e-07,3.622379835603779e-11
x,z,y,0.3743654464280443,1.4503089097079215e-05
x,z,z,-1.2833524569899311e-07,-4.9717662792519396e-12
y,x,x,-8.909174801827916e-07,-3.4514551800976244e-11
y,x,y,0.6628764560886858,2.5680137936710354e-05
y,x,z,0.0039856236678831435,1.5440488889737103e-07
y,y,x,0.6628760246986406,2.5680121224462144e-05
y,y,y,9.444898977662542e-07,3.6589971829112385e-11
y,y,z,1.4587440313316978e-07,5.651241282574543e-12
y,z,x,-0.37436848263036504,-1.4503206720949672e-05
y,z,y,-9.350487749761995e-07,-3.622421840206114e-11
y,z,z,4.5227580638797214e-08,1.7521372175460298e-12
z,x,x,3.423361415994235e-07,1.3262259137799622e-11
z,x,y,1.4103127908046291,5.4636164354771346e-05
z,x,z,-1.428002761580506e-06,-5.5321481936121855e-11
z,y,x,-1.41031492073976,-5.463624686943521e-05
z,y,y,-3.4225580785190697e-07,-1.3259146971575812e-11
z,y,z,4.5214502017887644e-07,1.7516305457734927e-11
z,z,x,-7.222360450949977e-07,-2.7979755640049905e-11
z,z,y,-3.3981558030076185e-07,-1.3164611437035748e-11
z,z,z,-4.770136065641023e-11,-1.847972590025877e-15
