k_index,kx_frac,ky_frac,kz_frac,source_k_weight,initial_first,initial_last,final_first,final_last,transition_eV,transition_min_eV,transition_max_eV,I_plus_A2,I_minus_A2,eta,eta_valid
1,0.0,0.0,0.0,0.02,1,2,37,38,16.82487309830991,16.82487309814479,16.82487309847503,7.362505539218644e-14,7.038782714049636e-14,nan,False
1,0.0,0.0,0.0,0.02,1,2,39,40,16.85292009493431,16.85292009479671,16.85292009507191,2.7528582327547394e-06,2.752861692469528e-06,nan,False
1,0.0,0.0,0.0,0.02,3,4,37,38,16.660633594105033,16.66063359393991,16.660633594270152,0.0003991601886002731,0.00039916027786284706,nan,False
1,0.0,0.0,0.0,0.02,3,4,39,40,16.68868059072943,16.68868059059183,16.68868059086703,2.174268142043937e-12,2.1667735839293708e-12,nan,False
1,0.0,0.0,0.0,0.02,5,6,37,38,15.734975931826199,15.734975931716114,15.73497593193628,6.108119922591766e-13,6.088384981180625e-13,nan,False
1,0.0,0.0,0.0,0.02,5,6,39,40,15.763022928450596,15.763022928368033,15.763022928533156,0.003248526168618281,0.003248526520199674,-5.411398209995669e-08,True
1,0.0,0.0,0.0,0.02,7,8,37,38,15.497837454914835,15.497837454832272,15.497837454997397,0.0029205837643327495,0.002920583589797746,2.988015803276258e-08,True
1,0.0,0.0,0.0,0.02,7,8,39,40,15.52588445153923,15.52588445148419,15.525884451594273,3.3888161441078854e-12,3.3934075515798075e-12,nan,False
1,0.0,0.0,0.0,0.02,9,10,37,38,8.577682762471387,8.577682762333783,8.577682762608987,8.129437062165741e-14,4.5252979937392114e-14,nan,False
1,0.0,0.0,0.0,0.02,9,10,39,40,8.605729759095784,8.605729758985701,8.605729759205865,2.5998948988882496e-05,2.5998556723709848e-05,nan,False
1,0.0,0.0,0.0,0.02,11,12,37,38,8.017213859227118,8.017213859061997,8.017213859392239,0.0002963367558373944,0.0002963377880603425,nan,False
1,0.0,0.0,0.0,0.02,11,12,39,40,8.045260855851513,8.045260855713913,8.045260855989117,2.4914637946408787e-12,2.5925592361880612e-12,nan,False
1,0.0,0.0,0.0,0.02,13,14,37,38,5.173458828312711,5.17345882346913,5.173458833156292,1.7282619630311364e-13,1.3922151071386069e-13,nan,False
1,0.0,0.0,0.0,0.02,13,14,39,40,5.201505824937108,5.201505820121048,5.2015058297531676,0.0034084118174450627,0.003408414461261125,-3.878367959297004e-07,True
1,0.0,0.0,0.0,0.02,15,16,37,38,5.166023028149528,5.166023023223387,5.16602303307567,0.003938822311624731,0.003938814659825439,9.71331799117802e-07,True
1,0.0,0.0,0.0,0.02,15,16,39,40,5.194070024773925,5.194070019875304,5.194070029672546,8.570566985922424e-11,8.20533367311808e-11,nan,False
1,0.0,0.0,0.0,0.02,17,18,37,38,5.148469819391556,5.148469819226434,5.148469819556679,5.4426783276933415e-12,5.8276051856835616e-12,nan,False
1,0.0,0.0,0.0,0.02,17,18,39,40,5.176516816015953,5.176516815878351,5.176516816153555,0.0933136778131009,0.09331364181606662,1.9288191222724384e-07,True
1,0.0,0.0,0.0,0.02,19,20,37,38,5.094927296679951,5.094927296514829,5.094927296845073,0.00011750169769929577,0.00011750676017688571,nan,False
1,0.0,0.0,0.0,0.02,19,20,39,40,5.122974293304347,5.122974293166746,5.122974293441949,6.410380319093346e-12,6.537604686190397e-12,nan,False
1,0.0,0.0,0.0,0.02,21,22,37,38,5.0800867424376115,5.08008674232753,5.080086742547692,1.05768771797723e-11,1.0890930711718083e-11,nan,False
1,0.0,0.0,0.0,0.02,21,22,39,40,5.108133739062008,5.108133738979447,5.108133739144568,0.04638722683862741,0.04638721063232798,1.7468496569994886e-07,True
1,0.0,0.0,0.0,0.02,23,24,37,38,4.1135832543067945,4.113583254141672,4.1135832544719175,9.34370553288445e-10,9.189389530170027e-10,nan,False
1,0.0,0.0,0.0,0.02,23,24,39,40,4.1416302509311915,4.14163025079359,4.1416302510687935,0.00035846979980293676,0.0003583971832182011,nan,False
1,0.0,0.0,0.0,0.02,25,26,37,38,4.095242947644668,4.095242947534587,4.09524294775475,0.03356457550010214,0.03356420880525285,5.462557576237958e-06,True
1,0.0,0.0,0.0,0.02,25,26,39,40,4.1232899442690645,4.123289944186504,4.123289944351626,3.4233515131482586e-09,3.3505426585844927e-09,nan,False
1,0.0,0.0,0.0,0.02,27,30,37,38,4.02788122249604,4.026950552532036,4.028811885855161,0.24581988968919674,0.24582009416914494,-4.159139917612224e-07,True
1,0.0,0.0,0.0,0.02,27,30,39,40,4.055928219120436,4.054997549183954,4.056858882452037,2.5931100862005834,2.5931096793636566,7.844575532940575e-08,True
1,0.0,0.0,0.0,0.02,31,32,37,38,4.0001478805577495,4.0001478740904695,4.0001478870250295,2.4052661882028707,2.4052664657444223,-5.769455723184532e-08,True
1,0.0,0.0,0.0,0.02,31,32,39,40,4.0281948771821465,4.028194870742386,4.0281948836219055,1.7130351354893741e-12,2.3792536712648846e-12,nan,False
1,0.0,0.0,0.0,0.02,33,34,37,38,3.0461183233672244,3.046118323257143,3.046118323477306,2.3794843179060615e-11,2.3540785860599243e-11,nan,False
1,0.0,0.0,0.0,0.02,33,34,39,40,3.0741653199916215,3.0741653199090604,3.074165320074182,0.04394648555075492,0.04394650962196292,-2.738694699364228e-07,True
1,0.0,0.0,0.0,0.02,35,36,37,38,2.366393884050164,2.3663938839951233,2.366393884105205,0.5407949620545262,0.540794853839207,1.0005208773220785e-07,True
1,0.0,0.0,0.0,0.02,35,36,39,40,2.3944408806745607,2.3944408806470405,2.394440880702081,9.943668056433038e-10,9.98899125382184e-10,nan,False
2,0.0,0.0416666666666667,0.0,0.02,1,2,37,38,16.788289641647058,16.788289207210582,16.788290076083534,5.567149867268775e-05,5.567037957206447e-05,nan,False
2,0.0,0.0416666666666667,0.0,0.02,1,2,39,40,16.8071246260782,16.807124362729535,16.807124889426863,0.00015300420499241967,0.00015300860235293207,nan,False
2,0.0,0.0416666666666667,0.0,0.02,3,4,37,38,16.62429021920574,16.624289784741507,16.624290653669973,0.0005647332944365904,0.0005647401325850669,nan,False
2,0.0,0.0416666666666667,0.0,0.02,3,4,39,40,16.64312520363688,16.64312494026046,16.643125467013302,0.0001665836970307428,0.00016658860018159722,nan,False
2,0.0,0.0416666666666667,0.0,0.02,5,6,37,38,15.709632165780427,15.70963173134395,15.709632600216905,0.0008243785136080136,0.0008244402262743164,nan,False
2,0.0,0.0416666666666667,0.0,0.02,5,6,39,40,15.72846715021157,15.728466886862906,15.728467413560233,0.002649240448046917,0.0026492488417581964,-1.584170660789416e-06,True
2,0.0,0.0416666666666667,0.0,0.02,7,8,37,38,15.474186548060363,15.474186113707155,15.474186982413572,0.002191858129283543,0.002191850408470981,1.761251345910797e-06,True
2,0.0,0.0416666666666667,0.0,0.02,7,8,39,40,15.493021532491506,15.49302126922611,15.493021795756901,0.0007350258692789148,0.0007351181614086486,nan,False
2,0.0,0.0416666666666667,0.0,0.02,9,10,37,38,8.536138304468391,8.53613786797797,8.53613874095881,0.00029748390310076835,0.00029748469581998186,nan,False
2,0.0,0.0416666666666667,0.0,0.02,9,10,39,40,8.554973288899532,8.554973023496926,8.554973554302139,0.0002042399668044794,0.00020424710879174158,nan,False
2,0.0,0.0416666666666667,0.0,0.02,11,12,37,38,7.975656342718297,7.975655905506223,7.975656779930372,0.00043026381986406277,0.0004302731481350045,nan,False
2,0.0,0.0416666666666667,0.0,0.02,11,12,39,40,7.994491327149439,7.994491061025178,7.9944915932737,0.0002939210851497033,0.00029392445321744273,nan,False
2,0.0,0.0416666666666667,0.0,0.02,13,14,37,38,5.207895564165148,5.207894978375355,5.207896149954941,0.02129909583311866,0.02130011954196364,-2.4031166676777456e-05,True
2,0.0,0.0416666666666667,0.0,0.02,13,14,39,40,5.22673054859629,5.226730133894311,5.2267309632982695,0.030343456901277224,0.030343548227494042,-1.50487269266851e-06,True
