# Job running on    1 total cores
# File reading...  : ../2.band/WAVECAR                                                                                                                                                                                                                                               
# TOTAL RECORD LENGTH =     38160
# ISPIN            :      1 (LSORBIT = .TRUE.)
# ENCUT (eV)       :    400.0000
# NKPOINT          :     48
#  K-GRID          :     12   X  12
# NBANDS           :     32
# RECIVEC B1 (A^-1):      1.981056    -1.143763     0.000000
# RECIVEC B2       :      0.000000     2.287527     0.000000
# RECIVEC B3       :      0.000000    -0.000000     0.418879
#  dk^2 = |dk1xk2| =      0.031470
  
# Chern Number for the BAND :   12
# Chern Number is sum of Berry Curvature over 1BZ
# Chern Number =         23510.2502
# Berry curvature using kubo for BAND  index n   12
# Omega_n=      |P(k,s,nm,+)|^2-|P(k,s,nm,-)|^2
#         sum_n -------------------------------
#        (n/=m) |energy(k,s,n)-energy(k,s,m)|^2
#  The TRANSITION MATRIX ELEMENT P =
#   P(k,s,nm,+ or -) = 1/sqrt(2)[p_x(k,nm,s) +(or -) i*p_y(k,nm,s)]
#  THE INTERBAND TRANSITION MATRIX p_x,y =
#   p_x,y(k,nm,s)=<psi(k,n,s)|-i*hbar*1/dx(y)|psi(k,m,s)>
# (cart) kx        ky        kz(A^-1)   BERRYKUBO(A^2),          (recip)kx        ky        kz
   0.258396  -1.839965   0.000000                  70.6170               0.130433  -0.739130   0.000000
   0.229685  -1.889694   0.000000                  43.9118               0.115941  -0.768116   0.000000
   0.200975  -1.939423   0.000000                  35.4891               0.101448  -0.797101   0.000000
   0.172264  -1.989152   0.000000                   9.1138               0.086956  -0.826087   0.000000
   0.143553  -2.038881   0.000000                   4.4730               0.072463  -0.855072   0.000000
   0.114843  -2.088610   0.000000                   7.2356               0.057970  -0.884058   0.000000
   0.086132  -2.138339   0.000000                  -1.3997               0.043478  -0.913043   0.000000
   0.057421  -2.188068   0.000000                   0.4907               0.028985  -0.942029   0.000000
   0.028711  -2.237798   0.000000                  -5.2828               0.014493  -0.971014   0.000000
   0.000000  -2.287527   0.000000             4392417.0322               0.000000  -1.000000   0.000000
   0.000000  -2.287527   0.000000              301513.9811               0.000000  -1.000000   0.000000
  -0.028711  -2.337256   0.000000                   5.3217              -0.014493  -1.028986   0.000000
  -0.057421  -2.386985   0.000000                  -0.4908              -0.028985  -1.057971   0.000000
  -0.086132  -2.436714   0.000000                   1.3995              -0.043478  -1.086957   0.000000
  -0.114843  -2.486443   0.000000                  -7.2355              -0.057970  -1.115942   0.000000
  -0.143553  -2.536172   0.000000                  -4.4717              -0.072463  -1.144928   0.000000
  -0.172264  -2.585901   0.000000                  -9.1139              -0.086956  -1.173913   0.000000
  -0.200975  -2.635630   0.000000                 -35.4891              -0.101448  -1.202899   0.000000
  -0.229685  -2.685359   0.000000                 -43.9118              -0.115941  -1.231884   0.000000
  -0.258396  -2.735088   0.000000                 -70.6170              -0.130433  -1.260870   0.000000
  -0.287107  -2.784817   0.000000                -107.6595              -0.144926  -1.289855   0.000000
  -0.315817  -2.834546   0.000000                -111.4100              -0.159419  -1.318841   0.000000
  -0.344528  -2.884275   0.000000                 -65.7646              -0.173911  -1.347826   0.000000
  -0.373239  -2.934004   0.000000                 -30.3725              -0.188404  -1.376812   0.000000
  -0.401949  -2.983733   0.000000                 -14.6590              -0.202897  -1.405797   0.000000
  -0.430660  -3.033462   0.000000                  -7.9009              -0.217389  -1.434783   0.000000
  -0.459371  -3.083191   0.000000                  -4.3943              -0.231882  -1.463768   0.000000
  -0.488081  -3.132920   0.000000                  -1.8657              -0.246374  -1.492754   0.000000
  -0.516792  -3.182649   0.000000                   1.1296              -0.260867  -1.521739   0.000000
  -0.545503  -3.232378   0.000000                 240.2181              -0.275360  -1.550725   0.000000
  -0.574213  -3.282107   0.000000                 214.8452              -0.289852  -1.579710   0.000000
  -0.602924  -3.331836   0.000000                  82.1718              -0.304345  -1.608696   0.000000
