spin,current,electric_field,sigma_hbar_over_e_e2_over_h,sigma_hbar_over_e_S
x,x,x,-0.3402953946815512,-1.3183199666214064e-05
x,x,y,2.471495501419756e-06,9.574686927472812e-11
x,x,z,-4.1491957718570655e-08,-1.6074174722755474e-12
x,y,x,-1.4470797480506057e-06,-5.6060533141620354e-11
x,y,y,0.34029323215297164,1.318311588886505e-05
x,y,z,0.023692071394954405,9.178417121929267e-07
x,z,x,2.1140445926830833e-07,8.189905712565381e-12
x,z,y,0.19496637834145386,7.553086918144429e-06
x,z,z,-8.012405426124043e-08,-3.104042610923316e-12
y,x,x,-5.5043761172030684e-08,-2.132420553588004e-12
y,x,y,0.34029252475413074,1.3183088483909507e-05
y,x,z,-0.0236901084177255,-9.177656655547608e-07
y,y,x,0.3402924143257964,1.3183084205865185e-05
y,y,y,9.693570948685707e-07,3.7553338450179125e-11
y,y,z,4.148243370221447e-08,1.6070485075137252e-12
y,z,x,-0.19496670657067894,-7.553099633895151e-06
y,z,y,-2.1150957288069144e-07,-8.19397786211939e-12
y,z,z,-8.901682671962932e-09,-3.448552694625327e-13
z,x,x,5.606853500366832e-07,2.172120761837465e-11
z,x,y,0.6907226657440981,2.67589128704061e-05
z,x,z,2.66351193031282e-07,1.0318567379824963e-11
z,y,x,-0.6907238336936516,-2.6758958117307484e-05
z,y,y,-5.606450869415104e-07,-2.1719647807601015e-11
z,y,z,8.896870302786122e-08,3.4466883607343325e-12
z,z,x,-8.692136752624483e-07,-3.3673736443926816e-11
z,z,y,-1.9830166157679933e-07,-7.682297320407094e-12
z,z,z,-2.312354167396004e-12,-8.958166100458361e-17
