k_index,kx_fractional,ky_fractional,kz_fractional,path_distance_inv_A,band,energy_eV,occupation
2,0.0,0.0416666666666667,0.0,0.09531360337867033,15,-2.723174468565097,1.0
2,0.0,0.0416666666666667,0.0,0.09531360337867033,16,-2.7231739841123592,1.0
2,0.0,0.0416666666666667,0.0,0.09531360337867033,17,-2.705855949380931,1.0
2,0.0,0.0416666666666667,0.0,0.09531360337867033,18,-2.705855569845768,1.0
2,0.0,0.0416666666666667,0.0,0.09531360337867033,19,-2.610589665120186,1.0
2,0.0,0.0416666666666667,0.0,0.09531360337867033,20,-2.6105893881710953,1.0
2,0.0,0.0416666666666667,0.0,0.09531360337867033,21,-2.6060904384099497,1.0
2,0.0,0.0416666666666667,0.0,0.09531360337867033,22,-2.606090165624255,1.0
2,0.0,0.0416666666666667,0.0,0.09531360337867033,23,-1.863386424126769,1.0
2,0.0,0.0416666666666667,0.0,0.09531360337867033,24,-1.8633861598899135,1.0
2,0.0,0.0416666666666667,0.0,0.09531360337867033,25,-1.6298234266342062,1.0
2,0.0,0.0416666666666667,0.0,0.09531360337867033,26,-1.629822737619953,1.0
2,0.0,0.0416666666666667,0.0,0.09531360337867033,27,-1.62087457985292,1.0
2,0.0,0.0416666666666667,0.0,0.09531360337867033,28,-1.620873455569512,1.0
2,0.0,0.0416666666666667,0.0,0.09531360337867033,29,-1.5136310484801743,1.0
2,0.0,0.0416666666666667,0.0,0.09531360337867033,30,-1.5136307962894113,1.0
2,0.0,0.0416666666666667,0.0,0.09531360337867033,31,-1.3305150535786612,1.0
2,0.0,0.0416666666666667,0.0,0.09531360337867033,32,-1.3305148552899966,1.0
2,0.0,0.0416666666666667,0.0,0.09531360337867033,33,-0.5648744607663077,1.0
2,0.0,0.0416666666666667,0.0,0.09531360337867033,34,-0.5648744496639186,1.0
2,0.0,0.0416666666666667,0.0,0.09531360337867033,35,0.08465845046387674,1.0
2,0.0,0.0416666666666667,0.0,0.09531360337867033,36,0.08465846056705062,1.0
2,0.0,0.0416666666666667,0.0,0.09531360337867033,37,2.4709200771943665,0.0
2,0.0,0.0416666666666667,0.0,0.09531360337867033,38,2.4709209450681047,0.0
2,0.0,0.0416666666666667,0.0,0.09531360337867033,39,2.489755232713321,0.0
2,0.0,0.0416666666666667,0.0,0.09531360337867033,40,2.4897557584114334,0.0
2,0.0,0.0416666666666667,0.0,0.09531360337867033,41,2.5483297518384265,0.0
2,0.0,0.0416666666666667,0.0,0.09531360337867033,42,2.54833020276195,0.0
2,0.0,0.0416666666666667,0.0,0.09531360337867033,43,2.59523420563475,0.0
2,0.0,0.0416666666666667,0.0,0.09531360337867033,44,2.595234562632064,0.0
2,0.0,0.0416666666666667,0.0,0.09531360337867033,45,2.609465588965288,0.0
2,0.0,0.0416666666666667,0.0,0.09531360337867033,46,2.6094664487342816,0.0
2,0.0,0.0416666666666667,0.0,0.09531360337867033,47,2.6546859051856733,0.0
2,0.0,0.0416666666666667,0.0,0.09531360337867033,48,2.6546866171818704,0.0
2,0.0,0.0416666666666667,0.0,0.09531360337867033,49,2.6685103866860787,0.0
2,0.0,0.0416666666666667,0.0,0.09531360337867033,50,2.668511104011422,0.0
2,0.0,0.0416666666666667,0.0,0.09531360337867033,51,2.7236950729843143,0.0
2,0.0,0.0416666666666667,0.0,0.09531360337867033,52,2.723695173238886,0.0
2,0.0,0.0416666666666667,0.0,0.09531360337867033,53,5.199364238662495,0.0
2,0.0,0.0416666666666667,0.0,0.09531360337867033,54,5.199364488022148,0.0
2,0.0,0.0416666666666667,0.0,0.09531360337867033,55,5.339887803936707,0.0
2,0.0,0.0416666666666667,0.0,0.09531360337867033,56,5.339887838631672,0.0
2,0.0,0.0416666666666667,0.0,0.09531360337867033,57,6.235123936011977,0.0
2,0.0,0.0416666666666667,0.0,0.09531360337867033,58,6.235124487578656,0.0
2,0.0,0.0416666666666667,0.0,0.09531360337867033,59,6.521904925542108,0.0
2,0.0,0.0416666666666667,0.0,0.09531360337867033,60,6.521904940585845,0.0
2,0.0,0.0416666666666667,0.0,0.09531360337867033,61,6.67913187615031,0.0
2,0.0,0.0416666666666667,0.0,0.09531360337867033,62,6.679132508597892,0.0
2,0.0,0.0416666666666667,0.0,0.09531360337867033,63,7.837682744571312,0.0
2,0.0,0.0416666666666667,0.0,0.09531360337867033,64,7.8376829360875195,0.0
3,0.0,0.0833333333333333,0.0,0.19062720675734043,1,-14.243335270173667,1.0
3,0.0,0.0833333333333333,0.0,0.19062720675734043,2,-14.243335268201857,1.0
3,0.0,0.0833333333333333,0.0,0.19062720675734043,3,-14.080137199645328,1.0
3,0.0,0.0833333333333333,0.0,0.19062720675734043,4,-14.080137197617187,1.0
3,0.0,0.0833333333333333,0.0,0.19062720675734043,5,-13.198079403310249,1.0
3,0.0,0.0833333333333333,0.0,0.19062720675734043,6,-13.198079401338443,1.0
3,0.0,0.0833333333333333,0.0,0.19062720675734043,7,-12.96768680002306,1.0
3,0.0,0.0833333333333333,0.0,0.19062720675734043,8,-12.967686798389273,1.0
3,0.0,0.0833333333333333,0.0,0.19062720675734043,9,-5.978132434514802,1.0
3,0.0,0.0833333333333333,0.0,0.19062720675734043,10,-5.978132424148736,1.0
3,0.0,0.0833333333333333,0.0,0.19062720675734043,11,-5.418060480776261,1.0
3,0.0,0.0833333333333333,0.0,0.19062720675734043,12,-5.418060467480655,1.0
3,0.0,0.0833333333333333,0.0,0.19062720675734043,13,-2.9058135131696767,1.0
3,0.0,0.0833333333333333,0.0,0.19062720675734043,14,-2.9058129452895374,1.0
3,0.0,0.0833333333333333,0.0,0.19062720675734043,15,-2.888153736634596,1.0
3,0.0,0.0833333333333333,0.0,0.19062720675734043,16,-2.888152786224085,1.0
3,0.0,0.0833333333333333,0.0,0.19062720675734043,17,-2.858068559824768,1.0
3,0.0,0.0833333333333333,0.0,0.19062720675734043,18,-2.858068133238616,1.0
3,0.0,0.0833333333333333,0.0,0.19062720675734043,19,-2.5467120246191834,1.0
3,0.0,0.0833333333333333,0.0,0.19062720675734043,20,-2.5467119561130076,1.0
3,0.0,0.0833333333333333,0.0,0.19062720675734043,21,-2.535366192658972,1.0
3,0.0,0.0833333333333333,0.0,0.19062720675734043,22,-2.535366130687925,1.0
3,0.0,0.0833333333333333,0.0,0.19062720675734043,23,-2.175537695671845,1.0
3,0.0,0.0833333333333333,0.0,0.19062720675734043,24,-2.175537530265487,1.0
3,0.0,0.0833333333333333,0.0,0.19062720675734043,25,-1.7524105703864143,1.0
3,0.0,0.0833333333333333,0.0,0.19062720675734043,26,-1.7524104537118341,1.0
3,0.0,0.0833333333333333,0.0,0.19062720675734043,27,-1.728219616926014,1.0
3,0.0,0.0833333333333333,0.0,0.19062720675734043,28,-1.7282194210411683,1.0
3,0.0,0.0833333333333333,0.0,0.19062720675734043,29,-1.4744587566439726,1.0
3,0.0,0.0833333333333333,0.0,0.19062720675734043,30,-1.4744585754068287,1.0
3,0.0,0.0833333333333333,0.0,0.19062720675734043,31,-1.1685799905632952,1.0
3,0.0,0.0833333333333333,0.0,0.19062720675734043,32,-1.1685798937194498,1.0
3,0.0,0.0833333333333333,0.0,0.19062720675734043,33,-0.5756229740269989,1.0
3,0.0,0.0833333333333333,0.0,0.19062720675734043,34,-0.5756229545906251,1.0
3,0.0,0.0833333333333333,0.0,0.19062720675734043,35,-0.017265487218961817,1.0
3,0.0,0.0833333333333333,0.0,0.19062720675734043,36,-0.01726546338827738,1.0
3,0.0,0.0833333333333333,0.0,0.19062720675734043,37,2.381019473523695,0.0
3,0.0,0.0833333333333333,0.0,0.19062720675734043,38,2.381019929461589,0.0
3,0.0,0.0833333333333333,0.0,0.19062720675734043,39,2.3984331806083476,0.0
3,0.0,0.0833333333333333,0.0,0.19062720675734043,40,2.3984336858413915,0.0
3,0.0,0.0833333333333333,0.0,0.19062720675734043,41,2.4352083124475143,0.0
3,0.0,0.0833333333333333,0.0,0.19062720675734043,42,2.4352086687810353,0.0
3,0.0,0.0833333333333333,0.0,0.19062720675734043,43,2.4796002688862453,0.0
3,0.0,0.0833333333333333,0.0,0.19062720675734043,44,2.479600609839679,0.0
3,0.0,0.0833333333333333,0.0,0.19062720675734043,45,2.519470692891737,0.0
3,0.0,0.0833333333333333,0.0,0.19062720675734043,46,2.5194710178453725,0.0
3,0.0,0.0833333333333333,0.0,0.19062720675734043,47,2.6277348255279147,0.0
3,0.0,0.0833333333333333,0.0,0.19062720675734043,48,2.6277349708781887,0.0
3,0.0,0.0833333333333333,0.0,0.19062720675734043,49,2.7131612222887656,0.0
3,0.0,0.0833333333333333,0.0,0.19062720675734043,50,2.7131618003096225,0.0
3,0.0,0.0833333333333333,0.0,0.19062720675734043,51,2.7475395045061033,0.0
3,0.0,0.0833333333333333,0.0,0.19062720675734043,52,2.747540041006359,0.0
3,0.0,0.0833333333333333,0.0,0.19062720675734043,53,5.317188692131459,0.0
3,0.0,0.0833333333333333,0.0,0.19062720675734043,54,5.31718895297323,0.0
3,0.0,0.0833333333333333,0.0,0.19062720675734043,55,5.457953833607039,0.0
3,0.0,0.0833333333333333,0.0,0.19062720675734043,56,5.457953869099547,0.0
3,0.0,0.0833333333333333,0.0,0.19062720675734043,57,6.447202044499613,0.0
3,0.0,0.0833333333333333,0.0,0.19062720675734043,58,6.447202863306156,0.0
3,0.0,0.0833333333333333,0.0,0.19062720675734043,59,6.850493732886268,0.0
3,0.0,0.0833333333333333,0.0,0.19062720675734043,60,6.850493751759269,0.0
3,0.0,0.0833333333333333,0.0,0.19062720675734043,61,6.909250187434993,0.0
3,0.0,0.0833333333333333,0.0,0.19062720675734043,62,6.9092505394868775,0.0
3,0.0,0.0833333333333333,0.0,0.19062720675734043,63,7.942243312303952,0.0
3,0.0,0.0833333333333333,0.0,0.19062720675734043,64,7.942243500414246,0.0
4,0.0,0.125,0.0,0.28594081013601075,1,-14.122692699758296,1.0
4,0.0,0.125,0.0,0.28594081013601075,2,-14.12269269675464,1.0
4,0.0,0.125,0.0,0.28594081013601075,3,-13.96099570943787,1.0
4,0.0,0.125,0.0,0.28594081013601075,4,-13.960995706490888,1.0
4,0.0,0.125,0.0,0.28594081013601075,5,-13.131949537047984,1.0
4,0.0,0.125,0.0,0.28594081013601075,6,-13.131949534101,1.0
4,0.0,0.125,0.0,0.28594081013601075,7,-12.909959198226463,1.0
4,0.0,0.125,0.0,0.28594081013601075,8,-12.90995919584621,1.0
4,0.0,0.125,0.0,0.28594081013601075,9,-5.84245028005288,1.0
4,0.0,0.125,0.0,0.28594081013601075,10,-5.842450264297856,1.0
4,0.0,0.125,0.0,0.28594081013601075,11,-5.284937925326139,1.0
4,0.0,0.125,0.0,0.28594081013601075,12,-5.284937904923948,1.0
