k_index kx_fractional ky_fractional kz_fractional weight spin current electric_field omega_spin_A2
1 0.0 0.0 0.0 0.027777777777777776 x x x -107.15809345716094
1 0.0 0.0 0.0 0.027777777777777776 x x y 0.0003728036502846346
1 0.0 0.0 0.0 0.027777777777777776 x x z -4.607857234570925e-05
1 0.0 0.0 0.0 0.027777777777777776 x y x -7.336077991152465e-05
1 0.0 0.0 0.0 0.027777777777777776 x y y 107.15739997710742
1 0.0 0.0 0.0 0.027777777777777776 x y z 0.29968919940666894
1 0.0 0.0 0.0 0.027777777777777776 x z x 0.00013037007062723465
1 0.0 0.0 0.0 0.027777777777777776 x z y 50.84085802366378
1 0.0 0.0 0.0 0.027777777777777776 x z z -2.249196727377087e-06
1 0.0 0.0 0.0 0.027777777777777776 y x x -0.00025380900271986955
1 0.0 0.0 0.0 0.027777777777777776 y x y 107.15727053284152
1 0.0 0.0 0.0 0.027777777777777776 y x z -0.2982287237521137
1 0.0 0.0 0.0 0.027777777777777776 y y x 107.15739305025859
1 0.0 0.0 0.0 0.027777777777777776 y y y 0.00018799514756254136
1 0.0 0.0 0.0 0.027777777777777776 y y z 2.8943758190315222e-05
1 0.0 0.0 0.0 0.027777777777777776 y z x -50.841333045011844
1 0.0 0.0 0.0 0.027777777777777776 y z y -0.00012943333431395895
1 0.0 0.0 0.0 0.027777777777777776 y z z 4.228615384326393e-05
1 0.0 0.0 0.0 0.027777777777777776 z x x 0.00014220505756543927
1 0.0 0.0 0.0 0.027777777777777776 z x y 245.90307712964412
1 0.0 0.0 0.0 0.027777777777777776 z x z -0.00026088907906384633
1 0.0 0.0 0.0 0.027777777777777776 z y x -245.902980417068
1 0.0 0.0 0.0 0.027777777777777776 z y y -0.00014781125357015746
1 0.0 0.0 0.0 0.027777777777777776 z y z 0.00011625862012325434
1 0.0 0.0 0.0 0.027777777777777776 z z x 0.00012621296736820006
1 0.0 0.0 0.0 0.027777777777777776 z z y -6.266317943963263e-05
1 0.0 0.0 0.0 0.027777777777777776 z z z 1.2011553161893805e-05
2 0.0 0.1666666666666667 0.0 0.027777777777777776 x x x -8.736946069065219
2 0.0 0.1666666666666667 0.0 0.027777777777777776 x x y 9.883739718790374e-05
2 0.0 0.1666666666666667 0.0 0.027777777777777776 x x z -2.8153729137042843e-05
2 0.0 0.1666666666666667 0.0 0.027777777777777776 x y x -8.658499320773436e-05
2 0.0 0.1666666666666667 0.0 0.027777777777777776 x y y 0.9156861243003204
2 0.0 0.1666666666666667 0.0 0.027777777777777776 x y z 1.1309497127538826
2 0.0 0.1666666666666667 0.0 0.027777777777777776 x z x -0.0014253872680201785
2 0.0 0.1666666666666667 0.0 0.027777777777777776 x z y 3.9128764133435388
2 0.0 0.1666666666666667 0.0 0.027777777777777776 x z z 0.9821393999458343
2 0.0 0.1666666666666667 0.0 0.027777777777777776 y x x -0.00032414776692266535
2 0.0 0.1666666666666667 0.0 0.027777777777777776 y x y 19.218708468752887
2 0.0 0.1666666666666667 0.0 0.027777777777777776 y x z 4.098959300253259
2 0.0 0.1666666666666667 0.0 0.027777777777777776 y y x -12.943510357978697
2 0.0 0.1666666666666667 0.0 0.027777777777777776 y y y -0.00012579356577028348
2 0.0 0.1666666666666667 0.0 0.027777777777777776 y y z -0.0016509358684660693
2 0.0 0.1666666666666667 0.0 0.027777777777777776 y z x -6.857915117226296
2 0.0 0.1666666666666667 0.0 0.027777777777777776 y z y 0.0016001034629591997
2 0.0 0.1666666666666667 0.0 0.027777777777777776 y z z -0.00010775809145392289
2 0.0 0.1666666666666667 0.0 0.027777777777777776 z x x 0.0010743439013639656
2 0.0 0.1666666666666667 0.0 0.027777777777777776 z x y 6.0545957240633825
2 0.0 0.1666666666666667 0.0 0.027777777777777776 z x z -0.5916510758495362
2 0.0 0.1666666666666667 0.0 0.027777777777777776 z y x 0.09819878661708895
2 0.0 0.1666666666666667 0.0 0.027777777777777776 z y y -0.00036022728807153176
2 0.0 0.1666666666666667 0.0 0.027777777777777776 z y z 0.0011784558459194152
2 0.0 0.1666666666666667 0.0 0.027777777777777776 z z x -5.514892106467821
2 0.0 0.1666666666666667 0.0 0.027777777777777776 z z y -0.0019548377960702155
2 0.0 0.1666666666666667 0.0 0.027777777777777776 z z z 2.5814467186655986e-05
3 0.0 0.3333333333333333 0.0 0.027777777777777776 x x x 2.401309614301473
3 0.0 0.3333333333333333 0.0 0.027777777777777776 x x y 6.909419180532276e-06
3 0.0 0.3333333333333333 0.0 0.027777777777777776 x x z -3.908049635411992e-06
3 0.0 0.3333333333333333 0.0 0.027777777777777776 x y x -1.414196487281008e-05
3 0.0 0.3333333333333333 0.0 0.027777777777777776 x y y -0.6129855349983815
3 0.0 0.3333333333333333 0.0 0.027777777777777776 x y z 0.23760149864915747
3 0.0 0.3333333333333333 0.0 0.027777777777777776 x z x 5.491536238053587e-07
3 0.0 0.3333333333333333 0.0 0.027777777777777776 x z y -0.8946364735127872
3 0.0 0.3333333333333333 0.0 0.027777777777777776 x z z -0.020928379120967355
3 0.0 0.3333333333333333 0.0 0.027777777777777776 y x x 5.2182578647866625e-06
3 0.0 0.3333333333333333 0.0 0.027777777777777776 y x y 1.7427829830569728
3 0.0 0.3333333333333333 0.0 0.027777777777777776 y x z 1.7150385310567777
3 0.0 0.3333333333333333 0.0 0.027777777777777776 y y x -1.8128103999005163
3 0.0 0.3333333333333333 0.0 0.027777777777777776 y y y -3.7736173467832376e-07
3 0.0 0.3333333333333333 0.0 0.027777777777777776 y y z 1.9147072676173386e-07
3 0.0 0.3333333333333333 0.0 0.027777777777777776 y z x -2.3137611491321604
3 0.0 0.3333333333333333 0.0 0.027777777777777776 y z y -1.601580345819757e-06
3 0.0 0.3333333333333333 0.0 0.027777777777777776 y z z -3.525226974217742e-07
3 0.0 0.3333333333333333 0.0 0.027777777777777776 z x x 4.174350155200314e-06
3 0.0 0.3333333333333333 0.0 0.027777777777777776 z x y -2.6685710709395676
3 0.0 0.3333333333333333 0.0 0.027777777777777776 z x z -1.5886905608145825
3 0.0 0.3333333333333333 0.0 0.027777777777777776 z y x 1.4468132846494977
3 0.0 0.3333333333333333 0.0 0.027777777777777776 z y y -1.1199445663414984e-06
3 0.0 0.3333333333333333 0.0 0.027777777777777776 z y z 3.5924789241618834e-06
3 0.0 0.3333333333333333 0.0 0.027777777777777776 z z x 1.6592927675693534
3 0.0 0.3333333333333333 0.0 0.027777777777777776 z z y -5.487728062684454e-06
3 0.0 0.3333333333333333 0.0 0.027777777777777776 z z z 2.9927807442642573e-07
4 0.0 0.5 0.0 0.027777777777777776 x x x 1.2055459064737233
4 0.0 0.5 0.0 0.027777777777777776 x x y 1.2552147552151254e-05
4 0.0 0.5 0.0 0.027777777777777776 x x z -2.7881235873739648e-06
4 0.0 0.5 0.0 0.027777777777777776 x y x -1.9456414384016844e-08
4 0.0 0.5 0.0 0.027777777777777776 x y y -0.028249954660934766
4 0.0 0.5 0.0 0.027777777777777776 x y z 0.20373941156691375
4 0.0 0.5 0.0 0.027777777777777776 x z x -6.046154184335658e-06
4 0.0 0.5 0.0 0.027777777777777776 x z y -0.6510223107276911
4 0.0 0.5 0.0 0.027777777777777776 x z z -0.20352013377472944
4 0.0 0.5 0.0 0.027777777777777776 y x x -8.766010762549276e-07
4 0.0 0.5 0.0 0.027777777777777776 y x y -3.2610430606676477
4 0.0 0.5 0.0 0.027777777777777776 y x z 0.5869595353828132
4 0.0 0.5 0.0 0.027777777777777776 y y x 2.659183050969629
4 0.0 0.5 0.0 0.027777777777777776 y y y 2.8803491145135834e-06
4 0.0 0.5 0.0 0.027777777777777776 y y z -8.416578826857778e-06
4 0.0 0.5 0.0 0.027777777777777776 y z x -0.5227394735390719
4 0.0 0.5 0.0 0.027777777777777776 y z y -3.8836707289512107e-07
4 0.0 0.5 0.0 0.027777777777777776 y z z 5.557760367134925e-06
4 0.0 0.5 0.0 0.027777777777777776 z x x 6.035459392062089e-06
4 0.0 0.5 0.0 0.027777777777777776 z x y 0.9129654465451461
4 0.0 0.5 0.0 0.027777777777777776 z x z -1.1566617341021996
4 0.0 0.5 0.0 0.027777777777777776 z y x -1.9322918173762365
4 0.0 0.5 0.0 0.027777777777777776 z y y 1.9009654198287075e-06
4 0.0 0.5 0.0 0.027777777777777776 z y z 1.3135636352185412e-05
4 0.0 0.5 0.0 0.027777777777777776 z z x 1.615166959849882
4 0.0 0.5 0.0 0.027777777777777776 z z y -5.925112066157727e-06
4 0.0 0.5 0.0 0.027777777777777776 z z z -5.719294171894205e-06
5 0.0 -0.3333333333333334 0.0 0.027777777777777776 x x x 2.401310005744059
5 0.0 -0.3333333333333334 0.0 0.027777777777777776 x x y 6.940726456155164e-06
5 0.0 -0.3333333333333334 0.0 0.027777777777777776 x x z -3.897347106861371e-06
5 0.0 -0.3333333333333334 0.0 0.027777777777777776 x y x -1.4011292762707562e-05
5 0.0 -0.3333333333333334 0.0 0.027777777777777776 x y y -0.6129856032725305
5 0.0 -0.3333333333333334 0.0 0.027777777777777776 x y z 0.2376014483558212
5 0.0 -0.3333333333333334 0.0 0.027777777777777776 x z x 1.1427630077533338e-06
5 0.0 -0.3333333333333334 0.0 0.027777777777777776 x z y -0.8946364179849842
5 0.0 -0.3333333333333334 0.0 0.027777777777777776 x z z -0.02092857519783433
5 0.0 -0.3333333333333334 0.0 0.027777777777777776 y x x 5.20917990651936e-06
5 0.0 -0.3333333333333334 0.0 0.027777777777777776 y x y 1.7427829526775507
5 0.0 -0.3333333333333334 0.0 0.027777777777777776 y x z 1.715038477753631
5 0.0 -0.3333333333333334 0.0 0.027777777777777776 y y x -1.812810474379139
5 0.0 -0.3333333333333334 0.0 0.027777777777777776 y y y -3.950793238664642e-07
5 0.0 -0.3333333333333334 0.0 0.027777777777777776 y y z 1.521182279257756e-07
5 0.0 -0.3333333333333334 0.0 0.027777777777777776 y z x -2.313761326637341
5 0.0 -0.3333333333333334 0.0 0.027777777777777776 y z y -1.7154022530094327e-06
5 0.0 -0.3333333333333334 0.0 0.027777777777777776 y z z -3.6936074649167883e-07
5 0.0 -0.3333333333333334 0.0 0.027777777777777776 z x x 4.247512060730598e-06
5 0.0 -0.3333333333333334 0.0 0.027777777777777776 z x y -2.6685711798678446
5 0.0 -0.3333333333333334 0.0 0.027777777777777776 z x z -1.5886906232905116
5 0.0 -0.3333333333333334 0.0 0.027777777777777776 z y x 1.4468129765948015
5 0.0 -0.3333333333333334 0.0 0.027777777777777776 z y y -1.091549464144655e-06
5 0.0 -0.3333333333333334 0.0 0.027777777777777776 z y z 3.5775301272350717e-06
5 0.0 -0.3333333333333334 0.0 0.027777777777777776 z z x 1.659292566322727
5 0.0 -0.3333333333333334 0.0 0.027777777777777776 z z y -5.521642118262191e-06
5 0.0 -0.3333333333333334 0.0 0.027777777777777776 z z z 2.860809031745595e-07
6 0.0 -0.1666666666666666 0.0 0.027777777777777776 x x x -8.736842931935405
6 0.0 -0.1666666666666666 0.0 0.027777777777777776 x x y 2.3021418781674576e-05
6 0.0 -0.1666666666666666 0.0 0.027777777777777776 x x z -5.123748228530402e-06
6 0.0 -0.1666666666666666 0.0 0.027777777777777776 x y x -4.161812182799601e-05
6 0.0 -0.1666666666666666 0.0 0.027777777777777776 x y y 0.915732954014971
6 0.0 -0.1666666666666666 0.0 0.027777777777777776 x y z 1.1317751566402525
6 0.0 -0.1666666666666666 0.0 0.027777777777777776 x z x -3.675151895913566e-06
6 0.0 -0.1666666666666666 0.0 0.027777777777777776 x z y 3.91219632390023
6 0.0 -0.1666666666666666 0.0 0.027777777777777776 x z z 0.9822367762874146
6 0.0 -0.1666666666666666 0.0 0.027777777777777776 y x x 1.7538216851855815e-05
6 0.0 -0.1666666666666666 0.0 0.027777777777777776 y x y 19.2186763730277
6 0.0 -0.1666666666666666 0.0 0.027777777777777776 y x z 4.099064269263929
6 0.0 -0.1666666666666666 0.0 0.027777777777777776 y y x -12.942925297255966
6 0.0 -0.1666666666666666 0.0 0.027777777777777776 y y y 1.233150419000439e-05
6 0.0 -0.1666666666666666 0.0 0.027777777777777776 y y z 2.2703971865713668e-05
6 0.0 -0.1666666666666666 0.0 0.027777777777777776 y z x -6.858564663151159
6 0.0 -0.1666666666666666 0.0 0.027777777777777776 y z y -1.951776910562135e-05
6 0.0 -0.1666666666666666 0.0 0.027777777777777776 y z z 3.321278414423383e-06
6 0.0 -0.1666666666666666 0.0 0.027777777777777776 z x x 1.7040380798856843e-05
6 0.0 -0.1666666666666666 0.0 0.027777777777777776 z x y 6.054834453070181
6 0.0 -0.1666666666666666 0.0 0.027777777777777776 z x z -0.591627561521565
6 0.0 -0.1666666666666666 0.0 0.027777777777777776 z y x 0.09889986075871934
6 0.0 -0.1666666666666666 0.0 0.027777777777777776 z y y -2.788313118149312e-05
6 0.0 -0.1666666666666666 0.0 0.027777777777777776 z y z 1.2637695708285995e-05
6 0.0 -0.1666666666666666 0.0 0.027777777777777776 z z x -5.5127250459017425
6 0.0 -0.1666666666666666 0.0 0.027777777777777776 z z y -1.1049058761136699e-05
6 0.0 -0.1666666666666666 0.0 0.027777777777777776 z z z 3.2012961045067845e-08
7 0.1666666666666667 0.0 0.0 0.027777777777777776 x x x -1.6047135486502344
