# schema=VASPBERRY_Z2_FIELD
# schema_version=1
# vaspberry_version=1.1.1
# result_status=PASS
# result_kind=LEGACY_FUKUI_Z2_CANDIDATE
# reportable_invariant=0
# nkx=12
# nky=12
# band_min=1
# band_max=10
# band_rank=10
# spinor_components=2
# index_base=1
# plaquette_orientation=POSITIVE_B1_CROSS_B2
# nfield_definition=[(sum_link_arg)-wrap(sum_link_arg)]/(2*pi)
# overlap_backend=WAVECAR_PSEUDO_NO_PAW_AUGMENTATION
# input_trs_assumed=1
# input_trs_independently_verified=0
# check_scope=NUMERICAL_SELF_CONSISTENCY_OF_TR_RECONSTRUCTION
# check_scope_excludes=RAW_INPUT_TRS,KRAMERS_ENERGY,DIRECT_GAP,PAW_AUGMENTATION,MESH_CONVERGENCE
# physical_tr_rule=wrap[berry_flux(-k)+berry_flux(k)]=0
# nfield_note=gauge_and_log_branch_dependent
# threshold_policy=CONSERVATIVE_DIAGNOSTIC_MAY_FALSE_REJECT
# threshold_partner_fractional= 9.9999999999999995E-008
# threshold_min_link_singular= 9.9999999999999995E-007
# threshold_flux_tr_odd_rad= 1.0000000000000001E-005
# threshold_nfield_integer= 1.0000000000000000E-010
# threshold_total_chern= 1.0000000000000000E-004
# threshold_phase_margin_fraction_pi= 8.0000000000000004E-001
# threshold_max_abs_flux_rad= 2.5132741228718345E+000
# total_chern= 1.1593839628498794E-014
# minimum_link_singular_value= 8.1545471684244930E-001
# max_flux_tr_odd_residual_rad= 1.8152146452621309E-014
# max_nfield_integer_residual= 2.1063981330815400E-024
# max_nfield_pair_residual= 0.0000000000000000E+000
# max_abs_flux_rad= 1.1752576836165929E-006
# half_top_nfield_sum=-3
# half_bottom_nfield_sum=3
# half_top_legacy_z2_candidate=1
# half_bottom_legacy_z2_candidate=1
# numerical_self_consistency_checks_pass=1
cell_id,q1,q2,q3,kx_A-1,ky_A-1,kz_A-1,half_bz,tr_partner,berry_flux_rad,berry_curvature_A2,min_link_singular_value,nfield_raw,nfield_int,nfield_integer_residual,nfield_tr_pair_residual,flux_tr_odd_residual_rad,pair_nfield_int_sum,plaquette_checks_pass
12, 8.7500000000000033E-001, 9.5833333333333337E-001, 0.0000000000000000E+000, 1.2526737340640677E+000, 8.6098990186745572E-001, 0.0000000000000000E+000,-1,15, 3.9642586990851214E-009, 2.4120998138535230E-007, 8.2766034707512215E-001, 0.0000000000000000E+000,0, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.2656542480726785E-014,0,1
13, 9.5833333333333337E-001, 4.1666666666666387E-002, 0.0000000000000000E+000, 1.3719759944511212E+000,-7.2323151756866344E-001, 0.0000000000000000E+000,1,2,-5.1985158888712135E-007,-3.1630981123292195E-005, 8.1545471684244930E-001, 0.0000000000000000E+000,0, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.5527136788005009E-015,0,1
14, 4.1666666666666373E-002, 4.1666666666666387E-002, 0.0000000000000000E+000, 5.9651130193526587E-002, 3.4439596074698015E-002, 0.0000000000000000E+000,1,1,-1.1752576836165929E-006,-7.1509935528065696E-005, 8.1545471684244941E-001, 0.0000000000000000E+000,0, 0.0000000000000000E+000, 0.0000000000000000E+000,-6.8833827526759706E-015,0,1
15, 1.2500000000000031E-001, 4.1666666666666387E-002, 0.0000000000000000E+000, 1.7895339058058146E-001,-3.4439596074698944E-002, 0.0000000000000000E+000,1,12,-3.9642460425426407E-009,-2.4120921128314456E-007, 8.2766034707512182E-001, 0.0000000000000000E+000,0, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.2656542480726785E-014,0,1
16, 2.0833333333333340E-001, 4.1666666666666401E-002, 0.0000000000000000E+000, 2.9825565096763512E-001,-1.0331878822409518E-001, 0.0000000000000000E+000,1,11, 1.1664806992550680E-007, 7.0975889595354111E-006, 9.8303752806925127E-001, 0.0000000000000000E+000,0, 0.0000000000000000E+000, 0.0000000000000000E+000,-1.8152146452621309E-014,0,1
17, 2.9166666666666641E-001, 4.1666666666666428E-002, 0.0000000000000000E+000, 4.1755791135468867E-001,-1.7219798037349132E-001, 0.0000000000000000E+000,1,10,-2.8504765903894786E-008,-1.7344059949112446E-006, 1.0034821138880352E+000,-1.0000000000000000E+000,-1, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.6875389974302379E-014,0,1
18, 3.7500000000000033E-001, 4.1666666666666401E-002, 0.0000000000000000E+000, 5.3686017174174350E-001,-2.4107717252288835E-001, 0.0000000000000000E+000,1,9,-6.4166680413535473E-008,-3.9042971115080608E-006, 1.0296838782003832E+000,-2.1063981330815400E-024,0, 2.1063981330815400E-024, 0.0000000000000000E+000,-8.8817841970012523E-016,0,1
19, 4.5833333333333348E-001, 4.1666666666666428E-002, 0.0000000000000000E+000, 6.5616243212879732E-001,-3.0995636467228460E-001, 0.0000000000000000E+000,1,8,-9.7563281897805609E-009,-5.9363525937130729E-007, 1.0522268116081304E+000, 0.0000000000000000E+000,0, 0.0000000000000000E+000, 0.0000000000000000E+000,-4.4408920985006262E-016,0,1
20, 5.4166666666666630E-001, 4.1666666666666345E-002, 0.0000000000000000E+000, 7.7546469251585060E-001,-3.7883555682168080E-001, 0.0000000000000000E+000,1,7, 8.6802600417920370E-008, 5.2816062775718381E-006, 1.0606027886459100E+000,-1.0000000000000000E+000,-1, 0.0000000000000000E+000, 0.0000000000000000E+000, 5.3290705182007514E-015,0,1
21, 6.2500000000000022E-001, 4.1666666666666373E-002, 0.0000000000000000E+000, 8.9476695290290542E-001,-4.4771474897107766E-001, 0.0000000000000000E+000,1,6,-9.2296121190216240E-008,-5.6158660077784825E-006, 1.0525523660356224E+000, 0.0000000000000000E+000,0, 0.0000000000000000E+000, 0.0000000000000000E+000,-2.1094237467877974E-015,0,1
