loop_axis,pump_axis,pump_fractional,pump_signed,wcc_index,wcc_cycles
x,y,0,0,1,6.388345913952749e-08
x,y,0,0,2,0.1581362808583226
x,y,0,0,3,0.1581363480832491
x,y,0,0,4,0.2506216010155871
x,y,0,0,5,0.2506217506939904
x,y,0,0,6,0.7493782699018097
x,y,0,0,7,0.7493783610464831
x,y,0,0,8,0.8418636556582985
x,y,0,0,9,0.8418637098198688
x,y,0,0,10,0.9999999502183484
x,y,0.08333333333333333,0.08333333333333337,1,0.03075625405436623
x,y,0.08333333333333333,0.08333333333333337,2,0.0831271077711515
x,y,0.08333333333333333,0.08333333333333337,3,0.1706564252531997
x,y,0.08333333333333333,0.08333333333333337,4,0.2042956773524269
x,y,0.08333333333333333,0.08333333333333337,5,0.4266875860397182
x,y,0.08333333333333333,0.08333333333333337,6,0.5733124382467656
x,y,0.08333333333333333,0.08333333333333337,7,0.7957043382133275
x,y,0.08333333333333333,0.08333333333333337,8,0.8293435602290999
x,y,0.08333333333333333,0.08333333333333337,9,0.9168728773758441
x,y,0.08333333333333333,0.08333333333333337,10,0.9692437164141033
x,y,0.1666666666666667,0.1666666666666666,1,0.03155856199188546
x,y,0.1666666666666667,0.1666666666666666,2,0.04558513716324608
x,y,0.1666666666666667,0.1666666666666666,3,0.1679320233463222
x,y,0.1666666666666667,0.1666666666666666,4,0.1991712899832908
x,y,0.1666666666666667,0.1666666666666666,5,0.4826945336245442
x,y,0.1666666666666667,0.1666666666666666,6,0.5173054693102713
x,y,0.1666666666666667,0.1666666666666666,7,0.8008287146954012
x,y,0.1666666666666667,0.1666666666666666,8,0.8320679673406157
x,y,0.1666666666666667,0.1666666666666666,9,0.954414831206016
x,y,0.1666666666666667,0.1666666666666666,10,0.968441470993692
x,y,0.25,0.25,1,0.03225571875299627
x,y,0.25,0.25,2,0.04682292708668651
x,y,0.25,0.25,3,0.1610113131430214
x,y,0.25,0.25,4,0.1904106653438369
x,y,0.25,0.25,5,0.4767992285189125
x,y,0.25,0.25,6,0.5232007670080119
x,y,0.25,0.25,7,0.8095893362062451
x,y,0.25,0.25,8,0.8389886687118288
x,y,0.25,0.25,9,0.9531770576690179
x,y,0.25,0.25,10,0.9677443226333282
x,y,0.3333333333333333,0.3333333333333333,1,0.04316586449880072
x,y,0.3333333333333333,0.3333333333333333,2,0.05845079312537766
x,y,0.3333333333333333,0.3333333333333333,3,0.1555859525176415
x,y,0.3333333333333333,0.3333333333333333,4,0.1805561868651287
x,y,0.3333333333333333,0.3333333333333333,5,0.4804771391305404
x,y,0.3333333333333333,0.3333333333333333,6,0.5195228720341789
x,y,0.3333333333333333,0.3333333333333333,7,0.819443796787787
x,y,0.3333333333333333,0.3333333333333333,8,0.8444140351715368
x,y,0.3333333333333333,0.3333333333333333,9,0.9415491992048116
x,y,0.3333333333333333,0.3333333333333333,10,0.9568341468492506
x,y,0.4166666666666667,0.4166666666666667,1,0.05549682373949501
x,y,0.4166666666666667,0.4166666666666667,2,0.06481263786364314
x,y,0.4166666666666667,0.4166666666666667,3,0.1555905437070939
x,y,0.4166666666666667,0.4166666666666667,4,0.169754514505754
x,y,0.4166666666666667,0.4166666666666667,5,0.4896674525859834
x,y,0.4166666666666667,0.4166666666666667,6,0.5103325271462429
x,y,0.4166666666666667,0.4166666666666667,7,0.830245494762718
x,y,0.4166666666666667,0.4166666666666667,8,0.8444094700487831
x,y,0.4166666666666667,0.4166666666666667,9,0.9351873556091128
x,y,0.4166666666666667,0.4166666666666667,10,0.9445032036769492
x,y,0.5,-0.5,1,0.06352173346504811
x,y,0.5,-0.5,2,0.06352175890415446
x,y,0.5,-0.5,3,0.1607298123339611
x,y,0.5,-0.5,4,0.1607298207469334
x,y,0.5,-0.5,5,0.499999946203356
x,y,0.5,-0.5,6,0.5000000432892793
x,y,0.5,-0.5,7,0.8392701706073508
x,y,0.5,-0.5,8,0.8392701969337549
x,y,0.5,-0.5,9,0.9364782389168325
x,y,0.5,-0.5,10,0.9364782859310427
x,y,0.5833333333333334,-0.4166666666666665,1,0.05549680567101707
x,y,0.5833333333333334,-0.4166666666666665,2,0.06481261087573621
x,y,0.5833333333333334,-0.4166666666666665,3,0.155590540518376
x,y,0.5833333333333334,-0.4166666666666665,4,0.1697545012339521
x,y,0.5833333333333334,-0.4166666666666665,5,0.489667503667278
x,y,0.5833333333333334,-0.4166666666666665,6,0.5103325311590076
x,y,0.5833333333333334,-0.4166666666666665,7,0.8302454947838934
x,y,0.5833333333333334,-0.4166666666666665,8,0.8444094580998124
x,y,0.5833333333333334,-0.4166666666666665,9,0.9351874077728488
x,y,0.5833333333333334,-0.4166666666666665,10,0.9445031631009591
x,y,0.6666666666666666,-0.3333333333333335,1,0.04316585682948787
x,y,0.6666666666666666,-0.3333333333333335,2,0.05845076792742164
x,y,0.6666666666666666,-0.3333333333333335,3,0.1555859908967814
x,y,0.6666666666666666,-0.3333333333333335,4,0.1805561697808254
x,y,0.6666666666666666,-0.3333333333333335,5,0.4804771570365042
x,y,0.6666666666666666,-0.3333333333333335,6,0.519522853659848
x,y,0.6666666666666666,-0.3333333333333335,7,0.8194438047899313
x,y,0.6666666666666666,-0.3333333333333335,8,0.8444140353724361
x,y,0.6666666666666666,-0.3333333333333335,9,0.9415492544950154
x,y,0.6666666666666666,-0.3333333333333335,10,0.9568341328752957
x,y,0.75,-0.25,1,0.03225569939521315
x,y,0.75,-0.25,2,0.04682291353941175
x,y,0.75,-0.25,3,0.1610113533645162
x,y,0.75,-0.25,4,0.1904106696242796
x,y,0.75,-0.25,5,0.4767992102502308
x,y,0.75,-0.25,6,0.523200804091341
x,y,0.75,-0.25,7,0.8095893031616982
x,y,0.75,-0.25,8,0.8389886464997008
x,y,0.75,-0.25,9,0.9531770999560942
x,y,0.75,-0.25,10,0.9677442955748792
x,y,0.8333333333333334,-0.1666666666666665,1,0.03155851694887987
x,y,0.8333333333333334,-0.1666666666666665,2,0.04558512834605766
x,y,0.8333333333333334,-0.1666666666666665,3,0.1679320481497524
x,y,0.8333333333333334,-0.1666666666666665,4,0.1991712723527206
x,y,0.8333333333333334,-0.1666666666666665,5,0.4826943672730565
x,y,0.8333333333333334,-0.1666666666666665,6,0.51730563298767
x,y,0.8333333333333334,-0.1666666666666665,7,0.8008286986880839
x,y,0.8333333333333334,-0.1666666666666665,8,0.8320679687802395
x,y,0.8333333333333334,-0.1666666666666665,9,0.9544148973475332
x,y,0.8333333333333334,-0.1666666666666665,10,0.9684414838380844
x,y,0.9166666666666666,-0.08333333333333348,1,0.03075621090634055
x,y,0.9166666666666666,-0.08333333333333348,2,0.08312715550974636
x,y,0.9166666666666666,-0.08333333333333348,3,0.170656481182502
x,y,0.9166666666666666,-0.08333333333333348,4,0.2042956323946032
x,y,0.9166666666666666,-0.08333333333333348,5,0.4266874749888309
x,y,0.9166666666666666,-0.08333333333333348,6,0.5733125301100339
x,y,0.9166666666666666,-0.08333333333333348,7,0.79570434204789
x,y,0.9166666666666666,-0.08333333333333348,8,0.8293435464440654
x,y,0.9166666666666666,-0.08333333333333348,9,0.9168729027055631
x,y,0.9166666666666666,-0.08333333333333348,10,0.9692437549271462
y,x,0,0,1,5.332759393644004e-08
y,x,0,0,2,0.1581362798332149
y,x,0,0,3,0.1581363438972948
y,x,0,0,4,0.2506216459905269
y,x,0,0,5,0.2506217372845976
y,x,0,0,6,0.7493782238016835
y,x,0,0,7,0.7493783718415415
y,x,0,0,8,0.8418636419121157
y,x,0,0,9,0.8418637133366401
y,x,0,0,10,0.9999999768954662
y,x,0.08333333333333333,0.08333333333333337,1,0.03075625779144144
y,x,0.08333333333333333,0.08333333333333337,2,0.08312711467564135
y,x,0.08333333333333333,0.08333333333333337,3,0.1706564665871602
y,x,0.08333333333333333,0.08333333333333337,4,0.2042956487423973
y,x,0.08333333333333333,0.08333333333333337,5,0.4266875797038498
y,x,0.08333333333333333,0.08333333333333337,6,0.5733124367483137
y,x,0.08333333333333333,0.08333333333333337,7,0.7957043435999502
y,x,0.08333333333333333,0.08333333333333337,8,0.8293435301141702
y,x,0.08333333333333333,0.08333333333333337,9,0.9168728790004796
y,x,0.08333333333333333,0.08333333333333337,10,0.9692437473876427
y,x,0.1666666666666667,0.1666666666666666,1,0.03155856804180444
y,x,0.1666666666666667,0.1666666666666666,2,0.04558515062797582
y,x,0.1666666666666667,0.1666666666666666,3,0.1679320492445983
y,x,0.1666666666666667,0.1666666666666666,4,0.1991712635633754
y,x,0.1666666666666667,0.1666666666666666,5,0.4826943618998386
y,x,0.1666666666666667,0.1666666666666666,6,0.5173056347433731
y,x,0.1666666666666667,0.1666666666666666,7,0.8008287224895416
y,x,0.1666666666666667,0.1666666666666666,8,0.8320679514370718
y,x,0.1666666666666667,0.1666666666666666,9,0.9544148655197298
y,x,0.1666666666666667,0.1666666666666666,10,0.9684414362231925
y,x,0.25,0.25,1,0.0322556751239864
y,x,0.25,0.25,2,0.04682292123492449
y,x,0.25,0.25,3,0.1610113432432685
y,x,0.25,0.25,4,0.1904106880330837
y,x,0.25,0.25,5,0.4767991741351097
y,x,0.25,0.25,6,0.5232008261989616
y,x,0.25,0.25,7,0.8095893123343839
y,x,0.25,0.25,8,0.8389886574760239
y,x,0.25,0.25,9,0.9531770815180007
y,x,0.25,0.25,10,0.9677443037759236
y,x,0.3333333333333333,0.3333333333333333,1,0.04316586235685692
y,x,0.3333333333333333,0.3333333333333333,2,0.05845076909646394
y,x,0.3333333333333333,0.3333333333333333,3,0.1555859722828888
y,x,0.3333333333333333,0.3333333333333333,4,0.1805561753966242
y,x,0.3333333333333333,0.3333333333333333,5,0.4804771431078732
y,x,0.3333333333333333,0.3333333333333333,6,0.5195228718661272
y,x,0.3333333333333333,0.3333333333333333,7,0.8194438133502148
y,x,0.3333333333333333,0.3333333333333333,8,0.8444140350058116
y,x,0.3333333333333333,0.3333333333333333,9,0.9415492185883308
y,x,0.3333333333333333,0.3333333333333333,10,0.9568341436049375
y,x,0.4166666666666667,0.4166666666666667,1,0.05549684195099783
y,x,0.4166666666666667,0.4166666666666667,2,0.06481260560570282
y,x,0.4166666666666667,0.4166666666666667,3,0.1555905468517312
y,x,0.4166666666666667,0.4166666666666667,4,0.1697544975573212
y,x,0.4166666666666667,0.4166666666666667,5,0.4896674792140798
y,x,0.4166666666666667,0.4166666666666667,6,0.510332507642747
y,x,0.4166666666666667,0.4166666666666667,7,0.8302454928674003
y,x,0.4166666666666667,0.4166666666666667,8,0.8444094494389627
y,x,0.4166666666666667,0.4166666666666667,9,0.9351873908525993
y,x,0.4166666666666667,0.4166666666666667,10,0.9445031745714991
y,x,0.5,-0.5,1,0.06352170621721642
y,x,0.5,-0.5,2,0.06352174881586482
y,x,0.5,-0.5,3,0.1607298088530054
y,x,0.5,-0.5,4,0.1607298364645105
y,x,0.5,-0.5,5,0.499999946450255
y,x,0.5,-0.5,6,0.5000000537805064
y,x,0.5,-0.5,7,0.8392701470189172
y,x,0.5,-0.5,8,0.8392701903819266
y,x,0.5,-0.5,9,0.9364782615669842
y,x,0.5,-0.5,10,0.9364782888073836
y,x,0.5833333333333334,-0.4166666666666665,1,0.05549681749373912
y,x,0.5833333333333334,-0.4166666666666665,2,0.06481263630854268
y,x,0.5833333333333334,-0.4166666666666665,3,0.1555905322741608
y,x,0.5833333333333334,-0.4166666666666665,4,0.1697545202322072
y,x,0.5833333333333334,-0.4166666666666665,5,0.4896674588661956
y,x,0.5833333333333334,-0.4166666666666665,6,0.5103325383462758
y,x,0.5833333333333334,-0.4166666666666665,7,0.8302454889091629
y,x,0.5833333333333334,-0.4166666666666665,8,0.8444094616438313
y,x,0.5833333333333334,-0.4166666666666665,9,0.9351873606401335
y,x,0.5833333333333334,-0.4166666666666665,10,0.9445031814639009
y,x,0.6666666666666666,-0.3333333333333335,1,0.04316586262983447
y,x,0.6666666666666666,-0.3333333333333335,2,0.05845079098614984
y,x,0.6666666666666666,-0.3333333333333335,3,0.1555859681800137
y,x,0.6666666666666666,-0.3333333333333335,4,0.1805562009880009
y,x,0.6666666666666666,-0.3333333333333335,5,0.4804771385251668
y,x,0.6666666666666666,-0.3333333333333335,6,0.5195228404548855
y,x,0.6666666666666666,-0.3333333333333335,7,0.8194438312233157
y,x,0.6666666666666666,-0.3333333333333335,8,0.8444140363860121
y,x,0.6666666666666666,-0.3333333333333335,9,0.941549210020885
y,x,0.6666666666666666,-0.3333333333333335,10,0.9568341057420751
y,x,0.75,-0.25,1,0.0322556736613946
y,x,0.75,-0.25,2,0.04682293531627239
y,x,0.75,-0.25,3,0.1610113302115997
y,x,0.75,-0.25,4,0.1904106735703238
y,x,0.75,-0.25,5,0.4767992614671586
y,x,0.75,-0.25,6,0.5232007451149926
y,x,0.75,-0.25,7,0.8095893263177978
y,x,0.75,-0.25,8,0.8389886764314949
y,x,0.75,-0.25,9,0.9531770635105908
y,x,0.75,-0.25,10,0.9677443054983221
y,x,0.8333333333333334,-0.1666666666666665,1,0.03155855024439332
y,x,0.8333333333333334,-0.1666666666666665,2,0.04558512512154436
y,x,0.8333333333333334,-0.1666666666666665,3,0.1679320262099396
y,x,0.8333333333333334,-0.1666666666666665,4,0.1991712901689663
y,x,0.8333333333333334,-0.1666666666666665,5,0.4826945230621721
y,x,0.8333333333333334,-0.1666666666666665,6,0.5173054769003281
y,x,0.8333333333333334,-0.1666666666666665,7,0.8008287069274869
y,x,0.8333333333333334,-0.1666666666666665,8,0.8320679735510654
y,x,0.8333333333333334,-0.1666666666666665,9,0.9544148493079687
y,x,0.8333333333333334,-0.1666666666666665,10,0.9684414756836668
y,x,0.9166666666666666,-0.08333333333333348,1,0.03075622993430877
y,x,0.9166666666666666,-0.08333333333333348,2,0.08312712072205233
y,x,0.9166666666666666,-0.08333333333333348,3,0.1706564294831887
y,x,0.9166666666666666,-0.08333333333333348,4,0.2042956755843633
y,x,0.9166666666666666,-0.08333333333333348,5,0.4266874784847937
y,x,0.9166666666666666,-0.08333333333333348,6,0.5733125177407317
y,x,0.9166666666666666,-0.08333333333333348,7,0.7957043299592795
y,x,0.9166666666666666,-0.08333333333333348,8,0.8293435695901965
y,x,0.9166666666666666,-0.08333333333333348,9,0.9168728897838619
y,x,0.9166666666666666,-0.08333333333333348,10,0.9692437432476679
