# k_index	kx_frac	ky_frac	kz_frac	source_k_weight	photon_eV	I_plus_A2_per_eV	I_minus_A2_per_eV	eta	eta_valid
1	0.0	0.0	0.0	0.02	1.04	9.562112574288126e-144	9.562110352232709e-144	nan	False
1	0.0	0.0	0.0	0.02	1.05	1.6067895949542932e-141	1.6067892215665616e-141	nan	False
1	0.0	0.0	0.0	0.02	1.06	2.5941339046330205e-139	2.5941333018050103e-139	nan	False
1	0.0	0.0	0.0	0.02	1.07	4.0239631012595255e-137	4.0239621661660577e-137	nan	False
1	0.0	0.0	0.0	0.02	1.08	5.997134793211698e-135	5.997133399590179e-135	nan	False
1	0.0	0.0	0.0	0.02	1.0899999999999999	8.587403140227372e-133	8.587401144676126e-133	nan	False
1	0.0	0.0	0.0	0.02	1.1	1.1814303234546925e-130	1.1814300489124688e-130	nan	False
1	0.0	0.0	0.0	0.02	1.1099999999999999	1.561646011494822e-128	1.5616456485976115e-128	nan	False
1	0.0	0.0	0.0	0.02	1.12	1.9832857880496232e-126	1.9832853271712457e-126	nan	False
1	0.0	0.0	0.0	0.02	1.13	2.420004781054969e-124	2.4200042186912976e-124	nan	False
1	0.0	0.0	0.0	0.02	1.1400000000000001	2.837104737169305e-122	2.837104077879435e-122	nan	False
1	0.0	0.0	0.0	0.02	1.15	3.1956759520754754e-120	3.195675209460388e-120	nan	False
1	0.0	0.0	0.0	0.02	1.1600000000000001	3.4584246733357036e-118	3.458423869662748e-118	nan	False
1	0.0	0.0	0.0	0.02	1.17	3.596020244373837e-116	3.596019408726254e-116	nan	False
1	0.0	0.0	0.0	0.02	1.1800000000000002	3.592478319091249e-114	3.592477484266743e-114	nan	False
1	0.0	0.0	0.0	0.02	1.19	3.4482155368125105e-112	3.448214735511966e-112	nan	False
1	0.0	0.0	0.0	0.02	1.2000000000000002	3.1799689072297144e-110	3.17996816826465e-110	nan	False
1	0.0	0.0	0.0	0.02	1.21	2.8176014595251644e-108	2.817600804767491e-108	nan	False
1	0.0	0.0	0.0	0.02	1.22	2.39863670021915e-106	2.3986361428210194e-106	nan	False
1	0.0	0.0	0.0	0.02	1.23	1.96190333632432e-104	1.961902880414823e-104	nan	False
1	0.0	0.0	0.0	0.02	1.24	1.5417677529383701e-102	1.5417673946604938e-102	nan	False
1	0.0	0.0	0.0	0.02	1.25	1.1640952865306318e-100	1.164095016016745e-100	nan	False
1	0.0	0.0	0.0	0.02	1.26	8.444740806599482e-99	8.444738844200285e-99	nan	False
1	0.0	0.0	0.0	0.02	1.27	5.885892673656566e-97	5.885891305885627e-97	nan	False
1	0.0	0.0	0.0	0.02	1.28	3.9415457672817275e-95	3.941544851340501e-95	nan	False
1	0.0	0.0	0.0	0.02	1.29	2.5359987171275683e-93	2.5359981278090845e-93	nan	False
1	0.0	0.0	0.0	0.02	1.3	1.5676882599104983e-91	1.567687895609183e-91	nan	False
1	0.0	0.0	0.0	0.02	1.31	9.31104880872936e-90	9.311046645016447e-90	nan	False
1	0.0	0.0	0.0	0.02	1.32	5.313316925085294e-88	5.313315690370207e-88	nan	False
1	0.0	0.0	0.0	0.02	1.33	2.9131380101520136e-86	2.9131373331934394e-86	nan	False
1	0.0	0.0	0.0	0.02	1.3399999999999999	1.5345626345399615e-84	1.5345622779364191e-84	nan	False
1	0.0	0.0	0.0	0.02	1.35	7.766697659695977e-83	7.766695854861275e-83	nan	False
1	0.0	0.0	0.0	0.02	1.3599999999999999	3.7767340190640884e-81	3.7767331414220173e-81	nan	False
1	0.0	0.0	0.0	0.02	1.37	1.7645120224977278e-79	1.7645116124582657e-79	nan	False
1	0.0	0.0	0.0	0.02	1.38	7.92065439676654e-78	7.920652556155183e-78	nan	False
1	0.0	0.0	0.0	0.02	1.3900000000000001	3.416061864187354e-76	3.4160610703587195e-76	nan	False
1	0.0	0.0	0.0	0.02	1.4	1.4155284772274071e-74	1.415528148285168e-74	nan	False
