mu_eV,mu_minus_reference_eV,temperature_K,region,band_id,sigma_e2_over_h,sigma_S,delta_sigma_e2_over_h,electrons_per_cell,delta_electrons_per_cell
-1.4748738807312185,-1.0367751797532638,0.0,total,0,4.02182386155506e-09,1.5580730100341522e-13,-2.73506255664413e-09,17.888888888888886,-0.11111111111111113
-1.4698738807312186,-1.031775179753264,0.0,total,0,4.02182386155506e-09,1.5580730100341522e-13,-2.73506255664413e-09,17.888888888888886,-0.11111111111111113
-1.4648738807312185,-1.0267751797532638,0.0,total,0,4.02182386155506e-09,1.5580730100341522e-13,-2.73506255664413e-09,17.888888888888886,-0.11111111111111113
-1.4598738807312186,-1.021775179753264,0.0,total,0,5.849500427201701e-09,2.266123294191769e-13,-9.073860413044699e-10,17.97222222222222,-0.027777777777777776
-1.4548738807312185,-1.0167751797532638,0.0,total,0,5.849500427201701e-09,2.266123294191769e-13,-9.073860413044699e-10,17.97222222222222,-0.027777777777777776
-1.4498738807312186,-1.011775179753264,0.0,total,0,5.849500427201701e-09,2.266123294191769e-13,-9.073860413044699e-10,17.97222222222222,-0.027777777777777776
-1.4448738807312185,-1.0067751797532638,0.0,total,0,5.849500427201701e-09,2.266123294191769e-13,-9.073860413044699e-10,17.97222222222222,-0.027777777777777776
-1.4398738807312186,-1.001775179753264,0.0,total,0,5.849500427201701e-09,2.266123294191769e-13,-9.073860413044699e-10,17.97222222222222,-0.027777777777777776
-1.4348738807312185,-0.9967751797532638,0.0,total,0,5.849500427201701e-09,2.266123294191769e-13,-9.073860413044699e-10,17.97222222222222,-0.027777777777777776
-1.4298738807312186,-0.9917751797532639,0.0,total,0,5.849500427201701e-09,2.266123294191769e-13,-9.073860413044699e-10,17.97222222222222,-0.027777777777777776
-1.4248738807312185,-0.9867751797532638,0.0,total,0,5.849500427201701e-09,2.266123294191769e-13,-9.073860413044699e-10,17.97222222222222,-0.027777777777777776
-1.4198738807312186,-0.9817751797532639,0.0,total,0,6.20342687090972e-09,2.403236021765477e-13,-5.534595073908299e-10,17.98611111111111,-0.013888888888888888
