k_index,q1,q2,q3,path_inv_A,band,energy_eV
1,0.3333333333333333,0.6666666666666666,0.0,0.0,1,-13.28037849751312
1,0.3333333333333333,0.6666666666666666,0.0,0.0,2,-13.248819603619925
1,0.3333333333333333,0.6666666666666666,0.0,0.0,3,-13.171941792388868
1,0.3333333333333333,0.6666666666666666,0.0,0.0,4,-13.168502970365992
1,0.3333333333333333,0.6666666666666666,0.0,0.0,5,-6.667616559908646
1,0.3333333333333333,0.6666666666666666,0.0,0.0,6,-6.660501673382239
1,0.3333333333333333,0.6666666666666666,0.0,0.0,7,-5.9227578204092595
1,0.3333333333333333,0.6666666666666666,0.0,0.0,8,-5.887509509830016
1,0.3333333333333333,0.6666666666666666,0.0,0.0,9,-5.402309114391766
1,0.3333333333333333,0.6666666666666666,0.0,0.0,10,-5.370968288242045
1,0.3333333333333333,0.6666666666666666,0.0,0.0,11,-4.874935347464412
1,0.3333333333333333,0.6666666666666666,0.0,0.0,12,-4.86761447362713
1,0.3333333333333333,0.6666666666666666,0.0,0.0,13,-4.305112280853782
1,0.3333333333333333,0.6666666666666666,0.0,0.0,14,-4.255947697028786
1,0.3333333333333333,0.6666666666666666,0.0,0.0,15,-3.6138379009546404
1,0.3333333333333333,0.6666666666666666,0.0,0.0,16,-3.5900257594756266
1,0.3333333333333333,0.6666666666666666,0.0,0.0,17,-1.421983601826256
1,0.3333333333333333,0.6666666666666666,0.0,0.0,18,-1.2748738806943534
1,0.3333333333333333,0.6666666666666666,0.0,0.0,19,0.3986764832602849
1,0.3333333333333333,0.6666666666666666,0.0,0.0,20,0.4008949608652939
1,0.3333333333333333,0.6666666666666666,0.0,0.0,21,1.4996648113351037
1,0.3333333333333333,0.6666666666666666,0.0,0.0,22,1.5302958721469753
1,0.3333333333333333,0.6666666666666666,0.0,0.0,23,1.9952334581756062
1,0.3333333333333333,0.6666666666666666,0.0,0.0,24,2.1381721941662435
1,0.3333333333333333,0.6666666666666666,0.0,0.0,25,3.3935896452490817
1,0.3333333333333333,0.6666666666666666,0.0,0.0,26,3.474605511129639
2,0.3194444444444445,0.638888888888889,0.0,0.05502933456810839,1,-13.287302258124795
2,0.3194444444444445,0.638888888888889,0.0,0.05502933456810839,2,-13.25604635216793
2,0.3194444444444445,0.638888888888889,0.0,0.05502933456810839,3,-13.176157978568634
2,0.3194444444444445,0.638888888888889,0.0,0.05502933456810839,4,-13.172738524705425
2,0.3194444444444445,0.638888888888889,0.0,0.05502933456810839,5,-6.655196775283681
2,0.3194444444444445,0.638888888888889,0.0,0.05502933456810839,6,-6.648004950695382
2,0.3194444444444445,0.638888888888889,0.0,0.05502933456810839,7,-5.9825789759985994
2,0.3194444444444445,0.638888888888889,0.0,0.05502933456810839,8,-5.9499237416700765
2,0.3194444444444445,0.638888888888889,0.0,0.05502933456810839,9,-5.337521274885022
2,0.3194444444444445,0.638888888888889,0.0,0.05502933456810839,10,-5.305577958991005
2,0.3194444444444445,0.638888888888889,0.0,0.05502933456810839,11,-4.859622522796842
2,0.3194444444444445,0.638888888888889,0.0,0.05502933456810839,12,-4.854388978551123
2,0.3194444444444445,0.638888888888889,0.0,0.05502933456810839,13,-4.321120410086497
2,0.3194444444444445,0.638888888888889,0.0,0.05502933456810839,14,-4.274387897732961
