path_k_index,fullmesh_k_index,q1,q2,max_energy_error_all26_eV,max_energy_error_occupied18_eV,max_energy_error_bands17_18_eV
1,101,0.3333333333333333,0.6666666666666666,2.5673465264830497e-07,1.82457693398419e-09,4.274580689411778e-11
7,76,0.25,0.5,1.4107182444433874e-07,2.9546676216796186e-09,6.57689458449795e-11
13,51,0.1666666666666667,0.3333333333333333,4.5712963814281693e-07,2.5901906397507446e-08,3.781774893241163e-11
19,26,0.0833333333333333,0.1666666666666667,8.489568572267459e-05,1.1955236800531566e-09,2.3401947046863825e-11
25,1,0.0,0.0,4.5357297455250745e-05,1.1502785390860026e-09,1.8772539078781847e-11
31,132,-0.0833333333333333,-0.1666666666666667,0.0008664319843294521,1.0724418686436366e-08,7.291856007896058e-11
37,107,-0.1666666666666667,-0.3333333333333333,2.1660592279815205e-06,6.086402493110654e-09,1.5783818696490926e-11
43,82,-0.25,-0.5,2.652379125223092e-07,1.5903953709539564e-09,5.173173001082887e-11
49,57,-0.3333333333333333,-0.6666666666666666,1.921304781049571e-06,4.477367809840871e-09,5.252531742883093e-11
