spin,current,electric_field,sigma_hbar_over_e_e2_over_h,sigma_hbar_over_e_S
x,x,x,-0.6563335138336056,-2.542666135283254e-05
x,x,y,3.9269451611142e-06,1.5213165663228502e-10
x,x,z,-1.1789403608898421e-07,-4.567269030106526e-12
x,y,x,-8.150905963263618e-07,-3.1576983542429567e-11
x,y,y,0.65633018192863,2.542653227330561e-05
x,y,z,-0.0030139516109156475,-1.1676186775372375e-07
x,z,x,5.82739577865619e-07,2.257559851962418e-11
x,z,y,0.3395089225738318,1.315273137604612e-05
x,z,z,-1.4472659930810498e-07,-5.606774835952091e-12
y,x,x,-1.8645441279986777e-06,-7.223329469056192e-11
y,x,y,0.6563277221027499,2.5426436978522818e-05
y,x,z,0.003021729803237342,1.170631984917288e-07
y,y,x,0.6563271904452505,2.5426416381867445e-05
y,y,y,1.2472207245546028e-06,4.831790290618033e-11
y,y,z,1.1796994988160739e-07,4.570209965250557e-12
y,z,x,-0.3395114590897307,-1.3152829641835414e-05
y,z,y,-5.828055138289924e-07,-2.257815290908675e-11
y,z,z,3.428955233711886e-08,1.328392984419787e-12
z,x,x,3.5091314914664697e-07,1.3594536344017723e-11
z,x,y,1.4321362378151616,5.548161470126847e-05
z,x,z,-1.448058385275977e-06,-5.609844599658253e-11
z,y,x,-1.4321383445145428,-5.548169631576873e-05
z,y,y,-3.5084743721737117e-07,-1.3591990633738846e-11
z,y,z,4.303678196795636e-07,1.6672646722293385e-11
z,z,x,-7.043919448463911e-07,-2.728846701223447e-11
z,z,y,-3.687180345824479e-07,-1.4284305771999218e-11
z,z,z,-4.796788105894347e-11,-1.8582977126594152e-15
