kx_inv_A,ky_inv_A,kz_inv_A,printed_curvature_A2,q1,q2,q3
0.656162,0.654352,0.000000,-0.000000,0.458333,0.625000,0.000000
0.656162,0.516594,0.000000,-0.000000,0.458333,0.541667,0.000000
0.656162,0.378836,0.000000,-0.000000,0.458333,0.458333,0.000000
0.656162,0.241077,0.000000,0.000000,0.458333,0.375000,0.000000
0.656162,0.103319,0.000000,-0.000000,0.458333,0.291667,0.000000
0.656162,-0.034440,0.000000,-0.000000,0.458333,0.208333,0.000000
0.656162,-0.172198,0.000000,0.000000,0.458333,0.125000,0.000000
0.656162,-0.309956,0.000000,0.000000,0.458333,0.041667,0.000000
0.536860,1.274265,0.000000,-0.000000,0.375000,0.958333,0.000000
0.536860,1.136507,0.000000,-0.000000,0.375000,0.875000,0.000000
0.536860,0.998748,0.000000,0.000000,0.375000,0.791667,0.000000
0.536860,0.860990,0.000000,0.000000,0.375000,0.708333,0.000000
0.536860,0.723232,0.000000,0.000000,0.375000,0.625000,0.000000
0.536860,0.585473,0.000000,0.000000,0.375000,0.541667,0.000000
0.536860,0.447715,0.000000,0.000000,0.375000,0.458333,0.000000
0.536860,0.309956,0.000000,-0.000000,0.375000,0.375000,0.000000
0.536860,0.172198,0.000000,0.000000,0.375000,0.291667,0.000000
0.536860,0.034440,0.000000,-0.000000,0.375000,0.208333,0.000000
0.536860,-0.103319,0.000000,0.000000,0.375000,0.125000,0.000000
0.536860,-0.241077,0.000000,-0.000000,0.375000,0.041667,0.000000
0.417558,1.343144,0.000000,-0.000000,0.291667,0.958333,0.000000
0.417558,1.205386,0.000000,0.000000,0.291667,0.875000,0.000000
0.417558,1.067627,0.000000,0.000000,0.291667,0.791667,0.000000
0.417558,0.929869,0.000000,-0.000000,0.291667,0.708333,0.000000
0.417558,0.792111,0.000000,-0.000000,0.291667,0.625000,0.000000
0.417558,0.654352,0.000000,-0.000000,0.291667,0.541667,0.000000
0.417558,0.516594,0.000000,0.000000,0.291667,0.458333,0.000000
0.417558,0.378836,0.000000,0.000000,0.291667,0.375000,0.000000
0.417558,0.241077,0.000000,0.000000,0.291667,0.291667,0.000000
0.417558,0.103319,0.000000,-0.000000,0.291667,0.208333,0.000000
0.417558,-0.034440,0.000000,-0.000000,0.291667,0.125000,0.000000
0.417558,-0.172198,0.000000,-0.000000,0.291667,0.041667,0.000000
0.298256,1.412023,0.000000,0.000000,0.208333,0.958333,0.000000
0.298256,1.274265,0.000000,0.000000,0.208333,0.875000,0.000000
0.298256,1.136507,0.000000,-0.000000,0.208333,0.791667,0.000000
0.298256,0.998748,0.000000,-0.000000,0.208333,0.708333,0.000000
0.298256,0.860990,0.000000,-0.000000,0.208333,0.625000,0.000000
0.298256,0.723232,0.000000,0.000000,0.208333,0.541667,0.000000
0.298256,0.585473,0.000000,0.000000,0.208333,0.458333,0.000000
0.298256,0.447715,0.000000,0.000000,0.208333,0.375000,0.000000
0.298256,0.309956,0.000000,0.000000,0.208333,0.291667,0.000000
0.298256,0.172198,0.000000,-0.000000,0.208333,0.208333,0.000000
0.298256,0.034440,0.000000,0.000000,0.208333,0.125000,0.000000
0.298256,-0.103319,0.000000,0.000000,0.208333,0.041667,0.000000
0.178953,1.480903,0.000000,0.000000,0.125000,0.958333,0.000000
0.178953,1.343144,0.000000,-0.000000,0.125000,0.875000,0.000000
0.178953,1.205386,0.000000,-0.000000,0.125000,0.791667,0.000000
0.178953,1.067627,0.000000,-0.000000,0.125000,0.708333,0.000000
0.178953,0.929869,0.000000,-0.000000,0.125000,0.625000,0.000000
0.178953,0.792111,0.000000,0.000000,0.125000,0.541667,0.000000
0.178953,0.654352,0.000000,-0.000000,0.125000,0.458333,0.000000
0.178953,0.516594,0.000000,0.000000,0.125000,0.375000,0.000000
0.178953,0.378836,0.000000,0.000000,0.125000,0.291667,0.000000
0.178953,0.241077,0.000000,-0.000000,0.125000,0.208333,0.000000
0.178953,0.103319,0.000000,-0.000000,0.125000,0.125000,0.000000
0.178953,-0.034440,0.000000,-0.000000,0.125000,0.041667,0.000000
0.059651,1.549782,0.000000,0.000000,0.041667,0.958333,0.000000
0.059651,1.412023,0.000000,0.000000,0.041667,0.875000,0.000000
0.059651,1.274265,0.000000,0.000000,0.041667,0.791667,0.000000
0.059651,1.136507,0.000000,-0.000000,0.041667,0.708333,0.000000
0.059651,0.998748,0.000000,0.000000,0.041667,0.625000,0.000000
0.059651,0.860990,0.000000,0.000000,0.041667,0.541667,0.000000
0.059651,0.723232,0.000000,-0.000000,0.041667,0.458333,0.000000
0.059651,0.585473,0.000000,0.000000,0.041667,0.375000,0.000000
0.059651,0.447715,0.000000,-0.000000,0.041667,0.291667,0.000000
0.059651,0.309956,0.000000,0.000000,0.041667,0.208333,0.000000
0.059651,0.172198,0.000000,0.000000,0.041667,0.125000,0.000000
0.059651,0.034440,0.000000,-0.000000,0.041667,0.041667,0.000000
