k_index,q1,q2,q3,path_inv_A,omega_z_A2,valid
1,0.3333333333333333,0.6666666666666666,0.0,0.0,-13.178132253094342,1
2,0.3194444444444445,0.638888888888889,0.0,0.05502933456810839,-12.145475050816582,1
3,0.3055555555555555,0.611111111111111,0.0,0.11005866913621709,-9.710377260832546,1
4,0.2916666666666667,0.5833333333333334,0.0,0.16508800370432547,-7.182636757840831,1
5,0.2777777777777778,0.5555555555555556,0.0,0.2201173382724339,-5.316851202064266,1
6,0.2638888888888889,0.5277777777777778,0.0,0.27514667284054245,-4.2109209552865225,1
7,0.25,0.5,0.0,0.33017600740865094,-3.7139038196367737,1
8,0.2361111111111111,0.4722222222222222,0.0,0.3852053419767595,-3.66014910887935,1
9,0.2222222222222222,0.4444444444444445,0.0,0.4402346765448678,-3.9136784203878645,1
10,0.2083333333333333,0.4166666666666667,0.0,0.49526401111297635,-4.341015436093509,1
11,0.1944444444444444,0.3888888888888888,0.0,0.5502933456810851,-4.787087079422565,1
12,0.1805555555555556,0.3611111111111112,0.0,0.6053226802491932,-5.0947142578485245,1
13,0.1666666666666667,0.3333333333333333,0.0,0.6603520148173019,-5.1663286261032635,1
14,0.1527777777777778,0.3055555555555556,0.0,0.7153813493854102,-4.993289973682836,1
15,0.1388888888888889,0.2777777777777777,0.0,0.770410683953519,-4.611737017752832,1
16,0.125,0.25,0.0,0.8254400185216273,-4.043728905803423,1
17,0.1111111111111111,0.2222222222222222,0.0,0.8804693530897358,-3.2980275950096343,1
18,0.0972222222222222,0.1944444444444444,0.0,0.9354986876578444,-2.4231593793473043,1
19,0.0833333333333333,0.1666666666666667,0.0,0.9905280222259527,-1.5456168230068497,1
20,0.0694444444444445,0.1388888888888889,0.0,1.0455573567940613,-0.8167177969089711,1
21,0.0555555555555555,0.1111111111111111,0.0,1.1005866913621698,-0.33587708482370393,1
22,0.0416666666666667,0.0833333333333333,0.0,1.1556160259302783,-0.09682511253845656,1
23,0.0277777777777778,0.0555555555555556,0.0,1.2106453604983867,-0.014272219459911736,1
24,0.0138888888888889,0.0277777777777778,0.0,1.2656746950664952,0.002896470504464961,1
25,0.0,0.0,0.0,1.3207040296346038,0.0005762114159932885,1
26,-0.0138888888888889,-0.0277777777777778,0.0,1.3757333642027123,-0.0011768366102671405,1
27,-0.0277777777777778,-0.0555555555555555,0.0,1.4307626987708206,0.015823334582037253,1
28,-0.0416666666666667,-0.0833333333333333,0.0,1.4857920333389292,0.09650823619502014,1
29,-0.0555555555555556,-0.1111111111111112,0.0,1.540821367907038,0.3344301949107644,1
30,-0.0694444444444444,-0.1388888888888888,0.0,1.595850702475146,0.8158799364848116,1
31,-0.0833333333333333,-0.1666666666666667,0.0,1.6508800370432548,1.545443789058829,1
32,-0.0972222222222223,-0.1944444444444445,0.0,1.7059093716113634,2.424054669776845,1
33,-0.1111111111111111,-0.2222222222222222,0.0,1.7609387061794717,3.298103228696183,1
34,-0.125,-0.25,0.0,1.8159680407475802,4.0435406895188235,1
35,-0.1388888888888889,-0.2777777777777778,0.0,1.8709973753156888,4.61178084614565,1
36,-0.1527777777777778,-0.3055555555555555,0.0,1.926026709883797,4.992966810869977,1
37,-0.1666666666666667,-0.3333333333333333,0.0,1.9810560444519056,5.166359233033899,1
38,-0.1805555555555556,-0.3611111111111112,0.0,2.0360853790200144,5.094623158683158,1
39,-0.1944444444444444,-0.3888888888888888,0.0,2.0911147135881225,4.786987516148189,1
40,-0.2083333333333333,-0.4166666666666667,0.0,2.146144048156231,4.341172852842507,1
41,-0.2222222222222222,-0.4444444444444445,0.0,2.2011733827243396,3.9136289118104646,1
42,-0.2361111111111111,-0.4722222222222222,0.0,2.2562027172924477,3.6601785366685697,1
43,-0.25,-0.5,0.0,2.3112320518605562,3.7139329508289682,1
44,-0.2638888888888889,-0.5277777777777778,0.0,2.366261386428665,4.210914233918792,1
45,-0.2777777777777777,-0.5555555555555555,0.0,2.421290720996773,5.316900868211003,1
46,-0.2916666666666667,-0.5833333333333334,0.0,2.4763200555648814,7.182616611537498,1
47,-0.3055555555555556,-0.6111111111111112,0.0,2.53134939013299,9.710417065621364,1
48,-0.3194444444444444,-0.6388888888888888,0.0,2.586378724701098,12.145552304876388,1
49,-0.3333333333333333,-0.6666666666666666,0.0,2.6414080592692066,13.178151955577698,1
