# schema=VASPBERRY_BARE_MOMENTUM_KUBO_BUNDLE_V1
# vaspberry_version=1.3.0
# normalization=STANDARD_MINUS_TWO_IM
# operator=WAVECAR_BARE_MOMENTUM_NO_PAW_NONLOCAL_VELOCITY
# berry_connection=A_i=i<u|d/dk_i u>
# occupation_weighting=NONE
# result_kind=ISOLATED_BUNDLE_TRACE
# result_status=PASS
# curvature=TRACE_OF_SELECTED_BUNDLE
# internal_transitions=EXCLUDED_ANALYTICALLY
# degeneracy_policy=ALLOW_INTERNAL_REJECT_EXTERNAL_GAP_LE_THRESHOLD
# gap_threshold_eV=1e-5
# index_base=1
# band_min=1
# band_max=18
# band_rank=18
# source_nbands=26
# intermediate_bands=EXTERNAL_TO_SELECTED_BUNDLE_WITHIN_SOURCE_NBANDS
# no_external_states=false
spin,k_index,kx_frac,ky_frac,kz_frac,omega_z_A2,min_external_gap_eV
1,41, 3.33333333333333037E-001, 2.50000000000000000E-001, 0.00000000000000000E+000, 3.20406103723043190E+000, 2.71223354485250212E+000
1,42, 4.16666666666666963E-001, 2.50000000000000000E-001, 0.00000000000000000E+000, 4.01844307428693082E+000, 2.57287262677577777E+000
1,43, 5.00000000000000000E-001, 2.50000000000000000E-001, 0.00000000000000000E+000, 3.71393240741581865E+000, 2.52163767570917141E+000
1,44,-4.16666666666666963E-001, 2.50000000000000056E-001, 0.00000000000000000E+000, 6.47269851039870137E+000, 2.05058971059734674E+000
1,45,-3.33333333333333037E-001, 2.50000000000000111E-001, 0.00000000000000000E+000, 6.47263894322346900E+000, 2.05059212496111254E+000
1,46,-2.50000000000000000E-001, 2.50000000000000000E-001, 0.00000000000000000E+000, 3.71392026406835818E+000, 2.52164076977827500E+000
1,47,-1.66666666666666075E-001, 2.50000000000000056E-001, 0.00000000000000000E+000, 4.01822631698478272E+000, 2.57287220760729651E+000
1,48,-8.33333333333330373E-002, 2.50000000000000056E-001, 0.00000000000000000E+000, 3.20474111751329804E+000, 2.71222879791634863E+000
1,49, 0.00000000000000000E+000, 3.33333333333333093E-001, 0.00000000000000000E+000,-9.19011934822252228E-004, 3.14894378175530321E+000
1,50, 8.33333333333330373E-002, 3.33333333333333093E-001, 0.00000000000000000E+000,-3.20465700563495481E+000, 2.71223334904527569E+000
1,51, 1.66666666666666963E-001, 3.33333333333333037E-001, 0.00000000000000000E+000,-5.16632049286145456E+000, 2.52581970126350575E+000
1,52, 2.50000000000000000E-001, 3.33333333333333037E-001, 0.00000000000000000E+000,-3.20466181663500693E+000, 2.71223354552271445E+000
1,53, 3.33333333333333037E-001, 3.33333333333333037E-001, 0.00000000000000000E+000,-2.30720105555167322E-005, 3.14894723786538222E+000
1,54, 4.16666666666666963E-001, 3.33333333333333037E-001, 0.00000000000000000E+000, 2.10323695424895574E+000, 2.73770144781137903E+000
1,55, 5.00000000000000000E-001, 3.33333333333333037E-001, 0.00000000000000000E+000, 2.94090257539869615E+000, 2.54723824548943556E+000
1,56,-4.16666666666666963E-001, 3.33333333333333037E-001, 0.00000000000000000E+000, 6.47264521434802020E+000, 2.05058811246664252E+000
1,57,-3.33333333333333037E-001, 3.33333333333333093E-001, 0.00000000000000000E+000, 1.31780030458875359E+001, 1.67355036473252050E+000
1,58,-2.50000000000000000E-001, 3.33333333333333093E-001, 0.00000000000000000E+000, 6.47252130948777094E+000, 2.05059212555630443E+000
1,59,-1.66666666666666075E-001, 3.33333333333333093E-001, 0.00000000000000000E+000, 2.94092830171473096E+000, 2.54724091296090371E+000
1,60,-8.33333333333330373E-002, 3.33333333333333148E-001, 0.00000000000000000E+000, 2.10333197870858246E+000, 2.73770009547878246E+000
1,61, 0.00000000000000000E+000, 4.16666666666667074E-001, 0.00000000000000000E+000,-1.29837620741550565E-005, 3.00763303754086575E+000
1,62, 8.33333333333330373E-002, 4.16666666666666963E-001, 0.00000000000000000E+000,-2.10329408328779000E+000, 2.73770221388176527E+000
1,63, 1.66666666666666963E-001, 4.16666666666667074E-001, 0.00000000000000000E+000,-4.01821843945667023E+000, 2.57287275035173968E+000
1,64, 2.50000000000000000E-001, 4.16666666666666963E-001, 0.00000000000000000E+000,-4.01794313229163791E+000, 2.57287262772796854E+000
1,65, 3.33333333333333037E-001, 4.16666666666666963E-001, 0.00000000000000000E+000,-2.10318749571653241E+000, 2.73770145130117992E+000
1,66, 4.16666666666666963E-001, 4.16666666666666963E-001, 0.00000000000000000E+000,-1.10718503604700902E-004, 3.00763343493691693E+000
1,67, 5.00000000000000000E-001, 4.16666666666666963E-001, 0.00000000000000000E+000, 1.44578470648190782E+000, 2.63816009865240764E+000
1,68,-4.16666666666666963E-001, 4.16666666666667185E-001, 0.00000000000000000E+000, 3.38789533724432346E+000, 2.34334537846491653E+000
1,69,-3.33333333333333037E-001, 4.16666666666667074E-001, 0.00000000000000000E+000, 6.47264943656630631E+000, 2.05058811642919459E+000
