# schema=VASPBERRY_Z2_FIELD
# schema_version=2
# vaspberry_version=1.3.0
# result_status=PASS
# result_kind=FUKUI_HATSUGAI_NFIELD_Z2
# reportable_invariant=1
# z2_invariant=0
# half_top_z2_parity=0
# half_bottom_z2_parity=0
# half_bz_parity_consistent=1
# nkx=12
# nky=12
# band_min=1
# band_max=18
# band_rank=18
# spinor_components=2
# index_base=1
# plaquette_orientation=POSITIVE_B1_CROSS_B2
# nfield_definition=[(sum_link_arg)-wrap(sum_link_arg)]/(2*pi)
# overlap_backend=WAVECAR_PSEUDO_NO_PAW_AUGMENTATION
# input_trs_assumed=1
# input_trs_independently_verified=0
# check_scope=NUMERICAL_SELF_CONSISTENCY_OF_TR_RECONSTRUCTION
# check_scope_excludes=RAW_INPUT_TRS,KRAMERS_ENERGY,DIRECT_GAP,PAW_AUGMENTATION,MESH_CONVERGENCE
# physical_tr_rule=wrap[berry_flux(-k)+berry_flux(k)]=0
# nfield_note=gauge_and_log_branch_dependent
# threshold_policy=CONSERVATIVE_DIAGNOSTIC_MAY_FALSE_REJECT
# threshold_partner_fractional= 9.9999999999999995E-008
# threshold_min_link_singular= 9.9999999999999995E-007
# threshold_flux_tr_odd_rad= 1.0000000000000001E-005
# threshold_nfield_integer= 1.0000000000000000E-010
# threshold_total_chern= 1.0000000000000000E-004
# threshold_phase_margin_fraction_pi= 8.0000000000000004E-001
# threshold_max_abs_flux_rad= 2.5132741228718345E+000
# total_chern= 3.0721841238914973E-014
# minimum_link_singular_value= 7.1396807987713140E-001
# max_flux_tr_odd_residual_rad= 2.7755575615628914E-014
# max_nfield_integer_residual= 8.8348741151764357E-018
# max_nfield_pair_residual= 8.8348741151764357E-018
# max_abs_flux_rad= 3.8747572329980445E-001
# half_top_nfield_sum=0
# half_bottom_nfield_sum=0
# numerical_self_consistency_checks_pass=1
cell_id,q1,q2,q3,kx_A-1,ky_A-1,kz_A-1,half_bz,tr_partner,berry_flux_rad,berry_curvature_A2,min_link_singular_value,nfield_raw,nfield_int,nfield_integer_residual,nfield_tr_pair_residual,flux_tr_odd_residual_rad,pair_nfield_int_sum,plaquette_checks_pass
12, 8.7500000000000033E-001, 9.5833333333333337E-001, 0.0000000000000000E+000, 1.7334240871323365E+000, 1.1914200753876609E+000, 0.0000000000000000E+000,-1,15,-1.7184003934858305E-002,-5.4603934762311102E-001, 7.4786249687862771E-001, 0.0000000000000000E+000,0, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.1760371282653068E-014,0,1
13, 9.5833333333333337E-001, 4.1666666666666387E-002, 0.0000000000000000E+000, 1.8985120954306536E+000,-1.0007928633256362E+000, 0.0000000000000000E+000,1,2, 4.3978498340702119E-003, 1.3974618857417684E-001, 7.5171637365992450E-001, 1.3804490804963181E-019,0, 1.3804490804963181E-019, 1.3804490804963181E-019, 1.9096703385290681E-014,0,1
14, 4.1666666666666373E-002, 4.1666666666666373E-002, 0.0000000000000000E+000, 8.2544004149158259E-002, 4.7656803015506122E-002, 0.0000000000000000E+000,1,1,-1.5697894615307462E-006,-4.9881669995494637E-005, 7.5739955622076360E-001, 0.0000000000000000E+000,0, 0.0000000000000000E+000, 0.0000000000000000E+000,-1.3322676295501878E-015,0,1
15, 1.2500000000000031E-001, 4.1666666666666373E-002, 0.0000000000000000E+000, 2.4763201244747715E-001,-4.7656803015507482E-002, 0.0000000000000000E+000,1,12, 1.7184003934880066E-002, 5.4603934762380246E-001, 7.4786249687862816E-001, 0.0000000000000000E+000,0, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.1760371282653068E-014,0,1
16, 2.0833333333333334E-001, 4.1666666666666373E-002, 0.0000000000000000E+000, 4.1272002074579422E-001,-1.4297040904652003E-001, 0.0000000000000000E+000,1,11, 4.0747294304878133E-002, 1.2947870638290810E+000, 7.4639176789133654E-001, 1.0000000000000000E+000,1, 0.0000000000000000E+000, 0.0000000000000000E+000,-6.2172489379008766E-015,0,1
17, 2.9166666666666641E-001, 4.1666666666666373E-002, 0.0000000000000000E+000, 5.7780802904411144E-001,-2.3828401507753266E-001, 0.0000000000000000E+000,1,10, 3.9110252375953447E-002, 1.2427683777131853E+000, 7.5411237689723509E-001, 0.0000000000000000E+000,0, 0.0000000000000000E+000, 0.0000000000000000E+000, 9.1038288019262836E-015,0,1
18, 3.7500000000000033E-001, 4.1666666666666317E-002, 0.0000000000000000E+000, 7.4289603734243026E-001,-3.3359762110854640E-001, 0.0000000000000000E+000,1,9, 3.0413722454132961E-002, 9.6642722095501321E-001, 7.6834544415947426E-001,-1.0000000000000000E+000,-1, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.6871920527350426E-014,0,1
19, 4.5833333333333337E-001, 4.1666666666666317E-002, 0.0000000000000000E+000, 9.0798404564074742E-001,-4.2891122713955887E-001, 0.0000000000000000E+000,1,8, 3.2419179419057607E-002, 1.0301526726579378E+000, 7.7958020996593014E-001, 1.0000000000000000E+000,1, 0.0000000000000000E+000, 0.0000000000000000E+000,-4.4408920985006262E-015,0,1
20, 5.4166666666666630E-001, 4.1666666666666428E-002, 0.0000000000000000E+000, 1.0730720539390644E+000,-5.2422483317057111E-001, 0.0000000000000000E+000,1,7, 3.9266960423296471E-002, 1.2477479366252322E+000, 7.8204008539239900E-001, 0.0000000000000000E+000,0, 0.0000000000000000E+000, 0.0000000000000000E+000, 8.4376949871511897E-015,0,1
21, 6.2500000000000033E-001, 4.1666666666666401E-002, 0.0000000000000000E+000, 1.2381600622373834E+000,-6.1953843920158480E-001, 0.0000000000000000E+000,1,6, 3.2179725372519320E-002, 1.0225437747635275E+000, 7.7843843766470977E-001,-1.0000000000000000E+000,-1, 0.0000000000000000E+000, 0.0000000000000000E+000, 6.2172489379008766E-015,0,1
22, 7.0833333333333337E-001, 4.1666666666666401E-002, 0.0000000000000000E+000, 1.4032480705357004E+000,-7.1485204523259749E-001, 0.0000000000000000E+000,1,5, 3.5665640994011046E-002, 1.1333123185234222E+000, 7.6498935837287363E-001, 1.1043592643970545E-018,0, 1.1043592643970545E-018, 1.1043592643970545E-018, 1.0443035325380379E-014,0,1
23, 7.9166666666666730E-001, 4.1666666666666401E-002, 0.0000000000000000E+000, 1.5683360788340193E+000,-8.1016565126361106E-001, 0.0000000000000000E+000,1,4, 4.3943283096299801E-002, 1.3963428852368380E+000, 7.5113315740699371E-001, 0.0000000000000000E+000,0, 0.0000000000000000E+000, 1.1043592643970545E-018, 8.8887230909051596E-015,0,1
24, 8.7500000000000033E-001, 4.1666666666666401E-002, 0.0000000000000000E+000, 1.7334240871323365E+000,-9.0547925729462375E-001, 0.0000000000000000E+000,1,3, 3.1242504292206652E-002, 9.9276261379472475E-001, 7.4639185167103139E-001, 0.0000000000000000E+000,0, 0.0000000000000000E+000, 0.0000000000000000E+000, 9.5479180117763462E-015,0,1
25, 9.5833333333333337E-001, 1.2500000000000033E-001, 0.0000000000000000E+000, 1.8985120954306536E+000,-8.1016565126360895E-001, 0.0000000000000000E+000,1,134, 3.1244114756939331E-002, 9.9281378796317432E-001, 7.4639180317652110E-001,-5.5217963219852723E-019,0, 5.5217963219852723E-019, 0.0000000000000000E+000, 6.4392935428259079E-015,0,1
26, 4.1666666666666373E-002, 1.2500000000000033E-001, 0.0000000000000000E+000, 8.2544004149158259E-002, 2.3828401507753338E-001, 0.0000000000000000E+000,1,133,-1.7182721929449807E-002,-5.4599861058652976E-001, 7.4786250466636417E-001, 0.0000000000000000E+000,0, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.1990408665951691E-014,0,1
27, 1.2500000000000031E-001, 1.2500000000000031E-001, 0.0000000000000000E+000, 2.4763201244747715E-001, 1.4297040904651973E-001, 0.0000000000000000E+000,1,144,-5.5482222081003317E-007,-1.7630045049242723E-005, 7.4998239745069817E-001, 1.0000000000000000E+000,1, 0.0000000000000000E+000, 0.0000000000000000E+000,-9.7699626167013776E-015,0,1
28, 2.0833333333333334E-001, 1.2500000000000031E-001, 0.0000000000000000E+000, 4.1272002074579422E-001, 4.7656803015507176E-002, 0.0000000000000000E+000,1,143, 6.7321670566390601E-002, 2.1392151221753681E+000, 7.4509883350444894E-001, 0.0000000000000000E+000,0, 0.0000000000000000E+000,-2.2087185287941089E-018, 8.4238171993433753E-015,0,1
29, 2.9166666666666641E-001, 1.2500000000000031E-001, 0.0000000000000000E+000, 5.7780802904411144E-001,-4.7656803015505456E-002, 0.0000000000000000E+000,1,142, 1.0505442271285426E-001, 3.3382120174382095E+000, 7.4509883350444939E-001, 0.0000000000000000E+000,0, 0.0000000000000000E+000, 0.0000000000000000E+000, 5.1070259132757201E-015,0,1
30, 3.7500000000000033E-001, 1.2500000000000031E-001, 0.0000000000000000E+000, 7.4289603734243026E-001,-1.4297040904651903E-001, 0.0000000000000000E+000,1,141, 9.4682657721437469E-002, 3.0086385483513531E+000, 7.5026888880211506E-001, 0.0000000000000000E+000,0, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.3988810110276972E-014,0,1
31, 4.5833333333333337E-001, 1.2500000000000031E-001, 0.0000000000000000E+000, 9.0798404564074742E-001,-2.3828401507753155E-001, 0.0000000000000000E+000,1,140, 8.2202564096467229E-002, 2.6120707747936192E+000, 7.6039299096169832E-001, 1.0000000000000000E+000,1, 0.0000000000000000E+000, 0.0000000000000000E+000,-7.1054273576010019E-015,0,1
32, 5.4166666666666630E-001, 1.2500000000000031E-001, 0.0000000000000000E+000, 1.0730720539390644E+000,-3.3359762110854402E-001, 0.0000000000000000E+000,1,139, 1.0533543156914726E-001, 3.3471413620279931E+000, 7.5614785996394984E-001, 0.0000000000000000E+000,0, 0.0000000000000000E+000, 2.2087185287941089E-018,-1.7083556791419596E-014,0,1
33, 6.2500000000000033E-001, 1.2500000000000042E-001, 0.0000000000000000E+000, 1.2381600622373834E+000,-4.2891122713955748E-001, 0.0000000000000000E+000,1,138, 9.5470629844588900E-002, 3.0336771706481040E+000, 7.5614823805665854E-001, 1.0000000000000000E+000,1, 0.0000000000000000E+000, 0.0000000000000000E+000,-5.3151927303929369E-015,0,1
34, 7.0833333333333337E-001, 1.2500000000000036E-001, 0.0000000000000000E+000, 1.4032480705357004E+000,-5.2422483317057011E-001, 0.0000000000000000E+000,1,137, 8.4424290384055495E-002, 2.6826684060133665E+000, 7.6385874412427457E-001,-1.0000000000000000E+000,-1, 0.0000000000000000E+000, 0.0000000000000000E+000,-8.8817841970012523E-015,0,1
35, 7.9166666666666730E-001, 1.2500000000000036E-001, 0.0000000000000000E+000, 1.5683360788340193E+000,-6.1953843920158369E-001, 0.0000000000000000E+000,1,136, 1.0617074014827857E-001, 3.3736841487581342E+000, 7.5427225208036741E-001, 1.0000000000000000E+000,1, 0.0000000000000000E+000, 0.0000000000000000E+000,-1.6001089342410069E-014,0,1
36, 8.7500000000000033E-001, 1.2500000000000036E-001, 0.0000000000000000E+000, 1.7334240871323365E+000,-7.1485204523259638E-001, 0.0000000000000000E+000,1,135, 9.7792524198727415E-002, 3.1074577449071517E+000, 7.4639180317652132E-001, 0.0000000000000000E+000,0, 0.0000000000000000E+000, 2.2087185287941089E-018,-1.3974932322469158E-014,0,1
37, 9.5833333333333337E-001, 2.0833333333333340E-001, 0.0000000000000000E+000, 1.8985120954306536E+000,-6.1953843920158369E-001, 0.0000000000000000E+000,1,122, 4.3939576995711362E-002, 1.3962251200899487E+000, 7.5113311707112773E-001,-1.0000000000000000E+000,-1, 0.0000000000000000E+000, 0.0000000000000000E+000,-1.5987211554602254E-014,0,1
38, 4.1666666666666373E-002, 2.0833333333333340E-001, 0.0000000000000000E+000, 8.2544004149158259E-002, 4.2891122713955859E-001, 0.0000000000000000E+000,1,121,-4.0749295114197448E-002,-1.2948506415970786E+000, 7.4639187700458154E-001, 0.0000000000000000E+000,0, 0.0000000000000000E+000, 0.0000000000000000E+000, 7.9936057773011271E-015,0,1
39, 1.2500000000000031E-001, 2.0833333333333334E-001, 0.0000000000000000E+000, 2.4763201244747715E-001, 3.3359762110854485E-001, 0.0000000000000000E+000,1,132,-6.7318389685625757E-002,-2.1391108688244462E+000, 7.4509897486590815E-001, 0.0000000000000000E+000,0, 0.0000000000000000E+000, 2.2087185287941089E-018, 1.6334156249797616E-014,0,1
40, 2.0833333333333334E-001, 2.0833333333333334E-001, 0.0000000000000000E+000, 4.1272002074579422E-001, 2.3828401507753227E-001, 0.0000000000000000E+000,1,131, 9.9436393228223539E-007, 3.1596933691450545E-005, 7.5113289836933317E-001,-1.0000000000000000E+000,-1, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.4408920985006262E-015,0,1
41, 2.9166666666666641E-001, 2.0833333333333334E-001, 0.0000000000000000E+000, 5.7780802904411144E-001, 1.4297040904651964E-001, 0.0000000000000000E+000,1,130, 7.7777147261180013E-002, 2.4714486164851754E+000, 7.5026888347306375E-001, 0.0000000000000000E+000,0, 0.0000000000000000E+000, 0.0000000000000000E+000,-1.2989609388114332E-014,0,1
42, 3.7500000000000033E-001, 2.0833333333333334E-001, 0.0000000000000000E+000, 7.4289603734243026E-001, 4.7656803015506066E-002, 0.0000000000000000E+000,1,129, 1.1255385144934982E-001, 3.5765140563777633E+000, 7.5026888347306342E-001, 0.0000000000000000E+000,0, 0.0000000000000000E+000, 0.0000000000000000E+000,-4.4408920985006262E-015,0,1
43, 4.5833333333333337E-001, 2.0833333333333334E-001, 0.0000000000000000E+000, 9.0798404564074742E-001,-4.7656803015506455E-002, 0.0000000000000000E+000,1,128, 1.0803317451575697E-001, 3.4328649107542266E+000, 7.4819293481114302E-001,-1.0000000000000000E+000,-1, 0.0000000000000000E+000, 0.0000000000000000E+000,-1.0658141036401503E-014,0,1
44, 5.4166666666666630E-001, 2.0833333333333340E-001, 0.0000000000000000E+000, 1.0730720539390644E+000,-1.4297040904651875E-001, 0.0000000000000000E+000,1,127, 1.5838888796898118E-001, 5.0329693466777972E+000, 7.4334036733744024E-001,-1.0000000000000000E+000,-1, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.1546319456101628E-014,0,1
45, 6.2500000000000033E-001, 2.0833333333333345E-001, 0.0000000000000000E+000, 1.2381600622373834E+000,-2.3828401507753233E-001, 0.0000000000000000E+000,1,126, 2.0197211910302282E-001, 6.4178712115722778E+000, 7.2042937115686767E-001,-1.0000000000000000E+000,-1, 0.0000000000000000E+000, 0.0000000000000000E+000, 7.1331829332166308E-015,0,1
