k_index,kx_frac,ky_frac,kz_frac,source_k_weight,initial_first,initial_last,final_first,final_last,transition_eV,transition_min_eV,transition_max_eV,I_plus_A2,I_minus_A2,eta,eta_valid
1,0.0,0.0,0.0,0.02,1,2,37,38,16.757731320038527,16.75773132001125,16.75773132006581,0.00021892672920038544,0.0002189265574123818,nan,False
1,0.0,0.0,0.0,0.02,1,2,39,40,16.792651311133742,16.792651311106464,16.792651311161023,3.864193804871824e-12,3.8434332243354066e-12,nan,False
1,0.0,0.0,0.0,0.02,3,4,37,38,16.702002507722142,16.702002507722142,16.702002507722142,1.2776187692401094e-12,1.2776292965685384e-12,nan,False
1,0.0,0.0,0.0,0.02,3,4,39,40,16.736922498817357,16.736922498817357,16.736922498817357,0.00010523649400635948,0.0001052363900799936,nan,False
1,0.0,0.0,0.0,0.02,5,6,37,38,15.659511692698729,15.659511692671451,15.65951169272601,0.0030636817147567147,0.003063681369695495,5.6314798855411586e-08,True
1,0.0,0.0,0.0,0.02,5,6,39,40,15.694431683793944,15.694431683766666,15.694431683821225,3.0659406537424536e-13,3.069876867482433e-13,nan,False
1,0.0,0.0,0.0,0.02,7,8,37,38,15.570866045696803,15.570866045696803,15.570866045696803,2.69983182609028e-14,2.8384869283859292e-14,nan,False
1,0.0,0.0,0.0,0.02,7,8,39,40,15.605786036792018,15.605786036792018,15.605786036792018,0.0030377653050585674,0.0030377648426209505,7.611477609437043e-08,True
1,0.0,0.0,0.0,0.02,9,10,37,38,8.417470082191151,8.417470082082033,8.41747008230027,0.0008022143586934187,0.0008022152540849626,nan,False
1,0.0,0.0,0.0,0.02,9,10,39,40,8.452390073286367,8.452390073177249,8.452390073395485,4.923154386266181e-12,4.928741330939702e-12,nan,False
1,0.0,0.0,0.0,0.02,11,12,37,38,8.138444419913881,8.138444419913881,8.138444419913881,1.3834937052299909e-12,1.3770432878490499e-12,nan,False
1,0.0,0.0,0.0,0.02,11,12,39,40,8.173364411009096,8.173364411009096,8.173364411009096,0.00044947251366017545,0.00044947396522732736,nan,False
1,0.0,0.0,0.0,0.02,13,14,37,38,5.174894288085751,5.174894288058471,5.17489428811303,5.825623447798479e-05,5.825653757274759e-05,nan,False
1,0.0,0.0,0.0,0.02,13,14,39,40,5.209814279180966,5.2098142791536866,5.209814279208246,0.001984460100739434,0.00198442810675995,nan,False
1,0.0,0.0,0.0,0.02,15,16,37,38,5.170593087800364,5.170593087800364,5.170593087800364,0.002149711006041747,0.002149714533460068,nan,False
1,0.0,0.0,0.0,0.02,15,16,39,40,5.205513078895579,5.205513078895579,5.205513078895579,9.305088674879963e-05,9.305429184044764e-05,nan,False
1,0.0,0.0,0.0,0.02,17,20,37,38,5.104936235497531,5.104554675107641,5.105317795914702,0.007041495188125275,0.0070414794562473045,1.117084875016193e-06,True
1,0.0,0.0,0.0,0.02,17,20,39,40,5.139856226592746,5.139474666202856,5.140237787009917,0.0001896705945932231,0.000189681131944413,nan,False
1,0.0,0.0,0.0,0.02,21,22,37,38,4.949133804671844,4.9491338043990485,4.949133804944639,0.17349016398409864,0.17349000947812693,4.4528760871117457e-07,True
1,0.0,0.0,0.0,0.02,21,22,39,40,4.984053795767059,4.984053795494264,4.984053796039854,1.8954697801458404e-11,1.8790622546673444e-11,nan,False
1,0.0,0.0,0.0,0.02,23,24,37,38,4.254380203711335,4.254380203711335,4.254380203711335,4.359716909011977e-11,3.8448482583166484e-11,nan,False
1,0.0,0.0,0.0,0.02,23,24,39,40,4.28930019480655,4.28930019480655,4.28930019480655,0.26443320290579897,0.2644329852138701,4.1162005392345486e-07,True
