mu_eV,mu_minus_reference_eV,temperature_K,region,band_id,sigma_e2_over_h,sigma_S,delta_sigma_e2_over_h,electrons_per_cell,delta_electrons_per_cell
-1.4748738807166568,-1.0367751797248288,0.0,total,0,1.177426426428094e-09,4.561403978565213e-14,3.513970973575975e-09,17.888888888888886,-0.11111111111111113
-1.469873880716657,-1.031775179724829,0.0,total,0,1.177426426428094e-09,4.561403978565213e-14,3.513970973575975e-09,17.888888888888886,-0.11111111111111113
-1.4648738807166568,-1.0267751797248288,0.0,total,0,1.177426426428094e-09,4.561403978565213e-14,3.513970973575975e-09,17.888888888888886,-0.11111111111111113
-1.459873880716657,-1.021775179724829,0.0,total,0,-2.536343989683633e-10,-9.825912945278563e-15,2.082910156853135e-09,17.97222222222222,-0.027777777777777776
-1.4548738807166568,-1.0167751797248288,0.0,total,0,-2.536343989683633e-10,-9.825912945278563e-15,2.082910156853135e-09,17.97222222222222,-0.027777777777777776
-1.449873880716657,-1.0117751797248289,0.0,total,0,-2.536343989683633e-10,-9.825912945278563e-15,2.082910156853135e-09,17.97222222222222,-0.027777777777777776
-1.4448738807166568,-1.0067751797248288,0.0,total,0,-2.536343989683633e-10,-9.825912945278563e-15,2.082910156853135e-09,17.97222222222222,-0.027777777777777776
-1.439873880716657,-1.0017751797248289,0.0,total,0,-2.536343989683633e-10,-9.825912945278563e-15,2.082910156853135e-09,17.97222222222222,-0.027777777777777776
-1.4348738807166568,-0.9967751797248288,0.0,total,0,-2.536343989683633e-10,-9.825912945278563e-15,2.082910156853135e-09,17.97222222222222,-0.027777777777777776
-1.4298738807166569,-0.9917751797248289,0.0,total,0,-2.536343989683633e-10,-9.825912945278563e-15,2.082910156853135e-09,17.97222222222222,-0.027777777777777776
-1.4248738807166568,-0.9867751797248288,0.0,total,0,-2.536343989683633e-10,-9.825912945278563e-15,2.082910156853135e-09,17.97222222222222,-0.027777777777777776
-1.4198738807166569,-0.9817751797248289,0.0,total,0,-1.5145224040851748e-09,-5.867329256892776e-14,8.220221309196418e-10,17.98611111111111,-0.013888888888888888
-1.4148738807166568,-0.9767751797248287,0.0,total,0,-1.5145224040851748e-09,-5.867329256892776e-14,8.220221309196418e-10,17.98611111111111,-0.013888888888888888
-1.4098738807166569,-0.9717751797248289,0.0,total,0,-1.5145224040851748e-09,-5.867329256892776e-14,8.220221309196418e-10,17.98611111111111,-0.013888888888888888
-1.4048738807166568,-0.9667751797248287,0.0,total,0,-1.5145224040851748e-09,-5.867329256892776e-14,8.220221309196418e-10,17.98611111111111,-0.013888888888888888
-1.3998738807166569,-0.9617751797248288,0.0,total,0,-1.5145224040851748e-09,-5.867329256892776e-14,8.220221309196418e-10,17.98611111111111,-0.013888888888888888
-1.3948738807166567,-0.9567751797248287,0.0,total,0,-1.5145224040851748e-09,-5.867329256892776e-14,8.220221309196418e-10,17.98611111111111,-0.013888888888888888
-1.3898738807166569,-0.9517751797248288,0.0,total,0,-1.5145224040851748e-09,-5.867329256892776e-14,8.220221309196418e-10,17.98611111111111,-0.013888888888888888
-1.3848738807166567,-0.9467751797248287,0.0,total,0,-1.5145224040851748e-09,-5.867329256892776e-14,8.220221309196418e-10,17.98611111111111,-0.013888888888888888
-1.3798738807166568,-0.9417751797248288,0.0,total,0,-1.5145224040851748e-09,-5.867329256892776e-14,8.220221309196418e-10,17.98611111111111,-0.013888888888888888
-1.3748738807166567,-0.9367751797248287,0.0,total,0,-1.5145224040851748e-09,-5.867329256892776e-14,8.220221309196418e-10,17.98611111111111,-0.013888888888888888
-1.3698738807166568,-0.9317751797248288,0.0,total,0,-1.5145224040851748e-09,-5.867329256892776e-14,8.220221309196418e-10,17.98611111111111,-0.013888888888888888
