spin current electric_field sigma_hbar_over_e_e2_over_h sigma_hbar_over_e_S
x x x -0.6427775579057341 -2.4901497402756855e-05
x x y 2.8179422188189667e-06 1.0916837400432428e-10
x x z -1.5988594372618873e-07 -6.194054791531638e-12
x y x -1.196783586119968e-06 -4.6363945030263415e-11
x y y 0.6427740758181834 2.4901362505088082e-05
x y z -0.008413979259269073 -3.259614155699349e-07
x z x 6.678135452226688e-07 2.5871403034153417e-11
x z y 0.38731449443693367 1.500474115601563e-05
x z z -1.279061444917694e-07 -4.955142701677117e-12
y x x -7.792159024300063e-07 -3.0187181446980856e-11
y x y 0.6427727197979776 2.4901309972243373e-05
y x z 0.008421702750154693 3.262606271492176e-07
y y x 0.6427721183707523 2.4901286672676822e-05
y y y 8.424124002034675e-07 3.2635442755755365e-11
y y z 1.5980002208316902e-07 6.1907261476731515e-12
y z x -0.3873172562502244 -1.5004848149929216e-05
y z y -6.685055322392741e-07 -2.589821092855608e-11
y z z 4.9523702166319536e-08 1.9185709359354542e-12
z x x 4.032420907668728e-07 1.5621783543018667e-11
z x y 1.382557631912924 5.356091676942198e-05
z x z -1.278214631700462e-06 -4.95186210843453e-11
z y x -1.3825592384101875 -5.356097900586279e-05
z y y -4.0326513361280574e-07 -1.5622676233438696e-11
z y z 4.009681501410132e-07 1.553369004023155e-11
z z x -4.927354926254609e-07 -1.9088798977108123e-11
z z y -4.570642542159468e-07 -1.7706878840534368e-11
z z z -4.450070178617021e-11 -1.7239775974127696e-15
