# mu_eV	mu_minus_reference_eV	temperature_K	region	band_id	sigma_e2_over_h	sigma_S	delta_sigma_e2_over_h	electrons_per_cell	delta_electrons_per_cell
-1.4748738806724562	-1.0367751798674918	0.0	total	0	7.447893051899099e-06	2.885347928016417e-10	4.841365743198101e-07	17.888888888888886	-0.11111111111111113
-1.4698738806724563	-1.031775179867492	0.0	total	0	7.447893051899099e-06	2.885347928016417e-10	4.841365743198101e-07	17.888888888888886	-0.11111111111111113
-1.4648738806724562	-1.0267751798674918	0.0	total	0	7.447893051899099e-06	2.885347928016417e-10	4.841365743198101e-07	17.888888888888886	-0.11111111111111113
-1.4598738806724563	-1.021775179867492	0.0	total	0	6.576353212767858e-06	2.547709397025444e-10	-3.8740326475938947e-07	17.97222222222222	-0.027777777777777776
-1.4548738806724562	-1.0167751798674918	0.0	total	0	6.576353212767858e-06	2.547709397025444e-10	-3.8740326475938947e-07	17.97222222222222	-0.027777777777777776
-1.4498738806724563	-1.0117751798674919	0.0	total	0	6.576353212767858e-06	2.547709397025444e-10	-3.8740326475938947e-07	17.97222222222222	-0.027777777777777776
-1.4448738806724561	-1.0067751798674918	0.0	total	0	6.576353212767858e-06	2.547709397025444e-10	-3.8740326475938947e-07	17.97222222222222	-0.027777777777777776
-1.4398738806724563	-1.0017751798674919	0.0	total	0	6.576353212767858e-06	2.547709397025444e-10	-3.8740326475938947e-07	17.97222222222222	-0.027777777777777776
-1.4348738806724561	-0.9967751798674918	0.0	total	0	6.576353212767858e-06	2.547709397025444e-10	-3.8740326475938947e-07	17.97222222222222	-0.027777777777777776
-1.4298738806724562	-0.9917751798674919	0.0	total	0	6.576353212767858e-06	2.547709397025444e-10	-3.8740326475938947e-07	17.97222222222222	-0.027777777777777776
-1.4248738806724561	-0.9867751798674917	0.0	total	0	6.576353212767858e-06	2.547709397025444e-10	-3.8740326475938947e-07	17.97222222222222	-0.027777777777777776
-1.4198738806724562	-0.9817751798674919	0.0	total	0	6.906619067654349e-06	2.6756559039705625e-10	-5.7137409810448236e-08	17.98611111111111	-0.013888888888888888
-1.4148738806724561	-0.9767751798674917	0.0	total	0	6.906619067654349e-06	2.6756559039705625e-10	-5.7137409810448236e-08	17.98611111111111	-0.013888888888888888
-1.4098738806724562	-0.9717751798674918	0.0	total	0	6.906619067654349e-06	2.6756559039705625e-10	-5.7137409810448236e-08	17.98611111111111	-0.013888888888888888
-1.404873880672456	-0.9667751798674917	0.0	total	0	6.906619067654349e-06	2.6756559039705625e-10	-5.7137409810448236e-08	17.98611111111111	-0.013888888888888888
