spin,current,electric_field,sigma_hbar_over_e_e2_over_h,sigma_hbar_over_e_S
x,x,x,-0.6483423653791404,-2.511708059657177e-05
x,x,y,2.865341555094015e-06,1.1100464603129293e-10
x,x,z,-1.6480622405079394e-07,-6.38466870799006e-12
x,y,x,-1.1773201299667206e-06,-4.560992181198572e-11
x,y,y,0.6483389092116973,2.5116946703059856e-05
x,y,z,-0.00586014025116111,-2.270245210793124e-07
x,z,x,7.330404019829524e-07,2.8398321381300193e-11
x,z,y,0.38788362733448695,1.5026789625499259e-05
x,z,z,-1.266307275129966e-07,-4.90573246295033e-12
y,x,x,-8.200438839301296e-07,-3.1768876176021515e-11
y,x,y,0.6483374876419763,2.511689163079686e-05
y,x,z,0.005867860180019539,2.2732359466402805e-07
y,y,x,0.6483369203130482,2.5116869652213982e-05
y,y,y,8.680906841833315e-07,3.363023125446274e-11
y,y,z,1.644077158121985e-07,6.369230316051341e-12
y,z,x,-0.38788646935110016,-1.5026899726526345e-05
y,z,y,-7.322061103023575e-07,-2.8366000538946632e-11
y,z,z,5.1856711861256215e-08,2.0089528015506072e-12
z,x,x,3.936086021614693e-07,1.5248577776052357e-11
z,x,y,1.386327635067952,5.370696842075715e-05
z,x,z,-1.2615125599903552e-06,-4.8871575165901954e-11
z,y,x,-1.3863293195623807,-5.3707033678843906e-05
z,y,y,-3.928947582198202e-07,-1.5220923134348833e-11
z,y,z,4.059344463223486e-07,1.5726086632084843e-11
z,z,x,-5.051106257363859e-07,-1.9568217309671724e-11
z,z,y,-4.6073791499095066e-07,-1.784919814388003e-11
z,z,z,-1.0689252899259394e-10,-4.141065599358637e-15
