ix,iy,source_k_index_1based,q1,q2,q3,flux_rad,curvature_A2
0,0,1,0.0,0.0,0.0,5.776675915392104e-09,3.514886573602871e-07
0,1,2,0.0,0.0833333333333333,0.0,1.10351804083475e-09,6.714485635456199e-08
0,2,3,0.0,0.1666666666666667,0.0,2.501822993897512e-09,1.5222636996737967e-07
0,3,4,0.0,0.25,0.0,-2.042584767991684e-09,-1.2428347862357768e-07
0,4,5,0.0,0.3333333333333333,0.0,1.0131136485291847e-09,6.164409450875937e-08
0,5,6,0.0,0.4166666666666667,0.0,9.230269881754793e-10,5.616266543820594e-08
0,6,7,0.0,0.5,0.0,8.216576537076245e-10,4.999472875775713e-08
0,7,8,0.0,-0.4166666666666666,0.0,-1.862228378310457e-10,-1.1330948143490201e-08
0,8,9,0.0,-0.3333333333333334,0.0,2.4985585822534517e-09,1.520277429918236e-07
0,9,10,0.0,-0.25,0.0,-5.030261762684063e-10,-3.060722081405877e-08
0,10,11,0.0,-0.1666666666666666,0.0,-7.311828476019855e-09,-4.4489682501263995e-07
0,11,12,0.0,-0.0833333333333334,0.0,-5.041173589681591e-10,-3.067361511204058e-08
1,0,13,0.0833333333333333,0.0,0.0,-6.397804064306456e-09,-3.892819319542223e-07
1,1,14,0.0833333333333333,0.0833333333333333,0.0,-4.230854532702161e-09,-2.574313326499341e-07
1,2,15,0.0833333333333333,0.1666666666666667,0.0,-9.216125640421069e-10,-5.6076603134061025e-08
1,3,16,0.0833333333333333,0.25,0.0,-2.5761839557300655e-09,-1.5675095036921613e-07
1,4,17,0.0833333333333333,0.3333333333333333,0.0,1.6804251323776498e-09,1.0224744857160835e-07
1,5,18,0.0833333333333333,0.4166666666666667,0.0,-2.233019746208648e-09,-1.3587071941539083e-07
1,6,19,0.0833333333333333,0.5,0.0,3.3100719942780188e-09,2.0140523340328273e-07
1,7,20,0.0833333333333333,-0.4166666666666666,0.0,-3.815717963817633e-09,-2.3217185862793079e-07
1,8,21,0.0833333333333333,-0.3333333333333334,0.0,1.1238678944453487e-10,6.838306719204537e-09
1,9,22,0.0833333333333333,-0.25,0.0,1.4902157057097802e-09,9.067393172974802e-08
1,10,23,0.0833333333333333,-0.1666666666666666,0.0,-4.1429848440799333e-10,-2.5208479783841752e-08
1,11,24,0.0833333333333333,-0.0833333333333334,0.0,-1.8286354652730097e-09,-1.1126548103167847e-07
2,0,25,0.1666666666666667,0.0,0.0,4.471216041176668e-09,2.72056412043723e-07
2,1,26,0.1666666666666667,0.0833333333333333,0.0,-2.193996540000853e-09,-1.3349630642134973e-07
2,2,27,0.1666666666666667,0.1666666666666667,0.0,5.838215887829229e-09,3.552331295451086e-07
2,3,28,0.1666666666666667,0.25,0.0,1.4606937881467275e-09,8.88776358462816e-08
2,4,29,0.1666666666666667,0.3333333333333333,0.0,7.449163737102746e-10,4.53253150905465e-08
2,5,30,0.1666666666666667,0.4166666666666667,0.0,-1.8645212269827235e-09,-1.1344899251586778e-07
2,6,31,0.1666666666666667,0.5,0.0,6.437139710158135e-10,3.916753557067937e-08
2,7,32,0.1666666666666667,-0.4166666666666666,0.0,-6.669531593672673e-11,-4.058155138728951e-09
2,8,33,0.1666666666666667,-0.3333333333333334,0.0,-4.714986408113683e-10,-2.8688890745005395e-08
2,9,34,0.1666666666666667,-0.25,0.0,9.43961598457171e-10,5.743645648482955e-08
2,10,35,0.1666666666666667,-0.1666666666666666,0.0,-3.237977885817145e-09,-1.9701858236769673e-07
2,11,36,0.1666666666666667,-0.0833333333333334,0.0,1.5095704915121851e-09,9.185159649315572e-08
3,0,37,0.25,0.0,0.0,4.4900483331389296e-10,2.7320228505335382e-08
3,1,38,0.25,0.0833333333333333,0.0,1.1442427073932696e-10,6.962279670983771e-09
3,2,39,0.25,0.1666666666666667,0.0,1.4220793431718448e-09,8.652809441142807e-08
3,3,40,0.25,0.25,0.0,-3.7634229066441094e-10,-2.2898990421301816e-08
3,4,41,0.25,0.3333333333333333,0.0,-1.0929346316856936e-10,-6.650089634597218e-09
3,5,42,0.25,0.4166666666666667,0.0,1.8604042750780536e-09,1.1319849172292326e-07
3,6,43,0.25,0.5,0.0,-4.0031469318608206e-10,-2.435761951863289e-08
3,7,44,0.25,-0.4166666666666666,0.0,3.1774978481724503e-09,1.933386031650915e-07
3,8,45,0.25,-0.3333333333333334,0.0,9.182747895408738e-10,5.587351230895799e-08
3,9,46,0.25,-0.25,0.0,2.037909008212324e-09,1.2399897650660632e-07
3,10,47,0.25,-0.1666666666666666,0.0,4.304825385048616e-10,2.6193217638011015e-08
3,11,48,0.25,-0.0833333333333334,0.0,7.145826153021062e-10,4.347962179361611e-08
4,0,49,0.3333333333333333,0.0,0.0,-2.5766144773342603e-10,-1.5677714596385212e-08
4,1,50,0.3333333333333333,0.0833333333333333,0.0,1.9714909704759975e-09,1.1995769268691989e-07
4,2,51,0.3333333333333333,0.1666666666666667,0.0,-1.127633986186538e-09,-6.861221948464312e-08
4,3,52,0.3333333333333333,0.25,0.0,1.7335148871922001e-09,1.0547775730151856e-07
4,4,53,0.3333333333333333,0.3333333333333333,0.0,1.0536975736386012e-09,6.411347128461594e-08
4,5,54,0.3333333333333333,0.4166666666666667,0.0,1.5420709154057022e-09,9.382912310626106e-08
4,6,55,0.3333333333333333,0.5,0.0,-8.436149556700911e-10,-5.133074668555496e-08
4,7,56,0.3333333333333333,-0.4166666666666666,0.0,-2.419067367961653e-09,-1.4719100633001508e-07
4,8,57,0.3333333333333333,-0.3333333333333334,0.0,-1.4886878396680459e-09,-9.058096691892928e-08
4,9,58,0.3333333333333333,-0.25,0.0,-1.3693612681411841e-09,-8.332040097621688e-08
4,10,59,0.3333333333333333,-0.1666666666666666,0.0,6.140365764598035e-10,3.7361779506253275e-08
4,11,60,0.3333333333333333,-0.0833333333333334,0.0,9.569659925601215e-10,5.822772417752645e-08
5,0,61,0.4166666666666667,0.0,0.0,-7.518718980747963e-10,-4.5748532171776255e-08
5,1,62,0.4166666666666667,0.0833333333333333,0.0,7.312170313689137e-10,4.449176245286888e-08
5,2,63,0.4166666666666667,0.1666666666666667,0.0,6.54256648857654e-10,3.980901723485527e-08
5,3,64,0.4166666666666667,0.25,0.0,-2.3135952924438434e-09,-1.4077343353283293e-07
5,4,65,0.4166666666666667,0.3333333333333333,0.0,-1.143240169199089e-09,-6.956179609131833e-08
5,5,66,0.4166666666666667,0.4166666666666667,0.0,7.046334398044754e-10,4.287425247937326e-08
5,6,67,0.4166666666666667,0.5,0.0,1.621149436914493e-09,9.864074898908069e-08
5,7,68,0.4166666666666667,-0.4166666666666666,0.0,-1.1738665823965485e-09,-7.142529631397289e-08
5,8,69,0.4166666666666667,-0.3333333333333334,0.0,3.823312777484489e-10,2.3263397402054815e-08
5,9,70,0.4166666666666667,-0.25,0.0,-3.043008296596591e-10,-1.851554278226027e-08
5,10,71,0.4166666666666667,-0.1666666666666666,0.0,8.306240140143473e-10,5.054029752287014e-08
5,11,72,0.4166666666666667,-0.0833333333333334,0.0,-2.6877855496820757e-09,-1.635414809428527e-07
6,0,73,0.5,0.0,0.0,-1.9631231085170953e-09,-1.1944854025947044e-07
6,1,74,0.5,0.0833333333333333,0.0,2.4284554138578832e-09,1.4776223305203188e-07
6,2,75,0.5,0.1666666666666667,0.0,1.2250256593712757e-09,7.453813067425358e-08
6,3,76,0.5,0.25,0.0,-6.118017884254292e-12,-3.722580119325945e-10
6,4,77,0.5,0.3333333333333333,0.0,3.5684744048580797e-09,2.1712803275774196e-07
6,5,78,0.5,0.4166666666666667,0.0,1.2156305080476878e-09,7.39664716141312e-08
6,6,79,0.5,0.5,0.0,4.611708237511891e-11,2.8060482538432384e-09
6,7,80,0.5,-0.4166666666666666,0.0,-3.711057572353127e-09,-2.258036737040299e-07
6,8,81,0.5,-0.3333333333333334,0.0,1.4588108498969632e-10,8.876306624829904e-09
6,9,82,0.5,-0.25,0.0,-1.6010417991374482e-09,-9.7417276059587e-08
6,10,83,0.5,-0.1666666666666666,0.0,2.2769413021705986e-09,1.38543178275876e-07
6,11,84,0.5,-0.0833333333333334,0.0,-1.4447674168138747e-09,-8.790857700372304e-08
