ix,iy,center_q1,center_q2,native_curvature_A2,python_curvature_A2,native_flux_from_printed_map_rad,python_flux_rad,flux_difference_rad,native_stdout_curvature_A2,native_stdout_flux_rad,stdout_flux_difference_rad
0,3,0.08333333333333333,0.5833333333333334,0.3819,0.38188678009275534,0.025721585759695832,0.025720693945967543,8.918137282890037e-07,0.381887,0.025720710188564967,1.6242597423304916e-08
1,3,0.25000000000000006,0.5833333333333334,0.2519,0.25190646292222524,0.01696587445107981,0.01696630879513572,-4.3434405590930814e-07,0.251906,0.016966278560832517,-3.023430320339693e-08
2,3,0.41666666666666663,0.5833333333333334,0.3534,0.35336471603747327,0.023802064434345394,0.02379968667754362,2.377756801775349e-06,0.353365,0.023799707127454613,2.044991099375837e-08
3,3,0.5833333333333334,0.5833333333333334,0.0724,0.07244707218660884,0.004876257682644615,0.004879427799361347,-3.1701167167320216e-06,0.072447,0.004879423209040806,-4.590320540343029e-09
4,3,-0.2500000000000001,0.5833333333333334,-0.0362,-0.036197155170305674,-0.0024381288413223073,-0.0024379371017347004,-1.91739587606949e-07,-0.036197,-0.0024379267864459543,1.0315288746006596e-08
5,3,-0.08333333333333327,0.5833333333333334,0.2279,0.22793522966800076,0.01534943544025839,0.015351807361256409,-2.3719209980184452e-06,0.227935,0.015351792747149174,-1.4614107235119689e-08
0,4,0.08333333333333333,-0.2500000000000001,-1.2698,-1.2697773132905212,-0.08552309399754325,-0.08552156125107516,-1.5327464680942038e-06,-1.269777,-0.08552154491015787,1.6340917285972978e-08
1,4,0.25000000000000006,-0.2500000000000001,0.3807,0.3807079224978492,0.025640763809154758,0.02564129597519438,-5.321660396240269e-07,0.380708,0.025641302622158368,6.646963986167709e-09
2,4,0.41666666666666663,-0.2500000000000001,0.2519,0.25192068351366703,0.01696587445107981,0.016967266575030893,-1.3921239510814032e-06,0.251921,0.01696728883521428,2.2260183387551313e-08
3,4,0.5833333333333334,-0.2500000000000001,-0.0362,-0.03619748040376805,-0.0024381288413223073,-0.0024379590067358237,-1.6983458648364008e-07,-0.036197,-0.0024379267864459543,3.222028986931552e-08
4,4,-0.2500000000000001,-0.2500000000000001,-0.0107,-0.010681127936760978,-0.0007206623923245493,-0.0007193912881520159,-1.271104172533401e-06,-0.010681,-0.0007193827114409824,8.576711033546867e-09
5,4,-0.08333333333333327,-0.2500000000000001,0.3955,0.3955053360100051,0.02663756786582797,0.02663792577223958,-3.5790641161187464e-07,0.395505,0.02663790462395522,-2.1148284359839842e-08
0,5,0.08333333333333333,-0.08333333333333327,-30.5884,-30.58841613185633,-2.060178459942079,-2.0601794317893916,9.718473124031846e-07,-30.588414,-2.0601794028648355,2.8924556083609332e-08
1,5,0.25000000000000006,-0.08333333333333327,-1.2698,-1.2697961985348125,-0.08552309399754325,-0.08552283320290441,-2.607946388427651e-07,-1.269796,-0.08552282459104144,8.611862972740525e-09
2,5,0.41666666666666663,-0.08333333333333327,0.3819,0.3818950253345354,0.025721585759695832,0.02572124927637276,3.3648332307262274e-07,0.381895,0.025721249001568577,-2.748041828815051e-10
3,5,0.5833333333333334,-0.08333333333333327,0.2279,0.2279337126826391,0.01534943544025839,0.0153517051898322,-2.2697495738101953e-06,0.227934,0.015351725395523722,2.020569152098861e-08
4,5,-0.2500000000000001,-0.08333333333333327,0.3955,0.3955389031563992,0.02663756786582797,0.026640186573985147,-2.6187081571781012e-06,0.395539,0.026640194579220552,8.005235405117439e-09
5,5,-0.08333333333333327,-0.08333333333333327,-16.7548,-16.754791016847022,-1.128463014104613,-1.1284623462700063,-6.678346067268137e-07,-16.75479,-1.1284623405883585,5.681647818889246e-09
