mu_eV,mu_minus_dft_midgap_eV,sigma_yz_S_per_cm,sigma_zx_S_per_cm,sigma_xy_S_per_cm,sigma_xy_e2_over_h
3.254291,-0.007695301570528557,7.300000000000058e-05,-0.0021829999999999627,73.273857,1.0003849765685957
3.261986,-3.0157052854917765e-07,7.300000000000058e-05,-0.0021829999999999627,73.273857,1.0003849765685957
3.269682,0.007695698429471598,7.300000000000058e-05,-0.0021829999999999627,73.273857,1.0003849765685957
