k_index,q1,q2,q3,distance_inv_A,band_id,energy_eV
1,0.0,0.0,0.0,0.0,1,-13.655776200588273
1,0.0,0.0,0.0,0.0,2,-13.655776200352504
1,0.0,0.0,0.0,0.0,3,-9.894637025123634
1,0.0,0.0,0.0,0.0,4,-9.894637024357133
1,0.0,0.0,0.0,0.0,5,-3.238260677957243
1,0.0,0.0,0.0,0.0,6,-3.238260677425232
1,0.0,0.0,0.0,0.0,7,-1.462481196910958
1,0.0,0.0,0.0,0.0,8,-1.4624811967931164
1,0.0,0.0,0.0,0.0,9,-1.4150530846899376
1,0.0,0.0,0.0,0.0,10,-1.4150530830959127
1,0.0,0.0,0.0,0.0,11,-0.8800247083530307
1,0.0,0.0,0.0,0.0,12,-0.8800246051471202
1,0.0,0.0,0.0,0.0,13,0.39083720110203735
1,0.0,0.0,0.0,0.0,14,0.39083720133803307
1,0.0,0.0,0.0,0.0,15,1.579237829235257
1,0.0,0.0,0.0,0.0,16,1.5792380051221926
2,0.005,0.0,0.0,0.008265502827919003,1,-13.65556869816246
2,0.005,0.0,0.0,0.008265502827919003,2,-13.6555686665024
2,0.005,0.0,0.0,0.008265502827919003,3,-9.894722060277658
2,0.005,0.0,0.0,0.008265502827919003,4,-9.89472202577652
2,0.005,0.0,0.0,0.008265502827919003,5,-3.2386680024790957
2,0.005,0.0,0.0,0.008265502827919003,6,-3.2386679042430697
2,0.005,0.0,0.0,0.008265502827919003,7,-1.476500435185683
2,0.005,0.0,0.0,0.008265502827919003,8,-1.4765003545085347
2,0.005,0.0,0.0,0.008265502827919003,9,-1.404079670513113
2,0.005,0.0,0.0,0.008265502827919003,10,-1.404079567488875
2,0.005,0.0,0.0,0.008265502827919003,11,-0.8778987362755736
2,0.005,0.0,0.0,0.008265502827919003,12,-0.8778986381696537
2,0.005,0.0,0.0,0.008265502827919003,13,0.3915982146198402
2,0.005,0.0,0.0,0.008265502827919003,14,0.39159830758649733
2,0.005,0.0,0.0,0.008265502827919003,15,1.5785534666733234
2,0.005,0.0,0.0,0.008265502827919003,16,1.5785536398144948
3,0.01,0.0,0.0,0.016531005655838007,1,-13.654946135283124
3,0.01,0.0,0.0,0.016531005655838007,2,-13.65494607243027
3,0.01,0.0,0.0,0.016531005655838007,3,-9.894977360332549
3,0.01,0.0,0.0,0.016531005655838007,4,-9.89497729170871
3,0.01,0.0,0.0,0.016531005655838007,5,-3.2398910622537094
3,0.01,0.0,0.0,0.016531005655838007,6,-3.23989086787453
3,0.01,0.0,0.0,0.016531005655838007,7,-1.5041681147935042
3,0.01,0.0,0.0,0.016531005655838007,8,-1.5041679620892219
3,0.01,0.0,0.0,0.016531005655838007,9,-1.3854878953420242
3,0.01,0.0,0.0,0.016531005655838007,10,-1.3854876936460587
3,0.01,0.0,0.0,0.016531005655838007,11,-0.8715814673532476
3,0.01,0.0,0.0,0.016531005655838007,12,-0.8715813702884803
3,0.01,0.0,0.0,0.016531005655838007,13,0.3938766366976981
3,0.01,0.0,0.0,0.016531005655838007,14,0.393876820747471
3,0.01,0.0,0.0,0.016531005655838007,15,1.5765092806377403
3,0.01,0.0,0.0,0.016531005655838007,16,1.5765094519750344
4,0.015,0.0,0.0,0.02479650848375701,1,-13.653908443330318
4,0.015,0.0,0.0,0.02479650848375701,2,-13.653908349900906
4,0.015,0.0,0.0,0.02479650848375701,3,-9.895403612484365
4,0.015,0.0,0.0,0.02479650848375701,4,-9.895403510386076
4,0.015,0.0,0.0,0.02479650848375701,5,-3.2419333808495936
4,0.015,0.0,0.0,0.02479650848375701,6,-3.2419330934297506
4,0.015,0.0,0.0,0.02479650848375701,7,-1.5364940259622655
4,0.015,0.0,0.0,0.02479650848375701,8,-1.5364938082397739
4,0.015,0.0,0.0,0.02479650848375701,9,-1.3680824937814706
4,0.015,0.0,0.0,0.02479650848375701,10,-1.3680821903438807
4,0.015,0.0,0.0,0.02479650848375701,11,-0.8612562739762367
4,0.015,0.0,0.0,0.02479650848375701,12,-0.8612561736497197
4,0.015,0.0,0.0,0.02479650848375701,13,0.3976584241049994
4,0.015,0.0,0.0,0.02479650848375701,14,0.3976586957999376
4,0.015,0.0,0.0,0.02479650848375701,15,1.573131952111706
4,0.015,0.0,0.0,0.02479650848375701,16,1.573132122704711
5,0.02,0.0,0.0,0.033062011311676014,1,-13.652455511857003
5,0.02,0.0,0.0,0.033062011311676014,2,-13.65245538877922
5,0.02,0.0,0.0,0.033062011311676014,3,-9.896001960554413
5,0.02,0.0,0.0,0.033062011311676014,4,-9.896001825985929
5,0.02,0.0,0.0,0.033062011311676014,5,-3.244800753264943
5,0.02,0.0,0.0,0.033062011311676014,6,-3.2448003773690144
5,0.02,0.0,0.0,0.033062011311676014,7,-1.5714722410090365
5,0.02,0.0,0.0,0.033062011311676014,8,-1.5714719657869678
5,0.02,0.0,0.0,0.033062011311676014,9,-1.3535601196551454
5,0.02,0.0,0.0,0.033062011311676014,10,-1.3535597130552073
5,0.02,0.0,0.0,0.033062011311676014,11,-0.8472292860739842
5,0.02,0.0,0.0,0.033062011311676014,12,-0.8472291770365161
5,0.02,0.0,0.0,0.033062011311676014,13,0.40292046314021346
5,0.02,0.0,0.0,0.033062011311676014,14,0.4029208173520948
5,0.02,0.0,0.0,0.033062011311676014,15,1.5684658391652981
5,0.02,0.0,0.0,0.033062011311676014,16,1.5684660101927788
6,0.025,0.0,0.0,0.04132751413959502,1,-13.650587194120389
