spin current electric_field sigma_hbar_over_e_e2_over_h sigma_hbar_over_e_S
x x x -0.6434077740459362 -2.492591226507649e-05
x x y 2.8246062228042984e-06 1.0942654057515691e-10
x x z -1.664065269986947e-07 -6.446665178169591e-12
x y x -1.1751056667938441e-06 -4.552413249300646e-11
x y y 0.6434041626327129 2.4925772357271847e-05
x y z -0.009104577293984752 -3.527155001771381e-07
x z x 6.742547751335292e-07 2.612093923516586e-11
x z y 0.3882375019666416 1.5040498891053289e-05
x z z -1.297721526193162e-07 -5.027432712381635e-12
y x x -7.869738184842299e-07 -3.048772667308439e-11
y x y 0.6434028144778247 2.4925720129133143e-05
y x z 0.009112318089482157 3.530153821450181e-07
y y x 0.6434023699385161 2.4925702907476442e-05
y y y 8.625650223956899e-07 3.341616458246849e-11
y y z 1.6636700745288964e-07 6.4451341728394915e-12
y z x -0.3882404134244428 -1.5040611682263846e-05
y z y -6.742079238351228e-07 -2.611912419437728e-11
y z z 4.756894114241754e-08 1.84284259731968e-12
z x x 4.109259571491899e-07 1.591946005086971e-11
z x y 1.3830473051864272 5.357988693662581e-05
z x z -1.25650259901364e-06 -4.867748697984882e-11
z y x -1.3830489234454288 -5.357994962872175e-05
z y y -4.108254423643776e-07 -1.5915566062005046e-11
z y z 4.0004442280774595e-07 1.5497904419673867e-11
z z x -5.529009211829035e-07 -2.1419635274256238e-11
z z y -4.824143676678193e-07 -1.868895386247216e-11
z z z 1.0394585337581573e-11 4.0269100344738863e-16
