spin,current,electric_field,sigma_hbar_over_e_e2_over_h,sigma_hbar_over_e_S
x,x,x,-0.6423374110503459,-2.4884445911706062e-05
x,x,y,-0.0002858907690689859,-1.107553951733884e-08
x,x,z,-1.4241269122717841e-05,-5.517132975624632e-10
x,y,x,0.00038204620125999194,1.4800645062041834e-08
x,y,y,0.6430321941562833,2.4911362127891874e-05
x,y,z,-0.009891180720994657,-3.8318887771462733e-07
x,z,x,0.00018989407561054318,7.3565835839407605e-09
x,z,y,0.38709480409087726,1.4996230251248577e-05
x,z,z,-8.979518802955219e-07,-3.4787067687666234e-11
y,x,x,5.054115732154106e-05,1.9579876153038495e-09
y,x,y,0.6427142604362949,2.489904522975944e-05
y,x,z,0.009913043569994706,3.8403585451227e-07
y,y,x,0.6425509233914882,2.4892717477729204e-05
y,y,y,0.00019606684188546754,7.595719380566373e-09
y,y,z,3.5455568786728835e-05,1.373564996470327e-09
y,z,x,-0.38703305895978785,-1.4993838216550811e-05
y,z,y,0.00010251313392831896,3.9714058259620635e-09
y,z,z,2.4917673936881703e-05,9.653221167889606e-10
z,x,x,2.1174558621446112e-06,8.203121126916983e-11
z,x,y,1.3805865132806,5.348455472955353e-05
z,x,z,-8.329254761519829e-06,-3.2267914966829603e-10
z,y,x,-1.3806475594547107,-5.348691968633737e-05
z,y,y,2.642397940420963e-05,1.0236770814592202e-09
z,y,z,-7.07051713510332e-06,-2.739150767017662e-10
z,z,x,3.600075151771066e-05,1.3946856255162508e-09
z,z,y,5.306285981477396e-05,2.0556795264688212e-09
z,z,z,1.5143318386976465e-05,5.866590997841224e-10
