k_index,band_10_eV,band_11_eV,direct_gap_eV
1,-1.43136766328,-0.838919163415,0.592448499861
2,-1.34896352558,-0.560843611597,0.78811991398
3,-1.57336701974,-0.522787925193,1.05057909455
4,-1.83970672827,-0.65619974887,1.1835069794
5,-2.14135069287,-0.603234750198,1.53811594267
6,-2.378310351,-0.423511886162,1.95479846483
7,-2.46536589717,-0.317320891232,2.14804500594
8,-2.3783103197,-0.423511885605,1.95479843409
9,-2.14135065114,-0.603234722837,1.53811592831
10,-1.839706711,-0.656199695507,1.18350701549
11,-1.57336703672,-0.522787930199,1.05057910652
12,-1.34896356209,-0.560843742734,0.788119819352
13,-1.34896356901,-0.560843592114,0.788119976898
14,-1.34896822402,-0.56084420185,0.788124022173
15,-1.58533942049,-0.326692136391,1.2586472841
16,-1.86683972518,-0.296123787346,1.57071593784
17,-2.13247630877,-0.351343981912,1.78113232685
18,-2.41324157758,-0.250062176773,2.16317940081
19,-2.60474429562,-0.0839597423287,2.52078455329
20,-2.60474360838,-0.0839602020919,2.52078340629
21,-2.41323983487,-0.250063077183,2.16317675769
22,-2.1324738261,-0.351345211884,1.78112861421
23,-1.8668361624,-0.296125207001,1.5707109554
24,-1.58533395433,-0.326692217391,1.25864173694
25,-1.5733670162,-0.522787799547,1.05057921665
26,-1.5853394434,-0.32669216829,1.25864727511
27,-1.57337034967,-0.522791711344,1.05057863833
28,-1.86684014769,-0.296126872481,1.57071327521
29,-2.16778587995,0.0326622307647,2.20044811071
30,-2.4574216141,0.14061130244,2.59803291654
31,-2.74774722332,0.152067733028,2.89981495635
32,-2.88621475685,0.147050111732,3.03326486858
33,-2.74774605499,0.152067861165,2.89981391615
34,-2.45741983478,0.140610720656,2.59803055543
35,-2.16778320769,0.0326616869638,2.20044489466
36,-1.86683607085,-0.29612516009,1.57071091076
37,-1.83970668623,-0.656199582282,1.18350710395
38,-1.86683981718,-0.296123701338,1.57071611584
39,-1.866840249,-0.296126786916,1.57071346209
40,-1.83970852189,-0.656203178122,1.18350534377
41,-2.1324760441,-0.351346932277,1.78112911183
42,-2.45742098838,0.140610105487,2.59803109386
43,-2.76981910962,0.177230921122,2.94705003074
44,-3.02437634327,-0.0267259444512,2.99765039882
45,-3.02437617693,-0.0267253079194,2.99765086901
46,-2.76981869003,0.177232477716,2.94705116774
47,-2.45741981097,0.140610801847,2.59803061282
48,-2.13247372582,-0.351345145878,1.78112857994
49,-2.14135060856,-0.603234628802,1.53811597976
