q1,q2,q3,kx_inv_A,ky_inv_A,kz_inv_A,omega_z_A2,flux_rad
-0.45833333333333337,-0.45833333333333337,0.0,-0.9079840203737901,-0.5242248185826864,0.0,-0.0,-0.0
-0.45833333333333337,-0.375,0.0,-0.9079840203737901,-0.33359761182534575,0.0,-1.982712,-0.06239647208901757
-0.45833333333333337,-0.29166666666666674,0.0,-0.9079840203737901,-0.1429704050680055,0.0,-3.141334,-0.09885861348157571
-0.45833333333333337,-0.20833333333333337,0.0,-0.9079840203737901,0.047656801689335115,0.0,-3.43707,-0.10816550377614077
-0.45833333333333337,-0.125,0.0,-0.9079840203737901,0.2382840084466757,0.0,-2.614137,-0.08226758417630403
-0.45833333333333337,-0.04166666666666674,0.0,-0.9079840203737901,0.428911215204016,0.0,-1.030197,-0.032420572607968094
-0.45833333333333337,0.041666666666666664,0.0,-0.9079840203737901,0.6195384219613567,0.0,1.246219,0.039218842197103455
-0.45833333333333337,0.125,0.0,-0.9079840203737901,0.8101656287186971,0.0,3.341942,0.10517180040576522
-0.45833333333333337,0.20833333333333331,0.0,-0.9079840203737901,1.0007928354760376,0.0,5.024051,0.15810821642038825
-0.45833333333333337,0.2916666666666667,0.0,-0.9079840203737901,1.1914200422333783,0.0,5.755718,0.1811339708133385
-0.45833333333333337,0.375,0.0,-0.9079840203737901,1.3820472489907187,0.0,4.537349,0.14279157549691118
-0.45833333333333337,0.45833333333333337,0.0,-0.9079840203737901,1.5726744557480594,0.0,2.509708,0.07898117587102116
-0.375,-0.45833333333333337,0.0,-0.7428960166694646,-0.6195384219613568,0.0,1.982711,0.062396440618752554
-0.375,-0.375,0.0,-0.7428960166694646,-0.4289112152040161,0.0,2e-06,6.294053003060209e-08
-0.375,-0.29166666666666674,0.0,-0.7428960166694646,-0.23828400844667585,0.0,-2.001032,-0.06297300734409789
-0.375,-0.20833333333333337,0.0,-0.7428960166694646,-0.047656801689335226,0.0,-3.585695,-0.1128427719140399
-0.375,-0.125,0.0,-0.7428960166694646,0.14297040506800535,0.0,-3.016038,-0.09491551515621854
-0.375,-0.04166666666666674,0.0,-0.7428960166694646,0.33359761182534564,0.0,-0.968386,-0.03047536405710732
-0.375,0.041666666666666664,0.0,-0.7428960166694646,0.5242248185826863,0.0,1.023047,0.032195560213108695
-0.375,0.125,0.0,-0.7428960166694646,0.7148520253400268,0.0,3.030965,0.09538527180210195
-0.375,0.20833333333333331,0.0,-0.7428960166694646,0.9054792320973672,0.0,6.397164,0.20132044642634334
-0.375,0.2916666666666667,0.0,-0.7428960166694646,1.096106438854708,0.0,12.233671,0.384996868480003
-0.375,0.375,0.0,-0.7428960166694646,1.2867336456120482,0.0,10.200468,0.3210114312400979
