spin,current,electric_field,sigma_hbar_over_e_e2_over_h,sigma_hbar_over_e_S
x,x,x,-0.6423286642617284,-2.488410705710331e-05
x,x,y,2.8950041461293845e-06,1.121537884127303e-10
x,x,z,-1.4074769775686285e-07,-5.452630364936487e-12
x,y,x,-1.2409441423707068e-06,-4.8074745233626056e-11
x,y,y,0.6423251644114343,2.4883971471297712e-05
x,y,z,-0.00696447022702574,-2.698067708444987e-07
x,z,x,6.610486332059515e-07,2.5609327239903508e-11
x,z,y,0.38458872335047767,1.4899143533953273e-05
x,z,z,-1.2899063796690749e-07,-4.997156476306159e-12
y,x,x,-7.574902404924897e-07,-2.934551933906143e-11
y,x,y,0.6423238222725607,2.4883919476222177e-05
y,x,z,0.006972158780890307,2.7010462894756207e-07
y,y,x,0.6423231605308501,2.4883893840044805e-05
y,y,y,8.966943525250976e-07,3.473835048507574e-11
y,y,z,1.4037675246711955e-07,5.438259774278028e-12
y,z,x,-0.38459145941507394,-1.4899249530350627e-05
y,z,y,-6.602352563877847e-07,-2.5577816648913003e-11
y,z,z,5.3600677604313497e-08,2.0765148343053456e-12
z,x,x,4.15704183225608e-07,1.610457072060028e-11
z,x,y,1.3840977569419335,5.362058191942311e-05
z,x,z,-1.2724897211889787e-06,-4.9296835425404134e-11
z,y,x,-1.384099380551063,-5.3620644818785455e-05
z,y,y,-4.149862585537788e-07,-1.6076757989537956e-11
z,y,z,4.202544929418265e-07,1.6280851806003035e-11
z,z,x,-4.552672734408996e-07,-1.763726298112503e-11
z,z,y,-5.112227413839337e-07,-1.9805003473175397e-11
z,z,z,-1.0820939396717964e-10,-4.19208155245331e-15
