# mu_eV	mu_minus_reference_eV	temperature_K	region	band_id	sigma_e2_over_h	sigma_S	delta_sigma_e2_over_h	electrons_per_cell	delta_electrons_per_cell
-1.4748738806998412	-1.036775179730523	0.0	total	0	-7.137200916955635e-09	-2.76498436995196e-13	-4.7344583635478e-10	17.888888888888886	-0.11111111111111113
-1.4698738806998413	-1.031775179730523	0.0	total	0	-7.137200916955635e-09	-2.76498436995196e-13	-4.7344583635478e-10	17.888888888888886	-0.11111111111111113
-1.4648738806998411	-1.0267751797305227	0.0	total	0	-7.137200916955635e-09	-2.76498436995196e-13	-4.7344583635478e-10	17.888888888888886	-0.11111111111111113
-1.4598738806998413	-1.0217751797305228	0.0	total	0	-7.654547415929471e-09	-2.965406776460615e-13	-9.907923509411276e-10	17.97222222222222	-0.027777777777777776
-1.4548738806998411	-1.016775179730523	0.0	total	0	-7.654547415929471e-09	-2.965406776460615e-13	-9.907923509411276e-10	17.97222222222222	-0.027777777777777776
-1.4498738806998412	-1.011775179730523	0.0	total	0	-7.654547415929471e-09	-2.965406776460615e-13	-9.907923509411276e-10	17.97222222222222	-0.027777777777777776
-1.4448738806998411	-1.0067751797305227	0.0	total	0	-7.654547415929471e-09	-2.965406776460615e-13	-9.907923509411276e-10	17.97222222222222	-0.027777777777777776
-1.4398738806998412	-1.0017751797305228	0.0	total	0	-7.654547415929471e-09	-2.965406776460615e-13	-9.907923509411276e-10	17.97222222222222	-0.027777777777777776
-1.4348738806998411	-0.9967751797305228	0.0	total	0	-7.654547415929471e-09	-2.965406776460615e-13	-9.907923509411276e-10	17.97222222222222	-0.027777777777777776
-1.4298738806998412	-0.9917751797305229	0.0	total	0	-7.654547415929471e-09	-2.965406776460615e-13	-9.907923509411276e-10	17.97222222222222	-0.027777777777777776
-1.4248738806998411	-0.9867751797305228	0.0	total	0	-7.654547415929471e-09	-2.965406776460615e-13	-9.907923509411276e-10	17.97222222222222	-0.027777777777777776
-1.4198738806998412	-0.9817751797305229	0.0	total	0	-6.376601444661958e-09	-2.470324645901096e-13	2.871538076765212e-10	17.98611111111111	-0.013888888888888888
-1.414873880699841	-0.9767751797305227	0.0	total	0	-6.376601444661958e-09	-2.470324645901096e-13	2.871538076765212e-10	17.98611111111111	-0.013888888888888888
-1.4098738806998412	-0.9717751797305229	0.0	total	0	-6.376601444661958e-09	-2.470324645901096e-13	2.871538076765212e-10	17.98611111111111	-0.013888888888888888
-1.404873880699841	-0.9667751797305227	0.0	total	0	-6.376601444661958e-09	-2.470324645901096e-13	2.871538076765212e-10	17.98611111111111	-0.013888888888888888
-1.3998738806998412	-0.9617751797305228	0.0	total	0	-6.376601444661958e-09	-2.470324645901096e-13	2.871538076765212e-10	17.98611111111111	-0.013888888888888888
-1.394873880699841	-0.9567751797305227	0.0	total	0	-6.376601444661958e-09	-2.470324645901096e-13	2.871538076765212e-10	17.98611111111111	-0.013888888888888888
-1.3898738806998412	-0.9517751797305228	0.0	total	0	-6.376601444661958e-09	-2.470324645901096e-13	2.871538076765212e-10	17.98611111111111	-0.013888888888888888
