sampling,k_label,q1,q2,q3,direct_gap_eV,omega_A2
mesh6,grid1,0.0,0.0,0.0,0.0171013822199102,-15218.484397549606
mesh6,grid2,0.1666666666666667,0.0,0.0,0.7263654349018873,-0.08479647377890487
mesh6,grid3,0.3333333333333333,0.0,0.0,1.1996929097332147,0.780285383057202
mesh6,grid4,0.5,0.0,0.0,1.1537801123810763,0.25800841223242177
mesh6,grid5,-0.3333333333333334,0.0,0.0,1.1996923716538612,0.7800022468373955
mesh6,grid6,-0.1666666666666666,0.0,0.0,0.7263658711794152,-0.06787086807168446
mesh6,grid7,0.0,0.1666666666666667,0.0,0.7263652778140148,-0.06344637977307288
mesh6,grid8,0.1666666666666667,0.1666666666666667,0.0,1.1800104644852447,-0.6391755472833444
mesh6,grid9,0.3333333333333333,0.1666666666666667,0.0,1.4447062358343556,0.09237951072278063
mesh6,grid10,0.5,0.1666666666666667,0.0,1.4447097100409714,0.09516404620398732
mesh6,grid11,-0.3333333333333334,0.1666666666666667,0.0,1.180012941366277,-0.6991249494534237
mesh6,grid12,-0.1666666666666666,0.1666666666666667,0.0,0.7263651018267119,-0.08307368098026838
mesh6,grid13,0.0,0.3333333333333333,0.0,1.1996927440247194,0.7790764767442937
mesh6,grid14,0.1666666666666667,0.3333333333333333,0.0,1.4447073626197375,0.09190655325118065
mesh6,grid15,0.3333333333333333,0.3333333333333333,0.0,1.536257115272519,-0.04344045768450801
mesh6,grid16,0.5,0.3333333333333333,0.0,1.4447059239006803,0.093683856987398
mesh6,grid17,-0.3333333333333334,0.3333333333333333,0.0,1.19969028907534,0.7728116831000564
mesh6,grid18,-0.1666666666666666,0.3333333333333333,0.0,1.180012521604482,-0.6922029014033593
mesh6,grid19,0.0,0.5,0.0,1.1537802412277012,0.25784441804763863
mesh6,grid20,0.1666666666666667,0.5,0.0,1.4447088627929752,0.09498626130703897
mesh6,grid21,0.3333333333333333,0.5,0.0,1.4447067858464595,0.09102914579072553
mesh6,grid22,0.5,0.5,0.0,1.1537706880423757,0.2583530691036827
mesh6,grid23,-0.3333333333333334,0.5,0.0,1.444709540663407,0.09187092886409519
mesh6,grid24,-0.1666666666666666,0.5,0.0,1.4447059386622643,0.09309806532936837
mesh6,grid25,0.0,-0.3333333333333334,0.0,1.1996922056709365,0.7874120885998477
mesh6,grid26,0.1666666666666667,-0.3333333333333334,0.0,1.1800131595153855,-0.6840308280506975
mesh6,grid27,0.3333333333333333,-0.3333333333333334,0.0,1.1996902890114178,0.7903433713336476
mesh6,grid28,0.5,-0.3333333333333334,0.0,1.444708678697829,0.09658083777566968
mesh6,grid29,-0.3333333333333334,-0.3333333333333334,0.0,1.5362570848245527,0.11892063652958854
mesh6,grid30,-0.1666666666666666,-0.3333333333333334,0.0,1.4447073788252824,0.09136132621093584
mesh6,grid31,0.0,-0.1666666666666666,0.0,0.7263657130832466,-0.07567920086457658
mesh6,grid32,0.1666666666666667,-0.1666666666666666,0.0,0.7263651006166323,-0.07193202480731614
mesh6,grid33,0.3333333333333333,-0.1666666666666666,0.0,1.180012301231665,-0.7015111985367933
mesh6,grid34,0.5,-0.1666666666666666,0.0,1.4447067855165612,0.09326520663957098
mesh6,grid35,-0.3333333333333334,-0.1666666666666666,0.0,1.444706251515869,0.09320347652265742
mesh6,grid36,-0.1666666666666666,-0.1666666666666666,0.0,1.1800115926996773,-0.6537400978201371
independent_path,Gamma-M at 0.005 inverse angstrom,0.002988202613186,0.0,0.0,0.023113319378365915,-9466.167257277024
independent_path,Gamma-K at 0.005 inverse angstrom,0.001725239583116,0.001725239583116,0.0,0.023112994710736245,-9466.619028592831
independent_path,Gamma-M midpoint,0.25,0.0,0.0,1.0815958119734415,1.2391837332258762
independent_path,Gamma-M at 0.01 inverse angstrom,0.0059764052263721,0.0,0.0,0.03755681380321363,-4057.332800892571
independent_path,Gamma-K at 0.01 inverse angstrom,0.0034504791662321,0.0034504791662321,0.0,0.03754995332895472,-4059.799078454101
independent_path,M-K midpoint,0.4166666666666667,0.1666666666666667,0.0,1.5193516919794874,0.033131486007035
independent_path,Gamma-M at 0.02 inverse angstrom,0.0119528104527442,0.0,0.0,0.07638194100183338,-932.5898873668018
independent_path,Gamma-K at 0.02 inverse angstrom,0.0069009583324641,0.0069009583324641,0.0,0.0762461849518381,-938.7895446722328
independent_path,Gamma-K quarter,0.0833333333333333,0.0833333333333333,0.0,0.7991548039068013,-5.615966911571693
