k_index,q1,q2,q3,path_inv_A,omega_z_A2,valid
1,0.3333333333333333,0.6666666666666666,0.0,0.0,-11.022524999999998,1
2,0.3194444444444445,0.638888888888889,0.0,0.05502933456810839,-11.396683333333332,1
3,0.3055555555555555,0.611111111111111,0.0,0.11005866913621709,-10.902355555555557,1
4,0.2916666666666667,0.5833333333333334,0.0,0.16508800370432547,-9.040150000000006,1
5,0.2777777777777778,0.5555555555555556,0.0,0.2201173382724339,-6.592841666666674,1
6,0.2638888888888889,0.5277777777777778,0.0,0.27514667284054245,-5.141855555555555,1
7,0.25,0.5,0.0,0.33017600740865094,-4.343,1
8,0.2361111111111111,0.4722222222222222,0.0,0.3852053419767595,-3.6585222222222216,1
9,0.2222222222222222,0.4444444444444445,0.0,0.4402346765448678,-3.3719750000000004,1
10,0.2083333333333333,0.4166666666666667,0.0,0.49526401111297635,-3.50465,1
11,0.1944444444444444,0.3888888888888888,0.0,0.5502933456810851,-3.4508916666666662,1
12,0.1805555555555556,0.3611111111111112,0.0,0.6053226802491932,-3.282766666666668,1
13,0.1666666666666667,0.3333333333333333,0.0,0.6603520148173019,-3.0987499999999994,1
14,0.1527777777777778,0.3055555555555556,0.0,0.7153813493854102,-3.074133333333333,1
15,0.1388888888888889,0.2777777777777777,0.0,0.770410683953519,-2.958624999999998,1
16,0.125,0.25,0.0,0.8254400185216273,-2.7386999999999997,1
17,0.1111111111111111,0.2222222222222222,0.0,0.8804693530897358,-2.163508333333333,1
18,0.0972222222222222,0.1944444444444444,0.0,0.9354986876578444,-1.5784166666666657,1
19,0.0833333333333333,0.1666666666666667,0.0,0.9905280222259527,-0.9950000000000009,1
20,0.0694444444444445,0.1388888888888889,0.0,1.0455573567940613,-0.5660500000000002,1
21,0.0555555555555555,0.1111111111111111,0.0,1.1005866913621698,-0.36400000000000043,1
22,0.0416666666666667,0.0833333333333333,0.0,1.1556160259302783,-0.27299999999999963,1
23,0.0277777777777778,0.0555555555555556,0.0,1.2106453604983867,-0.028852777777778088,1
24,0.0138888888888889,0.0277777777777778,0.0,1.2656746950664952,0.023272222222222243,1
25,0.0,0.0,0.0,1.3207040296346038,-2.5000000000004186e-05,1
26,-0.0138888888888889,-0.0277777777777778,0.0,1.3757333642027123,-0.02331111111111113,1
27,-0.0277777777777778,-0.0555555555555555,0.0,1.4307626987708206,0.028852777777777585,1
28,-0.0416666666666667,-0.0833333333333333,0.0,1.4857920333389292,0.2730499999999995,1
29,-0.0555555555555556,-0.1111111111111112,0.0,1.540821367907038,0.3640694444444448,1
30,-0.0694444444444444,-0.1388888888888888,0.0,1.595850702475146,0.5661111111111099,1
31,-0.0833333333333333,-0.1666666666666667,0.0,1.6508800370432548,0.9950500000000007,1
32,-0.0972222222222223,-0.1944444444444445,0.0,1.7059093716113634,1.5784777777777794,1
33,-0.1111111111111111,-0.2222222222222222,0.0,1.7609387061794717,2.163563888888889,1
34,-0.125,-0.25,0.0,1.8159680407475802,2.7387,1
35,-0.1388888888888889,-0.2777777777777778,0.0,1.8709973753156888,2.958569444444446,1
36,-0.1527777777777778,-0.3055555555555555,0.0,1.926026709883797,3.074072222222222,1
37,-0.1666666666666667,-0.3333333333333333,0.0,1.9810560444519056,3.098725,1
38,-0.1805555555555556,-0.3611111111111112,0.0,2.0360853790200144,3.28278888888889,1
39,-0.1944444444444444,-0.3888888888888888,0.0,2.0911147135881225,3.450947222222222,1
40,-0.2083333333333333,-0.4166666666666667,0.0,2.146144048156231,3.5046999999999997,1
41,-0.2222222222222222,-0.4444444444444445,0.0,2.2011733827243396,3.3719861111111102,1
42,-0.2361111111111111,-0.4722222222222222,0.0,2.2562027172924477,3.658522222222221,1
43,-0.25,-0.5,0.0,2.3112320518605562,4.343,1
44,-0.2638888888888889,-0.5277777777777778,0.0,2.366261386428665,5.141855555555555,1
45,-0.2777777777777777,-0.5555555555555555,0.0,2.421290720996773,6.592841666666656,1
46,-0.2916666666666667,-0.5833333333333334,0.0,2.4763200555648814,9.04015,1
47,-0.3055555555555556,-0.6111111111111112,0.0,2.53134939013299,10.902355555555559,1
48,-0.3194444444444444,-0.6388888888888888,0.0,2.586378724701098,11.39667777777778,1
49,-0.3333333333333333,-0.6666666666666666,0.0,2.6414080592692066,11.0225,1
