k_index,kx_fractional,ky_fractional,kz_fractional,path_distance_inv_A,photon_energy_eV,left_spectrum_au,right_spectrum_au,selectivity,selectivity_is_resolved
1,0.33333,0.666667,0.0,0.0,1.0,0.0,0.0,,0
1,0.33333,0.666667,0.0,0.0,1.01,0.0,0.0,,0
1,0.33333,0.666667,0.0,0.0,1.02,0.0,0.0,,0
1,0.33333,0.666667,0.0,0.0,1.03,0.0,0.0,,0
1,0.33333,0.666667,0.0,0.0,1.04,0.0,0.0,,0
1,0.33333,0.666667,0.0,0.0,1.05,0.0,0.0,,0
1,0.33333,0.666667,0.0,0.0,1.06,0.0,0.0,,0
1,0.33333,0.666667,0.0,0.0,1.07,0.0,0.0,,0
1,0.33333,0.666667,0.0,0.0,1.08,0.0,0.0,,0
1,0.33333,0.666667,0.0,0.0,1.09,0.0,0.0,,0
1,0.33333,0.666667,0.0,0.0,1.1,0.0,0.0,,0
1,0.33333,0.666667,0.0,0.0,1.11,0.0,0.0,,0
1,0.33333,0.666667,0.0,0.0,1.12,0.0,0.0,,0
1,0.33333,0.666667,0.0,0.0,1.13,0.0,0.0,,0
1,0.33333,0.666667,0.0,0.0,1.14,0.0,0.0,,0
1,0.33333,0.666667,0.0,0.0,1.15,0.0,0.0,,0
1,0.33333,0.666667,0.0,0.0,1.16,0.0,0.0,,0
1,0.33333,0.666667,0.0,0.0,1.17,0.0,0.0,,0
1,0.33333,0.666667,0.0,0.0,1.18,0.0,0.0,,0
1,0.33333,0.666667,0.0,0.0,1.19,0.0,0.0,,0
1,0.33333,0.666667,0.0,0.0,1.2,0.0,0.0,,0
1,0.33333,0.666667,0.0,0.0,1.21,0.0,0.0,,0
1,0.33333,0.666667,0.0,0.0,1.22,0.0,0.0,,0
1,0.33333,0.666667,0.0,0.0,1.23,0.0,0.0,,0
1,0.33333,0.666667,0.0,0.0,1.24,0.0,0.0,,0
1,0.33333,0.666667,0.0,0.0,1.25,0.0,0.0,,0
1,0.33333,0.666667,0.0,0.0,1.26,0.0,0.0,,0
1,0.33333,0.666667,0.0,0.0,1.27,0.0,0.0,,0
1,0.33333,0.666667,0.0,0.0,1.28,0.0,0.0,,0
1,0.33333,0.666667,0.0,0.0,1.29,0.0,0.0,,0
1,0.33333,0.666667,0.0,0.0,1.3,0.0,0.0,,0
1,0.33333,0.666667,0.0,0.0,1.31,0.0,0.0,,0
1,0.33333,0.666667,0.0,0.0,1.32,0.0,0.0,,0
1,0.33333,0.666667,0.0,0.0,1.33,0.0,0.0,,0
1,0.33333,0.666667,0.0,0.0,1.34,0.0,0.0,,0
1,0.33333,0.666667,0.0,0.0,1.35,0.0,0.0,,0
1,0.33333,0.666667,0.0,0.0,1.36,0.0,0.0,,0
