spin,current,electric_field,sigma_hbar_over_e_e2_over_h,sigma_hbar_over_e_S
x,x,x,-0.6455191453144244,-2.5007707756396716e-05
x,x,y,3.235150048721506e-06,1.253311966868354e-10
x,x,z,-1.6306970710922526e-07,-6.317395245221379e-12
x,y,x,-1.5154282323329905e-06,-5.870838477070567e-11
x,y,y,0.6455159624147864,2.50075844494049e-05
x,y,z,-0.0029934709369441098,-1.1596843705061923e-07
x,z,x,6.719745044924394e-07,2.6032600504685463e-11
x,z,y,0.3787625632513937,1.4673435419550403e-05
x,z,z,-1.2362125512151465e-07,-4.789144122211859e-12
y,x,x,-1.0410067446757633e-06,-4.03290787457728e-11
y,x,y,0.6455146198357588,2.50075324372776e-05
y,x,z,0.0030011632005535376,1.1626643887089992e-07
y,y,x,0.6455137227054436,2.500749768203772e-05
y,y,y,6.78621023532331e-07,2.629008970071229e-11
y,y,z,1.6315701582252697e-07,6.3207776248187686e-12
y,z,x,-0.3787654432091804,-1.4673546990435949e-05
y,z,y,-6.719911655793639e-07,-2.6033245962834516e-11
y,z,z,4.8663928036444514e-08,1.8852628918092774e-12
z,x,x,4.190799835556804e-07,1.6235350773695807e-11
z,x,y,1.3915280433802748,5.390843462394026e-05
z,x,z,-1.2780795769424738e-06,-4.951338900107806e-11
z,y,x,-1.3915297717797905,-5.3908501582930226e-05
z,y,y,-4.1900015735150053e-07,-1.6232258269933646e-11
z,y,z,4.1084858457556244e-07,1.5916462601880506e-11
z,z,x,-4.959582277248949e-07,-1.9213649212965452e-11
z,z,y,-4.810515090008698e-07,-1.863615609264034e-11
z,z,z,-4.955103635274919e-11,-1.919629874854545e-15
