case,k_index,valley,photon_energy_eV,left_spectrum_au,right_spectrum_au,eta_raw,eta_rounding_absolute_bound,strength_valid,display_valid,eta_display
monolayer,25,K,1.58,0.0,0.0064,-1.0,0.015625,1,0,
monolayer,25,K,1.59,0.0,0.0091,-1.0,0.010989010989010988,1,0,
monolayer,25,K,1.6,0.0,0.0126,-1.0,0.007936507936507936,1,0,
monolayer,25,K,1.61,0.0,0.0167,-1.0,0.005988023952095809,1,0,
monolayer,25,K,1.62,0.0,0.0212,-1.0,0.0047169811320754715,1,1,-1.0
monolayer,25,K,1.63,0.0,0.0259,-1.0,0.003861003861003861,1,1,-1.0
monolayer,25,K,1.64,0.0,0.0304,-1.0,0.0032894736842105266,1,1,-1.0
monolayer,25,K,1.65,0.0,0.0343,-1.0,0.002915451895043732,1,1,-1.0
monolayer,25,K,1.66,0.0,0.0373,-1.0,0.002680965147453083,1,1,-1.0
monolayer,25,K,1.67,0.0,0.039,-1.0,0.002564102564102564,1,1,-1.0
monolayer,25,K,1.68,0.0,0.0392,-1.0,0.0025510204081632655,1,1,-1.0
monolayer,25,K,1.69,0.0,0.0381,-1.0,0.0026246719160104987,1,1,-1.0
monolayer,25,K,1.7,0.0,0.0358,-1.0,0.002793296089385475,1,1,-1.0
monolayer,25,K,1.71,0.0,0.0329,-1.0,0.0030395136778115506,1,1,-1.0
monolayer,25,K,1.72,0.0,0.0297,-1.0,0.0033670033670033673,1,1,-1.0
monolayer,25,K,1.73,0.0,0.0267,-1.0,0.003745318352059925,1,1,-1.0
monolayer,25,K,1.74,0.0,0.0245,-1.0,0.004081632653061225,1,1,-1.0
monolayer,25,K,1.75,0.0,0.0233,-1.0,0.004291845493562232,1,1,-1.0
monolayer,25,K,1.76,0.0,0.0233,-1.0,0.004291845493562232,1,1,-1.0
monolayer,25,K,1.77,0.0,0.0243,-1.0,0.00411522633744856,1,1,-1.0
monolayer,25,K,1.78,0.0,0.026,-1.0,0.0038461538461538464,1,1,-1.0
monolayer,25,K,1.79,0.0,0.0282,-1.0,0.003546099290780142,1,1,-1.0
monolayer,25,K,1.8,0.0,0.0303,-1.0,0.0033003300330033004,1,1,-1.0
monolayer,25,K,1.81,0.0,0.0319,-1.0,0.0031347962382445144,1,1,-1.0
monolayer,25,K,1.82,0.0,0.0327,-1.0,0.0030581039755351682,1,1,-1.0
monolayer,25,K,1.83,0.0,0.0324,-1.0,0.00308641975308642,1,1,-1.0
monolayer,25,K,1.84,0.0,0.0309,-1.0,0.003236245954692557,1,1,-1.0
monolayer,25,K,1.85,0.0,0.0284,-1.0,0.0035211267605633804,1,1,-1.0
monolayer,25,K,1.86,0.0,0.0251,-1.0,0.00398406374501992,1,1,-1.0
monolayer,25,K,1.87,0.0,0.0214,-1.0,0.004672897196261683,1,1,-1.0
monolayer,25,K,1.88,0.0,0.0175,-1.0,0.005714285714285714,1,0,
monolayer,25,K,1.89,0.0,0.0137,-1.0,0.0072992700729927005,1,0,
monolayer,25,K,1.9,0.0,0.0103,-1.0,0.00970873786407767,1,0,
monolayer,25,K,1.91,0.0,0.0075,-1.0,0.013333333333333334,1,0,
monolayer,25,K,1.92,0.0,0.0052,-1.0,0.019230769230769232,1,0,
monolayer,25,K,1.93,0.0,0.0035,-1.0,0.02857142857142857,1,0,
monolayer,25,K,1.94,0.0,0.0023,-1.0,0.04347826086956522,1,0,
monolayer,25,K,1.95,0.0,0.0014,-1.0,0.07142857142857144,1,0,
monolayer,25,K,1.96,0.0,0.0008,-1.0,0.125,1,0,
monolayer,25,K,1.97,0.0,0.0005,-1.0,0.2,1,0,
monolayer,25,K,1.98,0.0,0.0003,-1.0,0.33333333333333337,1,0,
monolayer,25,K,1.99,0.0,0.0001,-1.0,1.0,0,0,
monolayer,25,K,2.0,0.0,0.0001,-1.0,1.0,0,0,
monolayer,25,K,2.01,0.0,0.0,,,0,0,
monolayer,25,K,2.02,0.0,0.0,,,0,0,
monolayer,25,K,2.03,0.0,0.0,,,0,0,
monolayer,25,K,2.04,0.0,0.0,,,0,0,
monolayer,25,K,2.05,0.0,0.0,,,0,0,
monolayer,25,K,2.06,0.0,0.0,,,0,0,
monolayer,25,K,2.07,0.0,0.0,,,0,0,
monolayer,25,K,2.08,0.0,0.0,,,0,0,
monolayer,25,K,2.09,0.0,0.0,,,0,0,
monolayer,25,K,2.1,0.0,0.0,,,0,0,
monolayer,25,K,2.11,0.0,0.0,,,0,0,
monolayer,25,K,2.12,0.0,0.0,,,0,0,
monolayer,25,K,2.13,0.0,0.0,,,0,0,
monolayer,25,K,2.14,0.0,0.0,,,0,0,
monolayer,25,K,2.15,0.0,0.0,,,0,0,
monolayer,25,K,2.16,0.0,0.0,,,0,0,
monolayer,25,K,2.17,0.0,0.0,,,0,0,
monolayer,25,K,2.18,0.0,0.0,,,0,0,
monolayer,25,K,2.19,0.0,0.0,,,0,0,
monolayer,25,K,2.2,0.0,0.0,,,0,0,
monolayer,25,K,2.21,0.0,0.0,,,0,0,
monolayer,25,K,2.22,0.0,0.0,,,0,0,
monolayer,25,K,2.23,0.0,0.0,,,0,0,
monolayer,25,K,2.24,0.0,0.0,,,0,0,
monolayer,25,K,2.25,0.0,0.0,,,0,0,
monolayer,25,K,2.26,0.0,0.0,,,0,0,
monolayer,25,K,2.27,0.0,0.0,,,0,0,
monolayer,25,K,2.28,0.0,0.0,,,0,0,
monolayer,25,K,2.29,0.0,0.0,,,0,0,
monolayer,25,K,2.3,0.0,0.0,,,0,0,
monolayer,25,K,2.31,0.0,0.0,,,0,0,
monolayer,25,K,2.32,0.0,0.0,,,0,0,
monolayer,25,K,2.33,0.0,0.0,,,0,0,
monolayer,25,K,2.34,0.0,0.0,,,0,0,
monolayer,25,K,2.35,0.0,0.0,,,0,0,
monolayer,25,K,2.36,0.0,0.0,,,0,0,
monolayer,25,K,2.37,0.0,0.0,,,0,0,
monolayer,25,K,2.38,0.0,0.0,,,0,0,
monolayer,25,K,2.39,0.0,0.0,,,0,0,
monolayer,25,K,2.4,0.0,0.0,,,0,0,
monolayer,25,K,2.41,0.0,0.0,,,0,0,
monolayer,25,K,2.42,0.0,0.0,,,0,0,
monolayer,25,K,2.43,0.0,0.0,,,0,0,
monolayer,25,K,2.44,0.0,0.0,,,0,0,
monolayer,25,K,2.45,0.0,0.0,,,0,0,
monolayer,25,K,2.46,0.0,0.0,,,0,0,
monolayer,25,K,2.47,0.0,0.0,,,0,0,
monolayer,25,K,2.48,0.0,0.0,,,0,0,
monolayer,25,K,2.49,0.0,0.0,,,0,0,
monolayer,25,K,2.5,0.0,0.0,,,0,0,
monolayer,25,K,2.51,0.0,0.0,,,0,0,
monolayer,25,K,2.52,0.0,0.0,,,0,0,
monolayer,25,K,2.53,0.0,0.0,,,0,0,
monolayer,25,K,2.54,0.0,0.0,,,0,0,
monolayer,25,K,2.55,0.0,0.0,,,0,0,
monolayer,25,K,2.56,0.0,0.0,,,0,0,
monolayer,25,K,2.57,0.0,0.0,,,0,0,
monolayer,25,K,2.58,0.0,0.0,,,0,0,
monolayer,25,K,2.59,0.0,0.0,,,0,0,
monolayer,25,K,2.6,0.0,0.0,,,0,0,
monolayer,25,K,2.61,0.0,0.0,,,0,0,
monolayer,25,K,2.62,0.0,0.0,,,0,0,
monolayer,25,K,2.63,0.0,0.0,,,0,0,
monolayer,25,K,2.64,0.0,0.0,,,0,0,
monolayer,25,K,2.65,0.0,0.0,,,0,0,
monolayer,25,K,2.66,0.0,0.0,,,0,0,
monolayer,25,K,2.67,0.0,0.0,,,0,0,
monolayer,25,K,2.68,0.0,0.0,,,0,0,
monolayer,25,K,2.69,0.0,0.0,,,0,0,
monolayer,25,K,2.7,0.0,0.0,,,0,0,
monolayer,25,K,2.71,0.0,0.0,,,0,0,
monolayer,25,K,2.72,0.0,0.0,,,0,0,
monolayer,25,K,2.73,0.0,0.0,,,0,0,
monolayer,25,K,2.74,0.0,0.0,,,0,0,
monolayer,25,K,2.75,0.0,0.0,,,0,0,
monolayer,25,K,2.76,0.0,0.0,,,0,0,
monolayer,25,K,2.77,0.0,0.0,,,0,0,
monolayer,25,K,2.78,0.0,0.0,,,0,0,
monolayer,25,K,2.79,0.0,0.0,,,0,0,
monolayer,25,K,2.8,0.0,0.0,,,0,0,
monolayer,25,K,2.81,0.0,0.0,,,0,0,
monolayer,25,K,2.82,0.0,0.0,,,0,0,
monolayer,25,K,2.83,0.0,0.0,,,0,0,
monolayer,25,K,2.84,0.0,0.0,,,0,0,
monolayer,25,K,2.85,0.0,0.0,,,0,0,
monolayer,25,K,2.86,0.0,0.0,,,0,0,
monolayer,25,K,2.87,0.0,0.0,,,0,0,
monolayer,25,K,2.88,0.0,0.0,,,0,0,
monolayer,25,K,2.89,0.0,0.0,,,0,0,
monolayer,25,K,2.9,0.0,0.0,,,0,0,
monolayer,25,K,2.91,0.0,0.0,,,0,0,
monolayer,25,K,2.92,0.0,0.0,,,0,0,
monolayer,25,K,2.93,0.0,0.0,,,0,0,
monolayer,25,K,2.94,0.0,0.0,,,0,0,
monolayer,25,K,2.95,0.0,0.0,,,0,0,
monolayer,25,K,2.96,0.0,0.0,,,0,0,
monolayer,25,K,2.97,0.0,0.0,,,0,0,
monolayer,25,K,2.98,0.0,0.0,,,0,0,
monolayer,25,K,2.99,0.0,0.0,,,0,0,
monolayer,25,K,3.0,0.0,0.0,,,0,0,
monolayer,25,K,3.01,0.0,0.0,,,0,0,
monolayer,25,K,3.02,0.0,0.0,,,0,0,
monolayer,25,K,3.03,0.0,0.0,,,0,0,
monolayer,25,K,3.04,0.0,0.0,,,0,0,
monolayer,25,K,3.05,0.0,0.0,,,0,0,
monolayer,25,K,3.06,0.0,0.0,,,0,0,
monolayer,25,K,3.07,0.0,0.0,,,0,0,
monolayer,25,K,3.08,0.0,0.0,,,0,0,
monolayer,25,K,3.09,0.0,0.0,,,0,0,
monolayer,25,K,3.1,0.0,0.0,,,0,0,
monolayer,25,K,3.11,0.0,0.0,,,0,0,
monolayer,25,K,3.12,0.0,0.0,,,0,0,
monolayer,25,K,3.13,0.0,0.0,,,0,0,
monolayer,25,K,3.14,0.0,0.0,,,0,0,
monolayer,25,K,3.15,0.0,0.0,,,0,0,
monolayer,25,K,3.16,0.0,0.0,,,0,0,
monolayer,25,K,3.17,0.0,0.0,,,0,0,
monolayer,25,K,3.18,0.0,0.0,,,0,0,
monolayer,25,K,3.19,0.0,0.0,,,0,0,
monolayer,25,K,3.2,0.0,0.0,,,0,0,
monolayer,25,K,3.21,0.0,0.0,,,0,0,
monolayer,25,K,3.22,0.0,0.0,,,0,0,
monolayer,25,K,3.23,0.0,0.0,,,0,0,
monolayer,25,K,3.24,0.0,0.0,,,0,0,
monolayer,25,K,3.25,0.0,0.0,,,0,0,
monolayer,25,K,3.26,0.0,0.0,,,0,0,
monolayer,25,K,3.27,0.0,0.0,,,0,0,
monolayer,25,K,3.28,0.0,0.0,,,0,0,
monolayer,25,K,3.29,0.0,0.0,,,0,0,
monolayer,25,K,3.3,0.0,0.0,,,0,0,
monolayer,25,K,3.31,0.0,0.0,,,0,0,
monolayer,25,K,3.32,0.0,0.0,,,0,0,
monolayer,25,K,3.33,0.0,0.0,,,0,0,
monolayer,25,K,3.34,0.0,0.0,,,0,0,
monolayer,25,K,3.35,0.0,0.0,,,0,0,
monolayer,25,K,3.36,0.0,0.0,,,0,0,
monolayer,25,K,3.37,0.0,0.0,,,0,0,
monolayer,25,K,3.38,0.0,0.0,,,0,0,
monolayer,25,K,3.39,0.0,0.0,,,0,0,
monolayer,25,K,3.4,0.0,0.0,,,0,0,
monolayer,25,K,3.41,0.0,0.0,,,0,0,
monolayer,25,K,3.42,0.0,0.0,,,0,0,
monolayer,25,K,3.43,0.0,0.0,,,0,0,
monolayer,25,K,3.44,0.0,0.0,,,0,0,
monolayer,25,K,3.45,0.0,0.0,,,0,0,
monolayer,25,K,3.46,0.0,0.0,,,0,0,
monolayer,25,K,3.47,0.0,0.0,,,0,0,
monolayer,25,K,3.48,0.0,0.0,,,0,0,
monolayer,25,K,3.49,0.0,0.0,,,0,0,
monolayer,25,K,3.5,0.0,0.0,,,0,0,
monolayer,25,K,3.51,0.0,0.0,,,0,0,
monolayer,25,K,3.52,0.0,0.0,,,0,0,
monolayer,25,K,3.53,0.0,0.0,,,0,0,
monolayer,25,K,3.54,0.0,0.0,,,0,0,
monolayer,25,K,3.55,0.0,0.0,,,0,0,
monolayer,25,K,3.56,0.0,0.0,,,0,0,
monolayer,25,K,3.57,0.0,0.0,,,0,0,
monolayer,25,K,3.58,0.0,0.0,,,0,0,
monolayer,25,K,3.59,0.0,0.0,,,0,0,
monolayer,25,K,3.6,0.0,0.0,,,0,0,
monolayer,25,K,3.61,0.0,0.0,,,0,0,
monolayer,25,K,3.62,0.0,0.0,,,0,0,
monolayer,25,K,3.63,0.0,0.0,,,0,0,
monolayer,25,K,3.64,0.0,0.0,,,0,0,
monolayer,25,K,3.65,0.0,0.0,,,0,0,
monolayer,25,K,3.66,0.0,0.0,,,0,0,
monolayer,25,K,3.67,0.0,0.0,,,0,0,
monolayer,25,K,3.68,0.0,0.0,,,0,0,
monolayer,25,K,3.69,0.0,0.0,,,0,0,
monolayer,25,K,3.7,0.0,0.0,,,0,0,
monolayer,25,K,3.71,0.0,0.0,,,0,0,
monolayer,25,K,3.72,0.0,0.0,,,0,0,
monolayer,25,K,3.73,0.0,0.0,,,0,0,
monolayer,25,K,3.74,0.0,0.0,,,0,0,
monolayer,25,K,3.75,0.0,0.0,,,0,0,
monolayer,25,K,3.76,0.0,0.0,,,0,0,
monolayer,25,K,3.77,0.0,0.0,,,0,0,
monolayer,25,K,3.78,0.0,0.0,,,0,0,
monolayer,25,K,3.79,0.0,0.0,,,0,0,
monolayer,25,K,3.8,0.0,0.0,,,0,0,
monolayer,25,K,3.81,0.0,0.0,,,0,0,
monolayer,25,K,3.82,0.0,0.0,,,0,0,
monolayer,25,K,3.83,0.0,0.0,,,0,0,
monolayer,25,K,3.84,0.0,0.0,,,0,0,
monolayer,25,K,3.85,0.0,0.0,,,0,0,
monolayer,25,K,3.86,0.0,0.0,,,0,0,
monolayer,25,K,3.87,0.0,0.0,,,0,0,
monolayer,25,K,3.88,0.0,0.0,,,0,0,
monolayer,25,K,3.89,0.0,0.0,,,0,0,
monolayer,25,K,3.9,0.0,0.0,,,0,0,
monolayer,25,K,3.91,0.0,0.0,,,0,0,
monolayer,25,K,3.92,0.0,0.0,,,0,0,
monolayer,25,K,3.93,0.0,0.0,,,0,0,
monolayer,25,K,3.94,0.0,0.0,,,0,0,
monolayer,25,K,3.95,0.0,0.0,,,0,0,
monolayer,25,K,3.96,0.0,0.0,,,0,0,
monolayer,25,K,3.97,0.0,0.0,,,0,0,
monolayer,25,K,3.98,0.0,0.0,,,0,0,
monolayer,25,K,3.99,0.0,0.0,,,0,0,
monolayer,25,K,4.0,0.0,0.0,,,0,0,
monolayer,49,Kprime,0.5,0.0,0.0,,,0,0,
monolayer,49,Kprime,0.51,0.0,0.0,,,0,0,
monolayer,49,Kprime,0.52,0.0,0.0,,,0,0,
monolayer,49,Kprime,0.53,0.0,0.0,,,0,0,
monolayer,49,Kprime,0.54,0.0,0.0,,,0,0,
monolayer,49,Kprime,0.55,0.0,0.0,,,0,0,
monolayer,49,Kprime,0.56,0.0,0.0,,,0,0,
monolayer,49,Kprime,0.57,0.0,0.0,,,0,0,
monolayer,49,Kprime,0.58,0.0,0.0,,,0,0,
monolayer,49,Kprime,0.59,0.0,0.0,,,0,0,
monolayer,49,Kprime,0.6,0.0,0.0,,,0,0,
monolayer,49,Kprime,0.61,0.0,0.0,,,0,0,
monolayer,49,Kprime,0.62,0.0,0.0,,,0,0,
monolayer,49,Kprime,0.63,0.0,0.0,,,0,0,
monolayer,49,Kprime,0.64,0.0,0.0,,,0,0,
monolayer,49,Kprime,0.65,0.0,0.0,,,0,0,
monolayer,49,Kprime,0.66,0.0,0.0,,,0,0,
monolayer,49,Kprime,0.67,0.0,0.0,,,0,0,
monolayer,49,Kprime,0.68,0.0,0.0,,,0,0,
monolayer,49,Kprime,0.69,0.0,0.0,,,0,0,
monolayer,49,Kprime,0.7,0.0,0.0,,,0,0,
monolayer,49,Kprime,0.71,0.0,0.0,,,0,0,
monolayer,49,Kprime,0.72,0.0,0.0,,,0,0,
monolayer,49,Kprime,0.73,0.0,0.0,,,0,0,
monolayer,49,Kprime,0.74,0.0,0.0,,,0,0,
monolayer,49,Kprime,0.75,0.0,0.0,,,0,0,
monolayer,49,Kprime,0.76,0.0,0.0,,,0,0,
monolayer,49,Kprime,0.77,0.0,0.0,,,0,0,
monolayer,49,Kprime,0.78,0.0,0.0,,,0,0,
monolayer,49,Kprime,0.79,0.0,0.0,,,0,0,
monolayer,49,Kprime,0.8,0.0,0.0,,,0,0,
monolayer,49,Kprime,0.81,0.0,0.0,,,0,0,
monolayer,49,Kprime,0.82,0.0,0.0,,,0,0,
monolayer,49,Kprime,0.83,0.0,0.0,,,0,0,
monolayer,49,Kprime,0.84,0.0,0.0,,,0,0,
monolayer,49,Kprime,0.85,0.0,0.0,,,0,0,
monolayer,49,Kprime,0.86,0.0,0.0,,,0,0,
monolayer,49,Kprime,0.87,0.0,0.0,,,0,0,
monolayer,49,Kprime,0.88,0.0,0.0,,,0,0,
monolayer,49,Kprime,0.89,0.0,0.0,,,0,0,
monolayer,49,Kprime,0.9,0.0,0.0,,,0,0,
monolayer,49,Kprime,0.91,0.0,0.0,,,0,0,
monolayer,49,Kprime,0.92,0.0,0.0,,,0,0,
monolayer,49,Kprime,0.93,0.0,0.0,,,0,0,
monolayer,49,Kprime,0.94,0.0,0.0,,,0,0,
monolayer,49,Kprime,0.95,0.0,0.0,,,0,0,
monolayer,49,Kprime,0.96,0.0,0.0,,,0,0,
monolayer,49,Kprime,0.97,0.0,0.0,,,0,0,
monolayer,49,Kprime,0.98,0.0,0.0,,,0,0,
monolayer,49,Kprime,0.99,0.0,0.0,,,0,0,
monolayer,49,Kprime,1.0,0.0,0.0,,,0,0,
monolayer,49,Kprime,1.01,0.0,0.0,,,0,0,
monolayer,49,Kprime,1.02,0.0,0.0,,,0,0,
monolayer,49,Kprime,1.03,0.0,0.0,,,0,0,
monolayer,49,Kprime,1.04,0.0,0.0,,,0,0,
monolayer,49,Kprime,1.05,0.0,0.0,,,0,0,
monolayer,49,Kprime,1.06,0.0,0.0,,,0,0,
monolayer,49,Kprime,1.07,0.0,0.0,,,0,0,
monolayer,49,Kprime,1.08,0.0,0.0,,,0,0,
monolayer,49,Kprime,1.09,0.0,0.0,,,0,0,
monolayer,49,Kprime,1.1,0.0,0.0,,,0,0,
monolayer,49,Kprime,1.11,0.0,0.0,,,0,0,
monolayer,49,Kprime,1.12,0.0,0.0,,,0,0,
monolayer,49,Kprime,1.13,0.0,0.0,,,0,0,
monolayer,49,Kprime,1.14,0.0,0.0,,,0,0,
monolayer,49,Kprime,1.15,0.0,0.0,,,0,0,
monolayer,49,Kprime,1.16,0.0,0.0,,,0,0,
monolayer,49,Kprime,1.17,0.0,0.0,,,0,0,
monolayer,49,Kprime,1.18,0.0,0.0,,,0,0,
monolayer,49,Kprime,1.19,0.0,0.0,,,0,0,
monolayer,49,Kprime,1.2,0.0,0.0,,,0,0,
monolayer,49,Kprime,1.21,0.0,0.0,,,0,0,
monolayer,49,Kprime,1.22,0.0,0.0,,,0,0,
monolayer,49,Kprime,1.23,0.0,0.0,,,0,0,
monolayer,49,Kprime,1.24,0.0,0.0,,,0,0,
monolayer,49,Kprime,1.25,0.0,0.0,,,0,0,
monolayer,49,Kprime,1.26,0.0,0.0,,,0,0,
monolayer,49,Kprime,1.27,0.0,0.0,,,0,0,
monolayer,49,Kprime,1.28,0.0,0.0,,,0,0,
monolayer,49,Kprime,1.29,0.0,0.0,,,0,0,
monolayer,49,Kprime,1.3,0.0,0.0,,,0,0,
monolayer,49,Kprime,1.31,0.0,0.0,,,0,0,
monolayer,49,Kprime,1.32,0.0,0.0,,,0,0,
monolayer,49,Kprime,1.33,0.0,0.0,,,0,0,
monolayer,49,Kprime,1.34,0.0,0.0,,,0,0,
monolayer,49,Kprime,1.35,0.0,0.0,,,0,0,
monolayer,49,Kprime,1.36,0.0,0.0,,,0,0,
monolayer,49,Kprime,1.37,0.0,0.0,,,0,0,
monolayer,49,Kprime,1.38,0.0,0.0,,,0,0,
monolayer,49,Kprime,1.39,0.0,0.0,,,0,0,
monolayer,49,Kprime,1.4,0.0,0.0,,,0,0,
monolayer,49,Kprime,1.41,0.0,0.0,,,0,0,
monolayer,49,Kprime,1.42,0.0,0.0,,,0,0,
monolayer,49,Kprime,1.43,0.0,0.0,,,0,0,
monolayer,49,Kprime,1.44,0.0,0.0,,,0,0,
monolayer,49,Kprime,1.45,0.0,0.0,,,0,0,
monolayer,49,Kprime,1.46,0.0,0.0,,,0,0,
monolayer,49,Kprime,1.47,0.0,0.0,,,0,0,
monolayer,49,Kprime,1.48,0.0,0.0,,,0,0,
monolayer,49,Kprime,1.49,0.0,0.0,,,0,0,
monolayer,49,Kprime,1.5,0.0001,0.0,1.0,1.0,0,0,
monolayer,49,Kprime,1.51,0.0002,0.0,1.0,0.5,1,0,
monolayer,49,Kprime,1.52,0.0003,0.0,1.0,0.33333333333333337,1,0,
monolayer,49,Kprime,1.53,0.0006,0.0,1.0,0.16666666666666669,1,0,
