spin,current,electric_field,sigma_hbar_over_e_e2_over_h,sigma_hbar_over_e_S
x,x,x,-0.6427775577048269,-2.490149739497362e-05
x,x,y,2.8180689588611437e-06,1.0917328397168745e-10
x,x,z,-1.5982330056628842e-07,-6.191627966785858e-12
x,y,x,-1.196867884339392e-06,-4.6367210781947225e-11
x,y,y,0.6427740757889652,2.4901362503956155e-05
x,y,z,-0.00841397934731114,-3.259614189807249e-07
x,z,x,6.68218269298323e-07,2.5887082230470684e-11
x,z,y,0.3873144946609839,1.5004741164695437e-05
x,z,z,-1.278658776274549e-07,-4.953582744885203e-12
y,x,x,-7.788776124769218e-07,-3.0174075939041905e-11
y,x,y,0.6427727201432595,2.490130998561975e-05
y,x,z,0.008421702820329767,3.262606298678322e-07
y,y,x,0.6427721181741638,2.490128666506089e-05
y,y,y,8.423823433288444e-07,3.26342783386469e-11
y,y,z,1.598331288857063e-07,6.192008720387858e-12
y,z,x,-0.3873172559973818,-1.5004848140133978e-05
y,z,y,-6.682369704523867e-07,-2.5887806721756386e-11
y,z,z,4.94908125633089e-08,1.9172967776300285e-12
z,x,x,4.031352393756511e-07,1.5617644071115422e-11
z,x,y,1.3825576315902894,5.3560916756922975e-05
z,x,z,-1.2782460385955896e-06,-4.9519837801867287e-11
z,y,x,-1.3825592382220504,-5.3560978998574274e-05
z,y,y,-4.031009992522845e-07,-1.5616317593031993e-11
z,y,z,4.013046978420782e-07,1.554672805252818e-11
z,z,x,-4.928471295492447e-07,-1.9093123842737704e-11
z,z,y,-4.572122356653721e-07,-1.7712611709756694e-11
z,z,z,-2.417283950104573e-13,-9.364668891268687e-18
