k_index,kx_fractional,ky_fractional,kz_fractional,weight,spin,current,electric_field,omega_spin_A2
1,0.0,0.0,0.0,0.027777777777777776,x,x,x,-107.75921967242235
1,0.0,0.0,0.0,0.027777777777777776,x,x,y,0.0005108624944975739
1,0.0,0.0,0.0,0.027777777777777776,x,x,z,-2.5524894270380222e-05
1,0.0,0.0,0.0,0.027777777777777776,x,y,x,-0.0001185764649229773
1,0.0,0.0,0.0,0.027777777777777776,x,y,y,107.75856778427772
1,0.0,0.0,0.0,0.027777777777777776,x,y,z,-0.7973265229659812
1,0.0,0.0,0.0,0.027777777777777776,x,z,x,5.003094028480093e-05
1,0.0,0.0,0.0,0.027777777777777776,x,z,y,49.81566903047262
1,0.0,0.0,0.0,0.027777777777777776,x,z,z,-2.732114228216638e-06
1,0.0,0.0,0.0,0.027777777777777776,y,x,x,-0.0003017831223050757
1,0.0,0.0,0.0,0.027777777777777776,y,x,y,107.75836850775514
1,0.0,0.0,0.0,0.027777777777777776,y,x,z,0.7987595138022345
1,0.0,0.0,0.0,0.027777777777777776,y,y,x,107.75844591182087
1,0.0,0.0,0.0,0.027777777777777776,y,y,y,9.051553528976672e-05
1,0.0,0.0,0.0,0.027777777777777776,y,y,z,2.5529770751408096e-05
1,0.0,0.0,0.0,0.027777777777777776,y,z,x,-49.816087990461945
1,0.0,0.0,0.0,0.027777777777777776,y,z,y,-5.003849697934881e-05
1,0.0,0.0,0.0,0.027777777777777776,y,z,z,9.875504618746033e-06
1,0.0,0.0,0.0,0.027777777777777776,z,x,x,8.299687351276397e-06
1,0.0,0.0,0.0,0.027777777777777776,z,x,y,245.02963026857492
1,0.0,0.0,0.0,0.027777777777777776,z,x,z,-0.00029800702708361756
1,0.0,0.0,0.0,0.027777777777777776,z,y,x,-245.02997342965185
1,0.0,0.0,0.0,0.027777777777777776,z,y,y,-8.292896571025776e-06
1,0.0,0.0,0.0,0.027777777777777776,z,y,z,7.265702569312629e-05
1,0.0,0.0,0.0,0.027777777777777776,z,z,x,8.780968630072849e-05
1,0.0,0.0,0.0,0.027777777777777776,z,z,y,-3.6469964089406926e-05
1,0.0,0.0,0.0,0.027777777777777776,z,z,z,-5.900171695854617e-10
2,0.0,0.1666666666666667,0.0,0.027777777777777776,x,x,x,-9.762928689245276
2,0.0,0.1666666666666667,0.0,0.027777777777777776,x,x,y,2.7968757542351508e-05
2,0.0,0.1666666666666667,0.0,0.027777777777777776,x,x,z,-1.7915963875410335e-06
2,0.0,0.1666666666666667,0.0,0.027777777777777776,x,y,x,-6.6059143465427295e-06
2,0.0,0.1666666666666667,0.0,0.027777777777777776,x,y,y,0.6923133704216348
2,0.0,0.1666666666666667,0.0,0.027777777777777776,x,y,z,1.5306392121621262
2,0.0,0.1666666666666667,0.0,0.027777777777777776,x,z,x,2.019692896309752e-05
2,0.0,0.1666666666666667,0.0,0.027777777777777776,x,z,y,3.3963711948534576
2,0.0,0.1666666666666667,0.0,0.027777777777777776,x,z,z,0.847627582768475
2,0.0,0.1666666666666667,0.0,0.027777777777777776,y,x,x,-9.669202675498256e-06
2,0.0,0.1666666666666667,0.0,0.027777777777777776,y,x,y,20.058523159675538
2,0.0,0.1666666666666667,0.0,0.027777777777777776,y,x,z,4.466048904759406
2,0.0,0.1666666666666667,0.0,0.027777777777777776,y,y,x,-13.439831816082588
2,0.0,0.1666666666666667,0.0,0.027777777777777776,y,y,y,1.1857840716334757e-05
2,0.0,0.1666666666666667,0.0,0.027777777777777776,y,y,z,-1.0218586623507789e-06
2,0.0,0.1666666666666667,0.0,0.027777777777777776,y,z,x,-7.809745711633842
