spin,current,electric_field,sigma_hbar_over_e_e2_over_h,sigma_hbar_over_e_S
x,x,x,-0.6513268077090447,-2.52326992612447e-05
x,x,y,3.5376798375897696e-06,1.3705133946267335e-10
x,x,z,-1.0636956450399613e-07,-4.120805715213052e-12
x,y,x,-1.4719546398630556e-06,-5.702419785928683e-11
x,y,y,0.6513236502594364,2.523257694019871e-05
x,y,z,-0.023483396165646247,-9.09757538100777e-07
x,z,x,4.4078787489667007e-07,1.707632444055531e-11
x,z,y,0.40097612346877903,1.553399893060616e-05
x,z,z,-1.162195876541776e-07,-4.502400129757485e-12
y,x,x,-1.4180715611067838e-06,-5.493674267483153e-11
y,x,y,0.6513216988344459,2.5232501341099564e-05
y,x,z,0.023490913149873446,9.100487495173984e-07
y,y,x,0.6513211220684754,2.523247899692133e-05
y,y,y,6.476613602208272e-07,2.5090698144396163e-11
y,y,z,1.0642342098274101e-07,4.1228921399008655e-12
y,z,x,-0.4009784695328299,-1.553408981820351e-05
y,z,y,-4.408529133685003e-07,-1.7078844060783864e-11
y,z,z,5.031240083940083e-08,1.9491254842667324e-12
z,x,x,3.9570620146142376e-07,1.5329839734995083e-11
z,x,y,1.3793163326573834,5.3435347349642646e-05
z,x,z,-1.3840198706990903e-06,-5.3617564570652887e-11
z,y,x,-1.379318341371196,-5.3435425168137045e-05
z,y,y,-3.9568121672180047e-07,-1.532887181472284e-11
z,y,z,4.407941899402043e-07,1.7076569088238216e-11
z,z,x,-3.2942608146348026e-07,-1.27621174869429e-11
z,z,y,-5.607834046920569e-07,-2.1725006300696526e-11
z,z,z,-5.32153857674433e-11,-2.0615884518311555e-15
